"Outcome_M5","Quan_2","Quan_3","Quan_4","Quan_5","Quan_10","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_466","Cat_469","Cat_470","Cat_484","Cat_498","Cat_501","Quan_27","Day_Of_Year_1"
500,5500,53,33,1,1,21,702,0,2,0,0,0,0,0,0,0,0,0,0,0,0,193.625
500,7700,88,385016,0,0,38,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,336.125
2000,4900,47,445190,0,0,120,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.375
5000,7900,101,1416697,0,0,89,139,0,0,0,0,0,0,0,0,2,0,0,0,0,0,287.125
2000,9200,124,752566,0,0,23,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,229.875
3000,7300,92,94900,0,0,113,495,8,0,0,0,2,0,2,0,0,0,0,0,0,0,243.875
500,5700,31,67012,0,0,21,434,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.875
2000,6900,30,1183119,53,13,32,1009,0,0,2,0,0,0,0,0,0,0,0,0,0,0,136.375
500,6500,13,109982,0,0,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.125
500,6800,95,38152,0,0,97,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.875
500,5800,30,195081,0,0,240,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.875
500,6700,68,694809,0,0,366,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.375
500,8000,85,233416,57,41,165,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.375
2000,7100,83,477063,0,0,10,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,104.125
2000,6600,97,405694,0,0,252,730,0,0,0,0,0,0,0,0,0,0,0,1,0,0,228.625
6000,8800,62,28203,0,0,32,52,0,2,2,2,0,0,0,0,0,0,0,0,0,0,68.875
6000,7400,116,850888,0,0,339,571,0,0,0,0,0,0,0,0,2,0,0,1,0,0,52.375
3000,9100,88,262738,13,7,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.625
500,6000,25,366857,0,0,394,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.625
2000,6500,18,642619,0,0,107,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.375
2000,7600,47,300522,22,17,641,203,0,0,0,0,0,0,2,0,0,0,0,1,0,0,100.125
500,5400,7,0,1,1,670,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
2000,5600,28,29,4,4,408,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
500,7900,37,0,5,3,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.375
500,4700,92,90054,23,7,136,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.125
NA,7300,57,469247,16,14,51,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
500,5000,52,14073,11,9,234,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.125
NA,8000,44,985658,69,46,114,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125
2000,6400,39,1759054,187,39,114,1138,0,0,0,0,0,0,2,0,0,0,0,0,0,0,283.375
NA,6000,31,53952,0,0,116,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
500,7000,76,7696,33,25,79,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125
500,6900,87,16594,6,6,142,543,4,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
2000,7300,63,97852,39,30,542,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
NA,4600,6,0,1,1,709,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
NA,0,2,235853,5,5,486,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.125
2000,8700,132,862604,126,83,386,656,0,0,2,0,0,0,0,0,0,0,0,0,0,0,318.375
2000,8000,87,5758,18,12,86,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.125
500,8200,49,1602,7,4,714,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.125
500,6300,65,47075,4,2,183,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.125
500,6300,60,127967,17,13,107,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
2000,8700,84,28006,15,11,142,225,8,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
500,6100,53,18465,17,12,131,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
NA,6300,40,53952,0,0,116,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
8000,9400,102,1139542,106,72,336,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125
NA,8700,46,284933,11,9,308,470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135.125
2000,7100,96,6532,11,6,399,693,0,0,0,0,0,0,2,0,0,0,0,0,0,0,346.375
500,7800,19,0,1,1,449,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125
3000,8600,16,635758,11,6,308,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125
2000,7000,76,309164,41,34,423,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
500,5900,82,33837,13,8,232,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
NA,8100,79,23277,22,17,706,243,16,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125
500,7000,44,65248,4,4,362,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
NA,7700,36,241220,18,12,542,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.125
NA,9300,33,1729826,66,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.125
2000,9400,97,169441,64,47,553,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
500,5700,78,167598,4,2,658,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.125
3000,8900,111,105605,38,24,370,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.125
2000,6300,23,39964,8,4,722,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.125
NA,4700,10,0,0,0,50,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.125
500,7000,91,93023,25,15,345,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.375
500,3500,3,135717,7,2,545,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
500,7400,64,9596,1,1,586,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
500,6300,13,0,4,2,700,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125
500,4900,25,23286,14,5,403,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
6000,8200,28,171279,102,37,30,51,0,2,2,2,0,0,0,0,0,0,0,0,0,0,11.125
3000,7800,53,0,4,3,583,199,0,2,0,2,0,0,0,0,0,0,0,0,0,0,86.125
NA,9500,105,1729826,62,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.125
3000,8000,32,346384,14,11,206,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
500,7400,80,132449,33,19,236,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.375
NA,8300,3,275,13,13,67,432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212.125
500,7200,76,44828,19,15,111,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.125
2000,7700,22,621939,39,23,265,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.125
500,4900,116,382119,68,42,254,535,0,0,0,0,0,2,0,0,0,0,0,0,0,0,346.375
500,7800,73,17777,10,8,272,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.125
5000,8000,43,621939,41,25,265,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.125
3000,9400,112,169441,58,44,553,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
2000,7600,63,9596,1,1,586,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
3000,8100,69,671633,50,30,13,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
2000,5400,25,489,7,5,540,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.375
2000,7400,72,97852,41,28,542,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
500,8400,77,5293,1,1,142,1010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,79.125
500,8300,107,3247,28,12,72,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
8000,7800,49,1043453,97,66,30,39,0,2,2,2,0,0,2,0,0,0,0,1,0,0,58.125
NA,8800,60,284933,12,10,308,470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135.125
NA,8300,80,987149,41,24,109,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125
NA,7700,53,467004,13,9,100,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.125
NA,8000,86,985658,63,45,114,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125
26000,8900,51,357567,51,31,4,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,93.125
NA,0,0,0,0,0,252,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.125
500,6600,35,444809,20,12,21,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
NA,6400,50,597696,28,23,733,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.125
500,7000,87,93023,26,16,345,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.375
2000,6800,115,309164,42,35,423,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
2000,6100,57,10916,3,3,348,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.125
500,6400,13,1759054,50,25,114,1138,0,0,0,0,0,0,2,0,0,0,0,0,0,0,283.375
500,4700,70,14073,12,9,234,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.125
500,7700,101,5935,39,10,78,128,0,0,0,0,0,0,0,0,2,0,0,0,0,0,304.375
500,7200,108,81138,28,21,109,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
NA,7200,30,469247,14,13,51,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
2000,4600,38,6661,9,6,243,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
500,7500,54,18582,3,2,742,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
500,3000,7,23286,2,2,403,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
500,5100,86,382119,66,42,254,535,0,0,0,0,0,2,0,0,0,0,0,0,0,0,346.375
NA,8700,44,4692569,143,100,551,11,18,0,0,0,0,0,0,0,0,0,0,1,0,0,128.125
500,6000,12,216245,11,8,251,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
500,4400,42,6661,12,6,243,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
6000,9000,64,233160,27,19,32,48,0,2,2,2,0,0,0,0,0,0,0,0,0,0,86.125
2000,8300,125,58238,196,171,323,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
500,6200,20,8229,2,2,21,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.375
500,7500,97,132449,36,21,236,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.375
5000,7200,75,225894,36,21,136,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.125
NA,7800,23,0,2,2,300,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
500,7200,92,81138,27,20,109,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
11000,8500,41,1480378,101,57,35,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
500,5800,61,18465,16,12,131,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
2000,7100,63,65248,2,2,362,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
NA,7100,73,0,2,2,300,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
500,7000,89,6532,11,6,399,693,0,0,0,0,0,0,2,0,0,0,0,0,0,0,346.375
11000,8300,37,171279,131,103,30,51,0,2,2,2,0,0,0,0,0,0,0,0,0,0,11.125
NA,0,0,275,17,17,67,432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212.125
18000,8400,64,1480378,95,56,35,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
2000,8700,114,28006,11,9,142,225,8,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
500,6800,58,15055,2,1,329,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125
500,5200,9,2,3,1,270,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
6000,8600,85,243024,91,66,185,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,290.375
500,5200,81,670,1,1,541,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.125
500,8100,56,1602,12,4,714,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.125
500,6500,45,15055,4,1,329,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125
2000,4500,6,144409,13,4,499,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
