"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
3000,3206,7300,100,872255,76,33,26,37,24,"16","35","260",0,"0","0","0","0","0","0","1","0","1","2","0","0",0,101.375
2000,3367,8500,84,169907,60,20,24,45,16,"16","424","754",0,"0","0","0","0","0","0","1","0","1","0","0","1",0,262.375
500,3241,5300,10,176797,3,0,0,3,0,"53","403","1234",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,136.375
2000,2471,6300,73,35887,0,0,0,0,0,"29","236","387",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,96.875
500,2100,6100,70,215765,0,0,0,0,0,"5","183","18",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,91.125
500,2268,8100,96,0,0,0,0,0,0,"42","90","140",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,259.125
500,3171,7600,63,4538,7,2,2,2,1,"28","385","655",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,66.375
500,3101,4700,55,13632,1,0,0,1,0,"27","477","85",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,361.625
500,3220,4000,7,98168,0,0,0,0,0,"28","140","222",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,115.375
500,2093,7300,6,119498,0,0,0,0,0,"4","127","202",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,84.125
3000,2345,7600,51,384726,0,0,0,0,0,"29","38","380",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,336.125
500,2765,6200,89,1564,0,0,0,0,0,"85","300","644",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,25.625
500,3374,6000,42,55669,35,16,10,18,10,"5","12","1362",0,"2","0","0","0","0","0","1","0","0","0","0","0",0,269.375
3000,2849,9000,82,802286,0,0,0,0,0,"17","32","48",0,"2","2","2","0","0","0","1","0","1","2","0","1",0,109.625
500,2772,4300,48,108948,0,0,0,0,0,"16","251","672",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,32.625
3000,1421,8300,110,870647,0,0,0,0,0,"6","32","40",0,"0","0","0","0","0","0","0","0","1","2","0","0",0,142.625
500,2302,5600,60,331563,0,0,0,0,0,"31","64","360",0,"2","0","2","0","0","0","1","0","0","0","0","0",0,293.125
500,3234,6400,24,0,27,3,3,6,0,"42","180","285",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,129.375
3000,1680,8400,144,1173440,0,0,0,0,0,"13","23","30",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,36.375
500,2807,6400,4,0,0,0,0,0,0,"137","420","739",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.625
2000,1883,7800,43,697011,0,0,0,0,0,"3","5","5",0,"2","2","2","2","0","0","1","0","0","0","0","0",0,239.375
2000,2065,7700,90,75621,0,0,0,0,0,"7","135","217",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,56.125
3000,1778,8600,121,1399606,0,0,0,0,0,"42","79","129",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,134.375
2000,2618,8900,44,907439,0,0,0,0,0,"42","77","127",0,"2","0","2","0","0","0","0","0","0","0","0","0",0,243.875
2000,2926,8600,95,395580,0,0,0,0,0,"45","290","478",0,"0","0","0","0","0","0","0","0","1","0","0","0",0,186.625
500,1715,7900,72,58648,0,0,0,0,0,"3","5","7",0,"2","2","2","0","0","0","1","0","0","0","0","0",0,71.375
500,1421,7500,87,1575180,0,0,0,0,0,"5","10","19",0,"0","0","0","0","0","2","1","0","0","0","0","0",0,142.625
3000,2100,7300,49,788296,0,0,0,0,0,"17","32","49",0,"2","2","2","0","0","0","1","0","0","2","0","0",0,91.125
500,2702,6400,26,150368,0,0,0,0,0,"53","176","660",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,327.875
500,2856,0,1,174848,0,0,0,0,0,"53","176","323",0,"0","0","0","0","0","0","0","0","1","0","0","0",0,116.625
500,3346,6800,35,73049,4,1,1,4,1,"16","304","1388",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,241.375
500,3241,6200,7,0,3,0,1,0,0,"27","482","69",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,136.375
2000,2597,7800,77,466603,0,0,0,0,0,"60","98","193",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,222.875
2000,2001,8000,67,275695,0,0,0,0,0,"2","141","224",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,357.375
3000,2064,8300,90,372875,0,0,0,0,0,"42","82","311",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,55.125
2000,2807,8600,96,248407,0,0,0,0,0,"56","142","225",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.625
2000,1458,8500,134,420774,0,0,0,0,0,"52","106","172",0,"0","0","0","0","0","0","0","0","0","2","0","0",0,179.625
500,2856,5000,71,50584,0,0,0,0,0,"120","373","631",4,"0","0","0","0","0","0","0","0","0","0","0","0",0,116.625
500,2226,7500,46,8412,0,0,0,0,0,"9","213","348",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,217.125
500,3229,5200,41,769,35,0,24,7,0,"27","50","1125",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,124.375
500,3360,7800,76,14,11,5,3,7,2,"45","559","637",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,255.375
500,3227,4400,5,334360,1,0,0,0,0,"53","129","1131",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,122.375
500,3255,4400,12,25831,2,0,0,2,0,"14","484","377",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,150.375
500,2891,2900,37,233505,0,0,0,0,0,"1","252","447",0,"0","0","0","0","0","2","0","0","0","0","0","0",0,151.625
2000,2079,7200,60,47363,0,0,0,0,0,"3","5","7",0,"2","2","2","0","0","0","1","0","0","0","0","0",0,70.125
2000,2499,7700,88,557614,0,0,0,0,0,"28","132","446",0,"0","0","0","0","0","2","1","0","1","0","0","0",0,124.875
500,2607,7100,56,111812,0,0,0,0,0,"53","333","559",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,232.875
500,3186,8300,64,14306,8,4,3,2,2,"56","142","1010",12,"2","0","0","0","0","0","0","0","0","0","0","0",0,81.375
500,2121,5500,10,384334,0,0,0,0,0,"53","176","277",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,112.125
2000,3229,4200,37,0,58,1,42,6,0,"28","627","1179",0,"0","0","2","0","0","0","0","0","0","2","0","0",0,124.375
3000,3171,8800,68,16504,23,9,14,6,3,"17","32","52",0,"2","2","2","0","0","0","1","0","0","0","0","0",0,66.375
2000,2065,7500,57,777132,0,0,0,0,0,"53","187","295",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,56.125
2000,3094,7700,88,0,23,7,5,13,5,"5","232","305",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,354.625
500,2361,7900,37,0,0,0,0,0,0,"17","32","198",0,"2","0","2","0","0","0","0","0","0","0","0","0",0,352.125
500,2450,8300,53,503093,0,0,0,0,0,"12","168","398",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,75.875
2000,2401,8400,95,336930,0,0,0,0,0,"6","67","432",0,"0","0","0","0","0","0","1","0","1","2","0","1",0,26.875
2000,1764,7600,84,820707,0,0,0,0,0,"6","31","40",0,"0","0","0","0","0","0","1","0","1","2","0","0",0,120.375
500,3178,4300,18,0,5,1,2,2,0,"28","327","1146",0,"0","0","2","0","0","0","0","0","0","0","0","0",0,73.375
500,3101,7800,84,1879,9,4,3,6,3,"5","11","587",0,"0","0","0","0","0","0","0","0","1","0","0","1",0,361.625
6000,1784,8800,110,527439,0,0,0,0,0,"28","114","189",16,"0","0","0","0","0","2","1","0","1","2","0","1",0,140.375
2000,3220,5700,8,227165,9,1,6,2,0,"5","9","382",0,"2","0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,2737,6300,53,241413,0,0,0,0,0,"16","243","244",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,362.875
3000,3157,7500,98,850888,0,0,0,0,0,"2","339","571",0,"0","0","0","0","0","0","1","0","1","2","0","1",3,52.375
2000,2485,8400,113,538046,0,0,0,0,0,"28","114","183",16,"0","0","0","0","0","0","1","0","1","2","0","1",0,110.875
500,1842,6800,46,75598,0,0,0,0,0,"17","32","201",0,"2","2","2","0","0","0","1","0","0","0","0","0",0,198.375
500,3241,3800,39,450556,11,1,2,11,1,"16","243","244",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,136.375
2000,1421,7400,109,250974,0,0,0,0,0,"5","13","16",8,"0","0","0","0","0","0","1","0","0","0","0","1",0,142.625
500,1883,7500,82,0,0,0,0,0,0,"42","76","126",0,"2","0","0","0","0","0","0","0","0","2","0","0",0,239.375
2000,2961,7200,127,941734,25,7,11,10,4,"16","33","643",0,"0","0","0","0","0","0","1","0","1","0","0","0",1,221.625
2000,3052,7900,75,208574,27,6,14,12,6,"16","31","286",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,312.625
500,2975,7700,70,155555,2,0,2,0,0,"45","403","701",0,"0","2","0","0","0","0","1","0","0","0","0","0",0,235.625
500,2863,7200,80,242444,6,0,2,2,0,"60","38","664",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,123.625
6000,2415,8500,58,1238684,0,0,0,0,0,"17","30","39",0,"2","2","2","2","0","2","0","2","1","0","0","0",0,40.875
2000,2856,8600,129,780782,0,0,0,0,0,"42","79","278",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,116.625
500,2569,5500,68,761,0,0,0,0,0,"16","268","443",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,194.875
500,2127,6300,10,221857,0,0,0,0,0,"53","107","174",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,118.125
2000,2001,7700,27,466940,0,0,0,0,0,"3","4","213",0,"2","0","2","0","0","0","0","0","0","0","0","0",0,357.375
11000,2870,9300,114,3220430,0,0,0,0,0,"5","7","11",18,"0","0","0","0","0","0","1","0","1","2","0","1",0,130.625
2000,2387,8000,30,539483,0,0,0,0,0,"17","30","51",0,"2","2","2","0","0","0","0","0","0","0","0","0",0,12.875
2000,2275,7200,101,324749,0,0,0,0,0,"15","217","355",10,"0","0","0","0","0","0","1","0","0","0","0","0",0,266.125
500,2226,6700,62,570116,0,0,0,0,0,"72","208","340",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,217.125
2000,3311,8800,125,348241,85,25,42,39,20,"16","33","384",0,"0","0","0","0","0","0","1","0","1","2","0","1",0,206.375
2000,2080,8600,34,15804,0,0,0,0,0,"17","32","52",0,"2","2","2","2","0","0","0","0","0","0","0","0",0,71.125
500,2513,6300,12,97941,0,0,0,0,0,"12","27","453",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,138.875
2000,2891,6100,98,641442,0,0,0,0,0,"6","114","632",0,"0","0","0","0","0","2","1","0","1","0","0","0",0,151.625
2000,1778,8000,43,1164838,0,0,0,0,0,"17","33","44",0,"2","2","2","0","0","2","0","0","0","0","0","0",0,134.375
500,2135,7200,55,495179,0,0,0,0,0,"7","178","281",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,126.125
500,2513,7900,44,11049,0,0,0,0,0,"28","114","265",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,138.875
500,3220,5700,12,407303,19,3,9,8,2,"5","395","19",0,"0","0","0","0","0","2","0","0","0","0","0","0",0,115.375
500,3220,6400,10,190084,2,1,0,2,1,"5","394","680",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,1561,7600,87,371070,0,0,0,0,0,"16","35","46",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,282.625
2000,1722,6900,22,416229,0,0,0,0,0,"4","127","202",16,"0","0","0","0","0","0","0","0","0","0","0","0",0,78.375
2000,2345,6900,68,664806,0,0,0,0,0,"47","232","378",0,"0","0","0","0","0","2","0","0","1","0","0","0",0,336.125
2000,1715,7900,67,90029,0,0,0,0,0,"17","32","52",0,"2","2","2","2","0","0","1","0","0","0","0","0",0,71.375
500,2442,7000,45,0,0,0,0,0,0,"3","4","7",0,"2","2","2","2","0","0","1","0","0","0","0","0",0,67.875
500,2975,6700,56,0,0,0,0,0,0,"85","488","901",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,235.625
500,2863,5600,6,0,0,0,0,0,0,"5","9","890",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,123.625
500,2513,4300,11,88573,0,0,0,0,0,"5","6","551",14,"2","0","0","0","0","0","0","0","0","0","0","0",0,138.875
3000,3220,6100,81,779035,51,26,11,25,18,"29","247","399",0,"0","0","0","0","0","0","1","0","1","0","0","1",0,115.375
500,2261,7200,33,49009,0,0,0,0,0,"27","50","199",0,"2","0","2","0","0","0","0","0","0","0","0","0",0,252.125
500,2492,3100,5,47068,0,0,0,0,0,"5","127","425",8,"2","0","0","0","0","0","0","0","0","0","0","0",0,117.875
500,2485,8000,47,139621,0,0,0,0,0,"9","144","228",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,2022,7300,40,304225,0,0,0,0,0,"3","4","204",0,"0","2","2","0","0","0","1","0","0","0","0","0",0,13.125
2000,2982,8900,53,676207,32,4,10,10,3,"42","77","127",0,"2","0","2","0","0","0","1","0","0","0","0","0",0,242.625
2000,2128,7700,49,253625,0,0,0,0,0,"28","114","265",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,119.125
500,1547,6000,65,48178,0,0,0,0,0,"26","48","66",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,268.625
3000,3080,7900,76,145077,64,4,48,44,3,"17","30","44",0,"2","2","2","2","0","2","1","0","0","0","0","0",0,340.625
500,2526,3600,33,76996,0,0,0,0,0,"53","273","441",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,151.875
6000,2793,9100,131,582649,0,0,0,0,0,"19","336","565",0,"0","0","0","0","0","0","1","0","1","0","1","1",0,53.625
500,3227,3600,8,334360,1,0,0,0,0,"53","129","1131",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,122.375
2000,3367,7600,52,257699,38,12,4,28,10,"29","38","79",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,262.375
500,3129,8500,47,0,2,1,0,1,1,"82","259","671",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,24.375
2000,1421,6200,68,148496,0,0,0,0,0,"17","32","48",0,"2","2","2","0","0","0","0","0","0","0","0","0",0,142.625
2000,2485,6800,98,214006,0,0,0,0,0,"5","8","18",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,110.875
500,1701,7000,89,39995,0,0,0,0,0,"28","97","182",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,57.375
500,3318,0,0,0,4,2,1,3,2,"16","73","279",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,213.375
500,2093,3500,4,11675,0,0,0,0,0,"4","194","10",0,"2","0","0","0","0","0","0","0","0","0","0","0",0,84.125
2000,2961,7400,112,941734,22,7,9,11,4,"16","33","643",0,"0","0","0","0","0","0","1","0","1","2","0","0",1,221.625
500,2744,7800,28,245463,0,0,0,0,0,"3","362","213",0,"2","2","2","0","0","0","0","0","0","0","0","0",0,4.625
6000,1694,8000,86,1951543,0,0,0,0,0,"17","30","39",0,"2","2","2","2","0","2","1","0","1","0","0","0",0,50.375
500,2926,8900,136,395580,0,0,0,0,0,"45","290","478",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,186.625
3000,2877,8900,118,1394197,0,0,0,0,0,"28","114","206",0,"0","0","0","0","0","0","1","0","1","2","0","1",1,137.625
2000,2709,8500,94,755977,0,0,0,0,0,"53","109","582",16,"0","0","0","0","0","0","1","0","1","0","0","0",0,334.875
2000,2380,8400,81,212135,0,0,0,0,0,"2","269","433",4,"0","0","0","0","0","0","1","0","0","0","0","0",0,5.875
500,3339,8300,94,172979,95,20,61,58,16,"16","564","1054",0,"0","0","0","0","0","0","1","0","1","0","0","0",0,234.375
500,2702,6400,5,150368,0,0,0,0,0,"53","176","660",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,327.875
500,3220,6200,5,407303,21,3,11,8,2,"5","395","19",0,"0","0","0","0","0","2","0","0","0","0","0","0",0,115.375
500,2464,7100,62,136366,0,0,0,0,0,"27","251","404",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,89.875
2000,2352,5600,64,166518,0,0,0,0,0,"3","230","375",2,"2","0","0","0","0","2","1","0","0","0","0","0",0,343.125
500,3192,5900,17,283838,7,0,4,2,0,"16","578","1081",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,87.375
2000,2835,8000,61,13671,0,0,0,0,0,"17","32","49",0,"2","2","2","0","0","0","1","0","0","2","0","0",0,95.625
3000,2926,8300,135,488430,0,0,0,0,0,"53","334","562",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,186.625
2000,3206,7400,92,872255,73,33,22,37,23,"16","34","260",0,"0","0","0","0","0","0","1","0","1","2","0","0",0,101.375
500,2143,4900,21,49935,0,0,0,0,0,"5","9","287",12,"0","0","0","0","0","0","0","0","0","0","0","0",0,134.125
500,2113,7300,55,477063,0,0,0,0,0,"5","10","19",0,"0","0","0","0","0","2","0","0","0","0","0","0",0,104.125
500,1939,6700,18,471617,0,0,0,0,0,"28","116","186",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,295.375
15000,3199,8800,74,696622,313,26,273,288,19,"3","4","6",10,"2","2","2","0","0","0","1","0","0","0","0","0",0,94.375
500,3229,6400,39,5633,40,1,29,6,0,"27","50","1126",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,124.375
500,3227,6100,45,9772,1,1,0,1,1,"26","143","895",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,122.375
500,2695,7100,106,37215,0,0,0,0,0,"13","278","460",8,"0","0","0","0","0","0","0","0","0","0","0","0",0,320.875
500,2829,6500,4,0,0,0,0,0,0,"133","409","718",0,"2","0","2","0","0","0","0","0","0","0","0","0",0,89.625
2000,3003,8200,102,447992,0,0,0,0,0,"19","40","56",0,"0","0","0","0","0","0","1","0","1","2","0","0",0,263.625
2000,2702,8500,154,401293,0,0,0,0,0,"42","323","536",0,"0","0","0","0","0","0","0","0","1","2","0","1",0,327.875
2000,1890,8300,106,793103,0,0,0,0,0,"42","78","128",0,"0","0","0","0","0","0","1","0","1","2","0","0",0,246.375
500,1890,8200,50,412632,0,0,0,0,0,"18","32","50",0,"0","0","2","0","0","0","0","0","0","0","0","0",0,246.375
500,2807,4500,43,56051,0,0,0,0,0,"139","426","757",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,67.625
500,3220,0,0,386836,10,3,4,0,0,"16","243","898",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,115.375
8000,3101,7900,81,940341,30,10,7,18,8,"60","38","763",0,"0","0","0","0","0","0","1","0","1","0","0","1",0,361.625
500,3226,6700,29,163947,11,3,5,3,0,"16","584","403",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,121.375
3000,3087,7600,69,824187,29,3,14,14,3,"12","27","981",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,347.625
500,2499,5000,43,224371,0,0,0,0,0,"74","216","412",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,124.875
2000,2001,3800,48,84266,0,0,0,0,0,"31","158","249",12,"0","0","0","0","0","0","0","0","0","0","0","0",0,357.375
3000,2478,8700,58,222511,0,0,0,0,0,"17","32","48",0,"2","2","2","0","0","0","1","0","0","2","0","0",0,103.875
500,3353,5300,34,149219,16,2,4,2,0,"236","46","1262",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,248.375
2000,3243,2600,17,3936,42,2,34,5,0,"27","49","1145",0,"0","0","2","0","0","0","0","0","0","0","0","0",0,138.375
500,2485,6900,67,214006,0,0,0,0,0,"5","246","18",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,2343,7100,48,192962,0,0,0,0,0,"8","233","379",0,"0","0","0","0","0","0","0","0","1","0","0","1",0,334.125
500,2135,6300,36,62276,0,0,0,0,0,"26","48","216",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,126.125
2000,2512,6400,85,642451,0,0,0,0,0,"16","31","40",0,"0","0","0","0","0","0","1","0","0","2","0","0",0,137.875
500,2121,7700,42,267629,0,0,0,0,0,"19","41","57",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,112.125
2000,3094,7800,103,0,22,7,5,15,5,"5","232","305",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,354.625
2000,3066,0,2,44363,1,0,0,1,0,"8","534","992",0,"0","0","2","0","0","0","0","0","0","0","0","0",0,326.625
500,2156,3800,12,91161,0,0,0,0,0,"4","9","12",12,"0","0","0","0","0","0","0","0","0","0","0","0",0,147.125
3000,2926,8200,123,488430,0,0,0,0,0,"53","334","562",0,"0","0","0","0","0","0","0","0","0","0","0","0",0,186.625
2000,2001,8200,116,272994,0,0,0,0,0,"2","141","224",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,357.375
6000,2366,8200,105,624769,0,0,0,0,0,"16","35","367",0,"0","0","0","0","0","0","1","0","0","2","0","1",0,357.125
500,2898,7300,94,0,0,0,0,0,0,"16","268","586",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,158.625
500,2233,5000,33,26436,0,0,0,0,0,"28","214","349",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,224.125
2000,2940,5900,89,317271,0,0,0,0,0,"13","335","564",0,"0","0","0","0","0","0","1","0","0","0","0","0",0,200.625
500,2093,7200,12,119498,0,0,0,0,0,"4","127","202",21,"0","0","0","0","0","0","0","0","0","0","0","0",0,84.125
