"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
500,1778,5400,23,0,0,0,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.375
3000,2877,8900,142,1394197,0,0,0,0,0,28,114,206,0,0,0,0,0,0,0,1,0,1,2,0,1,0,137.625
500,2142,5200,21,308925,0,0,0,0,0,28,132,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125
2000,2477,6400,35,204611,0,0,0,0,0,31,64,96,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102.875
500,2842,6900,71,17619,0,0,0,0,0,9,407,712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102.625
2000,1757,8200,107,689611,0,0,0,0,0,5,11,14,0,0,0,0,0,0,0,1,0,0,2,0,1,0,113.375
500,3218,6100,54,365492,26,5,17,9,4,28,114,1000,0,0,0,0,0,0,2,1,0,0,0,0,0,0,113.375
2000,2569,5600,91,761,0,0,0,0,0,16,268,443,0,0,0,0,0,0,0,1,0,0,0,0,0,0,194.875
500,3199,5300,5,72774,2,1,0,2,1,105,392,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.375
2000,1548,7500,78,23013,0,0,0,0,0,3,3,8,4,2,0,0,0,0,0,1,0,0,0,0,0,0,269.625
10000,2134,9300,120,1808023,0,0,0,0,0,5,7,11,24,0,0,0,0,0,0,1,0,1,2,1,1,0,125.125
500,3181,3800,57,0,36,7,5,9,3,42,147,1128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76.375
500,3353,7100,21,65693,69,17,34,55,13,3,4,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,248.375
2000,2891,5900,69,641442,17,2,8,10,2,121,114,632,0,0,0,0,0,0,2,0,0,1,0,0,0,0,151.625
500,1777,7900,32,58648,0,0,0,0,0,3,5,7,0,2,2,2,0,0,0,0,0,0,0,0,0,0,133.375
2000,2254,8000,74,682260,0,0,0,0,0,41,210,344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,245.125
2000,3192,7900,109,669770,0,0,0,0,0,13,362,30,0,0,0,0,0,0,0,1,0,1,2,0,1,0,87.375
500,2758,6800,30,2727,0,0,0,0,0,12,21,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.625
2000,1967,5800,61,575483,0,0,0,0,0,12,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.375
2000,1526,8800,100,561962,0,0,0,0,0,16,28,36,0,0,0,0,0,0,0,1,0,0,2,0,0,0,247.625
500,1876,8100,60,412632,0,0,0,0,0,18,32,50,0,0,0,2,0,0,0,1,0,0,0,0,0,0,232.375
2000,2100,8500,88,643979,0,0,0,0,0,7,20,87,8,0,0,0,0,0,0,1,0,0,2,0,0,0,91.125
2000,1778,7600,40,1951543,0,0,0,0,0,17,30,39,0,2,2,2,2,0,2,0,0,0,0,0,0,0,134.375
3000,1602,8100,127,29197,0,0,0,0,0,41,75,125,0,0,2,0,0,0,0,1,0,0,2,0,0,0,323.625
500,2933,5500,53,33,1,0,0,1,0,45,21,702,0,2,0,0,0,0,0,0,0,0,0,0,0,0,193.625
3000,2345,7700,88,385016,0,0,0,0,0,29,38,380,0,0,0,0,0,0,0,1,0,0,2,0,0,0,336.125
500,1778,4900,47,445190,0,0,0,0,0,47,120,192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,134.375
2000,2296,7900,101,1416697,0,0,0,0,0,42,89,139,0,0,0,0,0,0,0,0,0,0,2,0,0,0,287.125
2000,2604,9200,124,752566,0,0,0,0,0,13,23,32,0,0,0,0,0,0,0,1,0,1,2,0,1,0,229.875
500,2618,7300,92,94900,0,0,0,0,0,28,113,495,8,0,0,0,2,0,2,1,0,0,0,0,0,0,243.875
500,2380,5700,31,67012,0,0,0,0,0,45,21,434,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.875
500,3241,6900,30,1183119,53,4,32,13,1,17,32,1009,0,0,2,0,0,0,0,1,0,0,0,0,1,0,136.375
500,2163,6500,13,109982,0,0,0,0,0,27,50,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154.125
500,2653,6800,95,38152,0,0,0,0,0,7,97,545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,278.875
500,2485,5800,30,195081,0,0,0,0,0,47,240,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.875
2000,3297,6700,68,694809,0,0,0,0,0,44,366,622,0,0,0,0,0,0,0,1,0,1,0,0,1,0,192.375
2000,3353,8000,85,233416,57,26,12,41,22,16,165,566,0,0,0,0,0,0,0,1,0,1,0,0,0,0,248.375
500,2113,7100,83,477063,0,0,0,0,0,5,10,19,0,0,0,0,0,0,2,1,0,0,0,0,0,0,104.125
2000,2968,6600,97,405694,0,0,0,0,0,45,252,730,0,0,0,0,0,0,0,1,0,1,0,0,1,0,228.625
5000,2443,8800,62,28203,0,0,0,0,0,17,32,52,0,2,2,2,0,0,0,1,0,0,0,0,0,0,68.875
3000,3157,7400,116,850888,0,0,0,0,0,2,339,571,0,0,0,0,0,0,0,1,0,1,2,0,1,0,52.375
2000,3038,9100,88,262738,13,3,1,7,2,13,23,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,298.625
500,2849,6000,25,366857,0,0,0,0,0,5,394,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.625
500,1756,6500,18,642619,0,0,0,0,0,53,107,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.375
NA,3570,7600,47,300522,22,13,0,17,10,9,641,203,0,0,0,0,0,0,2,1,0,1,0,0,1,0,100.125
NA,3570,5400,7,0,1,1,0,1,1,106,670,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
NA,3584,5600,28,29,4,1,0,4,1,9,408,1536,0,0,0,0,0,0,0,0,0,1,0,0,1,0,114.125
2000,3465,7900,37,0,5,0,0,3,0,13,23,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,360.375
500,3486,4700,92,90054,23,14,0,7,3,28,136,218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.125
NA,3612,7300,57,469247,16,6,2,14,6,53,51,497,0,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
NA,3556,5000,52,14073,11,3,4,9,3,5,234,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86.125
NA,3605,8000,44,985658,69,31,9,46,23,28,114,206,0,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
2000,3388,6400,39,1759054,187,14,132,39,10,28,114,1138,0,0,0,0,0,0,2,1,0,1,0,0,1,0,283.375
NA,3626,6000,31,53952,0,0,0,0,0,28,116,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
NA,3577,7000,76,7696,33,3,3,25,3,42,79,278,0,0,0,0,0,0,0,1,0,1,0,0,0,0,107.125
2000,3444,6900,87,16594,6,2,1,6,2,56,142,543,4,0,0,0,0,0,0,1,0,0,0,0,0,0,339.375
2000,3416,7300,63,97852,39,12,12,30,11,12,542,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
NA,3612,4600,6,0,1,0,0,1,0,178,709,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
NA,3591,0,2,235853,5,2,1,5,2,16,486,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.125
3000,3423,8700,132,862604,126,63,20,83,46,41,386,656,0,0,2,0,0,0,0,1,0,1,0,0,0,0,318.375
NA,3535,8000,87,5758,18,7,5,12,3,28,86,640,0,0,0,0,0,0,0,1,0,1,0,0,1,0,65.125
500,3493,8200,49,1602,7,5,0,4,2,152,714,1483,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125
500,3486,6300,65,47075,4,2,0,2,2,45,183,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.125
2000,3416,6300,60,127967,17,7,6,13,7,53,107,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
2000,3430,8700,84,28006,15,3,7,11,3,56,142,225,8,0,0,0,0,0,0,1,0,1,0,0,1,0,325.375
NA,3563,6100,53,18465,17,8,2,12,6,5,131,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93.125
NA,3626,6300,40,53952,0,0,0,0,0,28,116,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
NA,3577,9400,102,1139542,106,43,13,72,31,60,336,565,0,0,0,0,0,0,0,1,0,1,0,0,1,0,107.125
NA,3605,8700,46,284933,11,4,2,9,3,28,308,470,0,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
3000,3451,7100,96,6532,11,5,0,6,4,16,399,693,0,0,0,0,0,0,2,1,0,0,0,0,0,0,346.375
NA,3577,7800,19,0,1,1,0,1,1,144,449,833,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
NA,3577,8600,16,635758,11,5,2,6,3,28,308,1490,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
500,3416,7000,76,309164,41,16,5,34,16,1,423,753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
3000,3451,5900,82,33837,13,3,0,8,3,5,232,305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,346.375
NA,3605,8100,79,23277,22,6,2,17,5,7,706,243,16,0,0,0,0,0,0,1,0,0,0,0,0,0,135.125
NA,3570,7000,44,65248,4,2,0,4,2,13,362,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
NA,3601,7700,36,241220,18,1,5,12,1,60,542,763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,131.125
NA,3601,9300,33,1729826,66,30,2,41,20,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,131.125
2000,3395,9400,97,169441,64,29,11,47,27,81,553,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
NA,3535,5700,78,167598,4,1,0,2,1,45,658,1347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.125
2000,3521,8900,111,105605,38,22,2,24,13,49,370,628,0,0,0,0,0,0,0,1,0,1,0,0,1,0,51.125
2000,3500,6300,23,39964,8,2,2,4,2,12,722,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.125
NA,3591,4700,10,0,0,0,0,0,0,27,50,1130,0,0,0,0,0,0,0,1,0,1,0,0,1,0,121.125
2000,3458,7000,91,93023,25,9,0,15,5,49,345,1105,0,0,0,0,0,0,0,1,0,1,0,0,0,0,353.375
NA,3563,3500,3,135717,7,2,0,2,1,59,545,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
500,3514,7400,64,9596,1,0,0,1,0,85,586,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
NA,3577,6300,13,0,4,0,1,2,0,28,700,1515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
3000,3430,4900,25,23286,14,2,1,5,2,53,403,371,0,0,0,0,0,0,0,1,0,0,0,0,0,0,325.375
2000,3481,8200,28,171279,102,27,53,37,21,17,30,51,0,2,2,2,0,0,0,1,0,0,0,0,0,0,11.125
NA,3556,7800,53,0,4,2,0,3,1,27,583,199,0,2,0,2,0,0,0,0,0,1,0,0,1,0,86.125
NA,3601,9500,105,1729826,62,28,2,41,20,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,131.125
NA,3570,8000,32,346384,14,1,2,11,1,60,206,1083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
2000,3458,7400,80,132449,33,17,4,19,10,60,236,193,0,0,0,0,0,0,0,1,0,1,0,0,1,0,353.375
NA,3682,8300,3,275,13,8,1,13,8,9,67,432,0,0,0,0,0,0,0,1,0,1,0,0,1,0,212.125
NA,3535,7200,76,44828,19,10,3,15,8,53,111,686,0,0,0,0,0,0,0,1,0,1,0,0,1,0,65.125
NA,3575,7700,22,621939,39,7,8,23,7,5,265,1471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105.125
5000,3451,4900,116,382119,68,32,12,42,21,2,254,535,0,0,0,0,0,2,0,1,0,1,0,0,1,0,346.375
NA,3542,7800,73,17777,10,1,0,8,1,7,272,1466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.125
NA,3575,8000,43,621939,41,8,9,25,8,5,265,1471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105.125
2000,3395,9400,112,169441,58,27,11,44,25,81,553,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
500,3514,7600,63,9596,1,0,0,1,0,85,586,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
NA,3563,8100,69,671633,50,36,4,30,25,1,13,623,0,0,0,0,0,0,0,1,0,1,0,0,0,0,93.125
2000,3465,5400,25,489,7,3,1,5,3,187,540,1004,0,0,0,0,0,0,0,0,0,1,0,0,1,0,360.375
2000,3416,7400,72,97852,41,13,9,28,12,12,542,1397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
NA,3549,8400,77,5293,1,1,0,1,1,56,142,1010,0,2,0,0,0,0,0,1,0,0,0,0,0,0,79.125
2000,3451,8300,107,3247,28,6,4,12,4,28,72,1132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,346.375
500,3528,7800,49,1043453,97,45,14,66,34,17,30,39,0,2,2,2,0,0,2,0,0,1,0,0,1,0,58.125
NA,3605,8800,60,284933,12,4,2,10,3,28,308,470,0,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3605,8300,80,987149,41,15,4,24,11,53,109,176,0,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3591,7700,53,467004,13,6,1,9,4,45,100,156,0,0,0,0,0,0,0,1,0,1,0,0,1,0,121.125
NA,3605,8000,86,985658,63,30,8,45,22,28,114,206,0,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3563,8900,51,357567,51,21,12,31,16,3,4,6,0,2,0,2,0,0,0,1,0,0,0,0,0,0,93.125
NA,3682,0,0,0,0,0,0,0,0,27,252,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.125
NA,3584,6600,35,444809,20,1,7,12,1,12,21,1540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114.125
NA,3605,6400,50,597696,28,15,6,23,13,16,733,40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,135.125
500,3458,7000,87,93023,26,9,0,16,5,49,345,1105,0,0,0,0,0,0,0,1,0,1,0,0,0,0,353.375
2000,3416,6800,115,309164,42,18,5,35,17,1,423,753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
NA,3542,6100,57,10916,3,1,0,3,1,42,348,590,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.125
500,3388,6400,13,1759054,50,11,11,25,7,28,114,1138,0,0,0,0,0,0,2,1,0,0,0,0,0,0,283.375
NA,3556,4700,70,14073,12,3,4,9,3,5,234,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86.125
500,3409,7700,101,5935,39,4,6,10,3,42,78,128,0,0,0,0,0,0,0,1,0,0,2,0,0,0,304.375
2000,3444,7200,108,81138,28,12,3,21,11,53,109,582,0,0,0,0,0,0,0,1,0,1,0,0,0,0,339.375
NA,3612,7200,30,469247,14,6,2,13,6,53,51,497,0,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
500,3479,4600,38,6661,9,3,0,6,2,16,243,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
NA,3584,7500,54,18582,3,0,0,2,0,45,742,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
2000,3430,3000,7,23286,2,2,0,2,2,53,403,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
3000,3451,5100,86,382119,66,32,9,42,21,2,254,535,0,0,0,0,0,2,0,1,0,1,0,0,1,0,346.375
NA,3598,8700,44,4692569,143,68,7,100,45,5,551,11,18,0,0,0,0,0,0,1,0,1,0,0,1,0,128.125
2000,3444,6000,12,216245,11,3,3,8,3,60,251,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
500,3479,4400,42,6661,12,3,1,6,2,16,243,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
NA,3556,9000,64,233160,27,14,6,19,13,17,32,48,0,2,2,2,0,0,0,0,0,1,0,0,0,0,86.125
8000,3444,8300,125,58238,196,24,123,171,14,42,323,536,0,0,0,0,0,0,0,1,0,1,0,0,1,0,339.375
500,3388,6200,20,8229,2,1,0,2,1,53,21,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.375
2000,3458,7500,97,132449,36,19,5,21,11,60,236,193,0,0,0,0,0,0,0,1,0,1,0,0,1,0,353.375
NA,3535,7200,75,225894,36,13,3,21,11,102,136,533,0,0,0,0,0,0,0,1,0,1,0,0,0,0,65.125
NA,3612,7800,23,0,2,1,0,2,1,58,300,644,0,0,0,0,0,0,0,1,0,1,0,0,1,0,142.125
2000,3444,7200,92,81138,27,11,4,20,10,53,109,582,0,0,0,0,0,0,0,1,0,1,0,0,0,0,339.375
NA,3584,8500,41,1480378,101,58,8,57,35,16,35,46,0,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
NA,3563,5800,61,18465,16,8,2,12,6,5,131,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93.125
NA,3570,7100,63,65248,2,2,0,2,2,13,362,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
NA,3612,7100,73,0,2,1,0,2,1,58,300,644,0,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
2000,3451,7000,89,6532,11,5,0,6,4,16,399,693,0,0,0,0,0,0,2,1,0,0,0,0,0,0,346.375
3000,3481,8300,37,171279,131,28,79,103,22,17,30,51,0,2,2,2,0,0,0,1,0,0,0,0,0,0,11.125
NA,3682,0,0,275,17,10,1,17,10,9,67,432,0,0,0,0,0,0,0,0,0,1,0,0,1,0,212.125
NA,3584,8400,64,1480378,95,50,10,56,29,16,35,46,0,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
3000,3430,8700,114,28006,11,3,3,9,3,56,142,225,8,0,0,0,0,0,0,1,0,1,0,0,1,0,325.375
500,3472,6800,58,15055,2,1,0,1,0,15,329,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
500,3451,5200,9,2,3,0,0,1,0,82,270,854,0,0,0,0,0,0,0,1,0,1,0,0,1,0,346.375
2000,3395,8600,85,243024,91,36,21,66,33,60,185,104,0,0,0,0,0,0,0,1,0,1,0,0,1,0,290.375
500,3528,5200,81,670,1,0,0,1,0,56,541,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.125
500,3493,8100,56,1602,12,5,0,4,2,152,714,1483,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125
500,3472,6500,45,15055,4,1,0,1,0,15,329,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
13000,3451,4500,6,144409,13,0,7,4,0,5,499,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
