"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_467","Cat_469","Cat_470","Cat_484","Cat_495","Cat_498","Quan_27","Day_Of_Year_1"
500,4600,3,38595,0,0,0,0,0,"244","395",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,117.875
500,7300,85,0,0,0,0,0,0,"268","586",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,158.625
2000,6400,29,0,0,0,0,0,0,"97","182",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,274.375
2000,6800,21,0,0,0,0,0,0,"77","329",4,0,"0","0","2","0","0","0","0","0","0","0","0",0,155.125
500,5700,13,13798,0,0,0,0,0,"140","222",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,116.625
3000,7600,55,0,14,5,8,7,1,"32","1354",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,136.375
5000,7100,58,327817,0,0,0,0,0,"180","546",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,76.375
500,8000,79,143718,0,0,0,0,0,"141","572",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,278.875
2000,7900,61,652377,0,0,0,0,0,"30","51",2,0,"2","2","2","0","0","0","0","0","0","0","0",0,15.375
3000,7200,61,606019,0,0,0,0,0,"268","431",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,59.875
500,6900,39,73049,4,1,1,3,1,"304","1388",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,241.375
3000,0,1,224077,80,6,67,4,1,"357","1166",4,0,"2","0","0","0","0","0","0","0","0","0","0",0,138.375
18000,7200,105,856200,0,0,0,0,0,"247","399",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,75.875
6000,8200,101,743429,0,0,0,0,0,"114","189",2,16,"0","0","0","0","0","1","2","0","0","0","0",0,259.125
21000,8400,63,1649272,0,0,0,0,0,"30","39",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,42.625
3000,8200,50,743429,0,0,0,0,0,"114","189",2,14,"0","0","0","0","0","1","2","0","0","0","0",0,259.125
2000,7800,106,343410,0,0,0,0,0,"238","389",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,348.875
8000,8900,37,0,12,5,5,5,4,"70","1168",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.375
500,6600,9,0,1,0,0,1,0,"46","677",16,0,"0","0","0","0","0","0","0","0","0","0","0",0,144.625
500,5500,52,0,40,11,5,19,9,"138","1152",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,262.375
2000,7900,53,58806,0,0,0,0,0,"101","158",4,0,"2","0","0","0","0","0","2","0","0","0","0",0,260.375
3000,6500,79,529465,0,0,0,0,0,"39","252",2,8,"0","0","0","0","0","0","0","0","0","0","0",0,133.125
500,6700,66,503559,0,0,0,0,0,"29","37",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,246.375
2000,6900,29,396498,0,0,0,0,0,"160","251",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,76.125
29000,8600,92,1172663,36,13,17,7,5,"32","48",4,0,"2","2","2","0","0","1","2","0","0","0","0",0,87.375
3000,8100,44,438659,0,0,0,0,0,"30","51",2,0,"2","2","2","0","0","0","0","0","0","0","0",0,14.125
5000,7300,100,872255,76,33,26,37,24,"35","260",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,101.375
3000,8500,84,169907,60,20,24,45,16,"424","754",0,0,"0","0","0","0","0","1","0","0","0","0","1",0,262.375
500,5300,10,176797,3,0,0,3,0,"403","1234",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,136.375
2000,6300,73,35887,0,0,0,0,0,"236","387",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,96.875
2000,6100,70,215765,0,0,0,0,0,"183","18",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,91.125
2000,8100,96,0,0,0,0,0,0,"90","140",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,259.125
2000,7600,63,4538,7,2,2,2,1,"385","655",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,66.375
500,4700,55,13632,1,0,0,1,0,"477","85",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,361.625
2000,4000,7,98168,0,0,0,0,0,"140","222",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
500,7300,6,119498,0,0,0,0,0,"127","202",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,84.125
2000,7600,51,384726,0,0,0,0,0,"38","380",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,336.125
500,6200,89,1564,0,0,0,0,0,"300","644",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,25.625
2000,6000,42,55669,35,16,10,18,10,"12","1362",2,0,"2","0","0","0","0","0","0","0","0","0","0",0,269.375
6000,9000,82,802286,0,0,0,0,0,"32","48",7,0,"2","2","2","0","0","1","2","0","0","0","0",0,109.625
500,4300,48,108948,0,0,0,0,0,"251","672",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,32.625
6000,8300,110,870647,0,0,0,0,0,"32","40",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,142.625
500,5600,60,331563,0,0,0,0,0,"64","360",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,293.125
2000,6400,24,0,27,3,3,6,0,"180","285",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,129.375
3000,8400,144,1173440,0,0,0,0,0,"23","30",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,36.375
500,6400,4,0,0,0,0,0,0,"420","739",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.625
6000,7800,43,697011,0,0,0,0,0,"5","5",2,0,"2","2","2","2","0","0","0","0","0","0","0",0,239.375
500,7700,90,75621,0,0,0,0,0,"135","217",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,56.125
11000,8600,121,1399606,0,0,0,0,0,"79","129",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,134.375
6000,8900,44,907439,0,0,0,0,0,"77","127",2,0,"2","0","2","0","0","0","0","0","0","0","0",0,243.875
2000,8600,95,395580,0,0,0,0,0,"290","478",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,186.625
3000,7900,72,58648,0,0,0,0,0,"5","7",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,71.375
2000,7500,87,1575180,0,0,0,0,0,"10","19",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,142.625
5000,7300,49,788296,0,0,0,0,0,"32","49",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,91.125
500,6400,26,150368,0,0,0,0,0,"176","660",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,327.875
500,0,1,174848,0,0,0,0,0,"176","323",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,116.625
500,6800,35,73049,4,1,1,4,1,"304","1388",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,241.375
500,6200,7,0,3,0,1,0,0,"482","69",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,136.375
500,7800,77,466603,0,0,0,0,0,"98","193",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,222.875
500,8000,67,275695,0,0,0,0,0,"141","224",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,357.375
2000,8300,90,372875,0,0,0,0,0,"82","311",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,55.125
3000,8600,96,248407,0,0,0,0,0,"142","225",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.625
3000,8500,134,420774,0,0,0,0,0,"106","172",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,179.625
2000,5000,71,50584,0,0,0,0,0,"373","631",4,4,"0","0","0","0","0","0","0","0","0","0","0",0,116.625
500,7500,46,8412,0,0,0,0,0,"213","348",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,217.125
500,5200,41,769,35,0,24,7,0,"50","1125",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.375
500,7800,76,14,11,5,3,7,2,"559","637",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,255.375
500,4400,5,334360,1,0,0,0,0,"129","1131",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,122.375
500,4400,12,25831,2,0,0,2,0,"484","377",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,150.375
500,2900,37,233505,0,0,0,0,0,"252","447",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,151.625
3000,7200,60,47363,0,0,0,0,0,"5","7",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,70.125
2000,7700,88,557614,0,0,0,0,0,"132","446",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,124.875
500,7100,56,111812,0,0,0,0,0,"333","559",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,232.875
2000,8300,64,14306,8,4,3,2,2,"142","1010",0,12,"2","0","0","0","0","0","0","0","0","0","0",0,81.375
500,5500,10,384334,0,0,0,0,0,"176","277",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,112.125
5000,4200,37,0,58,1,42,6,0,"627","1179",4,0,"0","0","2","0","0","0","2","0","0","0","0",0,124.375
23000,8800,68,16504,23,9,14,6,3,"32","52",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,66.375
3000,7500,57,777132,0,0,0,0,0,"187","295",4,8,"0","0","0","0","0","0","0","0","0","0","0",0,56.125
2000,7700,88,0,23,7,5,13,5,"232","305",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,354.625
500,7900,37,0,0,0,0,0,0,"32","198",7,0,"2","0","2","0","0","0","0","0","0","0","0",0,352.125
5000,8300,53,503093,0,0,0,0,0,"168","398",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,75.875
2000,8400,95,336930,0,0,0,0,0,"67","432",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,26.875
5000,7600,84,820707,0,0,0,0,0,"31","40",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,120.375
2000,4300,18,0,5,1,2,2,0,"327","1146",4,0,"0","0","2","0","0","0","0","0","0","0","0",0,73.375
500,7800,84,1879,9,4,3,6,3,"11","587",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,361.625
15000,8800,110,527439,0,0,0,0,0,"114","189",4,16,"0","0","0","0","0","1","2","0","0","0","0",0,140.375
3000,5700,8,227165,9,1,6,2,0,"9","382",4,0,"2","0","0","0","0","0","0","0","0","0","0",0,115.375
500,6300,53,241413,0,0,0,0,0,"243","244",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,362.875
3000,7500,98,850888,0,0,0,0,0,"339","571",0,0,"0","0","0","0","0","1","2","0","0","0","1",3,52.375
5000,8400,113,538046,0,0,0,0,0,"114","183",0,16,"0","0","0","0","0","1","2","0","0","0","0",0,110.875
500,6800,46,75598,0,0,0,0,0,"32","201",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,198.375
500,3800,39,450556,11,1,2,11,1,"243","244",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,136.375
3000,7400,109,250974,0,0,0,0,0,"13","16",0,8,"0","0","0","0","0","0","0","0","0","0","0",0,142.625
2000,7500,82,0,0,0,0,0,0,"76","126",0,0,"2","0","0","0","0","0","2","0","0","0","0",0,239.375
2000,7200,127,941734,25,7,11,10,4,"33","643",0,0,"0","0","0","0","0","1","0","0","0","0","0",1,221.625
2000,7900,75,208574,27,6,14,12,6,"31","286",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,312.625
500,7700,70,155555,2,0,2,0,0,"403","701",4,0,"0","2","0","0","0","0","0","0","0","0","0",0,235.625
2000,7200,80,242444,6,0,2,2,0,"38","664",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,123.625
18000,8500,58,1238684,0,0,0,0,0,"30","39",4,0,"2","2","2","2","2","1","0","0","0","0","0",0,40.875
2000,8600,129,780782,0,0,0,0,0,"79","278",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,116.625
2000,5500,68,761,0,0,0,0,0,"268","443",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,194.875
500,6300,10,221857,0,0,0,0,0,"107","174",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,118.125
500,7700,27,466940,0,0,0,0,0,"4","213",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,357.375
40000,9300,114,3220430,0,0,0,0,0,"7","11",4,18,"0","0","0","0","0","1","2","0","0","0","1",0,130.625
2000,8000,30,539483,0,0,0,0,0,"30","51",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,12.875
2000,7200,101,324749,0,0,0,0,0,"217","355",0,10,"0","0","0","0","0","0","0","0","0","0","0",0,266.125
500,6700,62,570116,0,0,0,0,0,"208","340",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,217.125
2000,8800,125,348241,85,25,42,39,20,"33","384",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,206.375
5000,8600,34,15804,0,0,0,0,0,"32","52",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,71.125
2000,6300,12,97941,0,0,0,0,0,"27","453",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,138.875
2000,6100,98,641442,0,0,0,0,0,"114","632",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,151.625
3000,8000,43,1164838,0,0,0,0,0,"33","44",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,134.375
3000,7200,55,495179,0,0,0,0,0,"178","281",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,126.125
2000,7900,44,11049,0,0,0,0,0,"114","265",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,138.875
500,5700,12,407303,19,3,9,8,2,"395","19",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
500,6400,10,190084,2,1,0,2,1,"394","680",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
3000,7600,87,371070,0,0,0,0,0,"35","46",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,282.625
5000,6900,22,416229,0,0,0,0,0,"127","202",0,16,"0","0","0","0","0","0","0","0","0","0","0",0,78.375
2000,6900,68,664806,0,0,0,0,0,"232","378",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,336.125
8000,7900,67,90029,0,0,0,0,0,"32","52",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,71.375
2000,7000,45,0,0,0,0,0,0,"4","7",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,67.875
2000,6700,56,0,0,0,0,0,0,"488","901",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,235.625
500,5600,6,0,0,0,0,0,0,"9","890",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,123.625
2000,4300,11,88573,0,0,0,0,0,"6","551",0,14,"2","0","0","0","0","0","0","0","0","0","0",0,138.875
3000,6100,81,779035,51,26,11,25,18,"247","399",0,0,"0","0","0","0","0","1","0","0","0","0","1",0,115.375
2000,7200,33,49009,0,0,0,0,0,"50","199",7,0,"2","0","2","0","0","0","0","0","0","0","0",0,252.125
500,3100,5,47068,0,0,0,0,0,"127","425",2,8,"2","0","0","0","0","0","0","0","0","0","0",0,117.875
2000,8000,47,139621,0,0,0,0,0,"144","228",3,0,"0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,7300,40,304225,0,0,0,0,0,"4","204",4,0,"0","2","2","0","0","0","0","0","0","0","0",0,13.125
6000,8900,53,676207,32,4,10,10,3,"77","127",2,0,"2","0","2","0","0","0","0","0","0","0","0",0,242.625
3000,7700,49,253625,0,0,0,0,0,"114","265",2,0,"0","0","0","0","0","0","2","0","0","0","0",0,119.125
2000,6000,65,48178,0,0,0,0,0,"48","66",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,268.625
2000,7900,76,145077,64,4,48,44,3,"30","44",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,340.625
2000,3600,33,76996,0,0,0,0,0,"273","441",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,151.875
8000,9100,131,582649,0,0,0,0,0,"336","565",0,0,"0","0","0","0","0","1","0","1","2","0","0",0,53.625
500,3600,8,334360,1,0,0,0,0,"129","1131",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,122.375
2000,7600,52,257699,38,12,4,28,10,"38","79",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,262.375
500,8500,47,0,2,1,0,1,1,"259","671",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,24.375
2000,6200,68,148496,0,0,0,0,0,"32","48",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,142.625
2000,6800,98,214006,0,0,0,0,0,"8","18",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,7000,89,39995,0,0,0,0,0,"97","182",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,57.375
500,0,0,0,4,2,1,3,2,"73","279",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,213.375
500,3500,4,11675,0,0,0,0,0,"194","10",0,0,"2","0","0","0","0","0","0","0","0","0","0",0,84.125
2000,7400,112,941734,22,7,9,11,4,"33","643",0,0,"0","0","0","0","0","1","2","0","0","0","0",1,221.625
500,7800,28,245463,0,0,0,0,0,"362","213",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,4.625
13000,8000,86,1951543,0,0,0,0,0,"30","39",2,0,"2","2","2","2","0","1","0","0","0","0","0",0,50.375
2000,8900,136,395580,0,0,0,0,0,"290","478",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,186.625
8000,8900,118,1394197,0,0,0,0,0,"114","206",0,0,"0","0","0","0","0","1","2","0","0","0","1",1,137.625
2000,8500,94,755977,0,0,0,0,0,"109","582",4,16,"0","0","0","0","0","1","0","0","0","0","0",0,334.875
2000,8400,81,212135,0,0,0,0,0,"269","433",0,4,"0","0","0","0","0","0","0","0","0","0","0",0,5.875
500,8300,94,172979,95,20,61,58,16,"564","1054",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,234.375
500,6400,5,150368,0,0,0,0,0,"176","660",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,327.875
500,6200,5,407303,21,3,11,8,2,"395","19",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,7100,62,136366,0,0,0,0,0,"251","404",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,89.875
500,5600,64,166518,0,0,0,0,0,"230","375",2,2,"2","0","0","0","0","0","0","0","0","0","0",0,343.125
500,5900,17,283838,7,0,4,2,0,"578","1081",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,87.375
3000,8000,61,13671,0,0,0,0,0,"32","49",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,95.625
500,8300,135,488430,0,0,0,0,0,"334","562",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,186.625
5000,7400,92,872255,73,33,22,37,23,"34","260",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,101.375
2000,4900,21,49935,0,0,0,0,0,"9","287",0,12,"0","0","0","0","0","0","0","0","0","0","0",0,134.125
2000,7300,55,477063,0,0,0,0,0,"10","19",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,104.125
500,6700,18,471617,0,0,0,0,0,"116","186",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,295.375
21000,8800,74,696622,313,26,273,288,19,"4","6",4,10,"2","2","2","0","0","0","0","0","0","0","0",0,94.375
2000,6400,39,5633,40,1,29,6,0,"50","1126",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.375
500,6100,45,9772,1,1,0,1,1,"143","895",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,122.375
500,7100,106,37215,0,0,0,0,0,"278","460",0,8,"0","0","0","0","0","0","0","0","0","0","0",0,320.875
500,6500,4,0,0,0,0,0,0,"409","718",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,89.625
2000,8200,102,447992,0,0,0,0,0,"40","56",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,263.625
5000,8500,154,401293,0,0,0,0,0,"323","536",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,327.875
5000,8300,106,793103,0,0,0,0,0,"78","128",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,246.375
2000,8200,50,412632,0,0,0,0,0,"32","50",4,0,"0","0","2","0","0","0","0","0","0","0","0",0,246.375
500,4500,43,56051,0,0,0,0,0,"426","757",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.625
2000,0,0,386836,10,3,4,0,0,"243","898",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,7900,81,940341,30,10,7,18,8,"38","763",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,361.625
2000,6700,29,163947,11,3,5,3,0,"584","403",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,121.375
2000,7600,69,824187,29,3,14,14,3,"27","981",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,347.625
500,5000,43,224371,0,0,0,0,0,"216","412",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.875
500,3800,48,84266,0,0,0,0,0,"158","249",0,12,"0","0","0","0","0","0","0","0","0","0","0",0,357.375
3000,8700,58,222511,0,0,0,0,0,"32","48",7,0,"2","2","2","0","0","0","2","0","0","0","0",0,103.875
500,5300,34,149219,16,2,4,2,0,"46","1262",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,248.375
5000,2600,17,3936,42,2,34,5,0,"49","1145",2,0,"0","0","2","0","0","0","0","0","0","0","0",0,138.375
2000,6900,67,214006,0,0,0,0,0,"246","18",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,7100,48,192962,0,0,0,0,0,"233","379",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,334.125
500,6300,36,62276,0,0,0,0,0,"48","216",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,126.125
3000,6400,85,642451,0,0,0,0,0,"31","40",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,137.875
2000,7700,42,267629,0,0,0,0,0,"41","57",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,112.125
2000,7800,103,0,22,7,5,15,5,"232","305",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,354.625
500,0,2,44363,1,0,0,1,0,"534","992",4,0,"0","0","2","0","0","0","0","0","0","0","0",0,326.625
500,3800,12,91161,0,0,0,0,0,"9","12",0,12,"0","0","0","0","0","0","0","0","0","0","0",0,147.125
500,8200,123,488430,0,0,0,0,0,"334","562",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,186.625
500,8200,116,272994,0,0,0,0,0,"141","224",0,8,"0","0","0","0","0","0","0","0","0","0","0",0,357.375
5000,8200,105,624769,0,0,0,0,0,"35","367",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,357.125
500,7300,94,0,0,0,0,0,0,"268","586",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,158.625
500,5000,33,26436,0,0,0,0,0,"214","349",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,224.125
500,5900,89,317271,0,0,0,0,0,"335","564",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,200.625
500,7200,12,119498,0,0,0,0,0,"127","202",0,21,"0","0","0","0","0","0","0","0","0","0","0",0,84.125
3000,8400,87,916743,68,15,26,35,14,"51","563",2,0,"2","0","0","0","0","1","0","0","0","0","0",0,326.625
500,5800,77,149470,0,0,0,0,0,"15","366",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,357.125
2000,6400,53,16442,0,0,0,0,0,"97","151",2,8,"0","0","0","0","0","0","0","0","0","0","0",0,260.375
500,5900,46,4221,0,0,0,0,0,"10","123",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,172.625
500,5500,53,396297,0,0,0,0,0,"126","200",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,316.375
2000,8700,182,4741,0,0,0,0,0,"341","585",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,235.625
2000,4200,19,631652,0,0,0,0,0,"100","156",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,211.375
500,5500,36,564834,0,0,0,0,0,"225","369",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,338.125
6000,9300,144,1650772,0,0,0,0,0,"223","364",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,345.125
500,7500,46,245463,0,0,0,0,0,"362","213",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,4.625
500,3500,8,91161,0,0,0,0,0,"9","12",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,231.125
10000,7500,65,1969756,80,8,42,24,5,"192","1117",4,0,"0","0","0","0","0","1","0","0","0","0","0",2,124.375
2000,5500,11,153980,0,0,0,0,0,"129","207",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,139.125
500,6200,16,164171,0,0,0,0,0,"114","187",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,330.375
500,6300,22,230598,0,0,0,0,0,"77","150",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,96.875
2000,6000,37,23149,0,0,0,0,0,"48","66",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,358.875
2000,6900,96,549715,0,0,0,0,0,"208","340",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,217.125
3000,8000,33,691706,0,0,0,0,0,"4","6",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,133.375
500,5500,40,51652,0,0,0,0,0,"167","263",4,16,"0","0","0","0","0","0","0","0","0","0","0",0,344.375
