"Outcome_M4","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_466","Cat_467","Cat_469","Cat_470","Cat_495","Quan_27","Day_Of_Year_1"
500,2313,4200,36,561128,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,220,359,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,304.125
10000,2485,8000,91,883301,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,413,3.25355450236967,16,0,0,0,0,0,2,0,0,0,110.875
3000,3339,8500,122,1178524,124,27,34,54,21,274,444,2,11.0857142857143,0,0,0,0,1,2,0,0,0,234.375
2000,2079,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,115,253,2,11.0857142857143,0,0,0,0,0,2,0,0,0,70.125
2000,2261,7400,40,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,199,4,11.0857142857143,2,0,2,0,0,0,0,0,0,252.125
2000,1890,6800,69,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,29,37,2,11.0857142857143,0,0,0,0,0,0,0,0,0,246.375
2000,2484,5500,10,1275,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,243,403,4,11.0857142857143,0,0,0,0,0,0,0,0,0,109.875
5000,3171,7700,103,90686,31,8,14,19,7,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,66.375
2000,1778,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,9,12,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,134.375
8000,2877,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,114,206,3.25355450236967,11.0857142857143,0,0,0,0,1,2,0,0,0,137.625
500,2142,5200,21,308925,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,132,212,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,133.125
2000,2477,6400,35,204611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,64,96,2,11.0857142857143,0,0,2,0,0,0,0,0,0,102.875
500,2842,6900,71,17619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,407,712,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,102.625
6000,1757,8200,107,689611,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,11,14,4,11.0857142857143,0,0,0,0,0,2,0,0,0,113.375
2000,3218,6100,54,365492,26,5,17,9,4,114,1000,2,11.0857142857143,0,0,0,0,0,0,0,0,0,113.375
2000,2569,5600,91,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,268,443,4,11.0857142857143,0,0,0,0,0,0,0,0,0,194.875
500,3199,5300,5,72774,2,1,0,2,1,392,675,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,94.375
3000,1548,7500,78,23013,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,3,8,4,4,2,0,0,0,0,0,0,0,0,269.625
60000,2134,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,7,11,4,24,0,0,0,0,1,2,1,0,0,125.125
2000,3181,3800,57,440417.6367713,36,7,5,9,3,147,1128,2,11.0857142857143,0,0,0,0,0,0,0,0,0,76.375
2000,3353,7100,21,65693,69,17,34,55,13,4,5,2,11.0857142857143,2,2,2,0,0,0,0,0,0,248.375
2000,2891,5900,69,641442,17,2,8,10,2,114,632,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,151.625
500,1777,7900,32,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,5,7,4,11.0857142857143,2,2,2,0,0,0,0,0,0,133.375
2000,2254,8000,74,682260,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,210,344,2,11.0857142857143,0,0,0,0,0,0,0,0,0,245.125
15000,3192,7900,109,669770,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,362,30,3.25355450236967,11.0857142857143,0,0,0,0,1,2,0,0,0,87.375
500,2758,6800,30,2727,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,667,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,18.625
2000,1967,5800,61,575483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,28,2,11.0857142857143,0,0,0,0,0,0,0,0,0,323.375
6000,1526,8800,100,561962,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,28,36,2,11.0857142857143,0,0,0,0,0,2,0,0,0,247.625
2000,1876,8100,60,412632,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,32,50,4,11.0857142857143,0,0,2,0,0,0,0,0,0,232.375
2000,2100,8500,88,643979,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,20,87,2,8,0,0,0,0,0,2,0,0,0,91.125
5000,1778,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,30,39,2,11.0857142857143,2,2,2,0,0,0,0,0,0,134.375
2000,1602,8100,127,29197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,75,125,2,11.0857142857143,0,2,0,0,0,2,0,0,0,323.625
500,2933,5500,53,33,1,0,0,1,0,21,702,4,11.0857142857143,2,0,0,0,0,0,0,0,0,193.625
2000,2345,7700,88,385016,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,38,380,2,11.0857142857143,0,0,0,0,0,2,0,0,0,336.125
500,1778,4900,47,445190,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,120,192,2,11.0857142857143,0,0,0,0,0,0,0,0,0,134.375
5000,2296,7900,101,1416697,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,89,139,2,11.0857142857143,0,0,0,0,0,2,0,0,0,287.125
3000,2604,9200,124,752566,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,23,32,2,11.0857142857143,0,0,0,0,1,2,0,0,0,229.875
2000,2618,7300,92,94900,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,113,495,3.25355450236967,8,0,0,0,0,0,0,0,0,0,243.875
500,2380,5700,31,67012,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,21,434,4,11.0857142857143,2,0,0,0,0,0,0,0,0,5.875
3000,3241,6900,30,1183119,53,4,32,13,1,32,1009,2,11.0857142857143,0,2,0,0,0,0,0,0,0,136.375
2000,2163,6500,13,109982,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,50,69,4,11.0857142857143,0,0,0,0,0,0,0,0,0,154.125
2000,2653,6800,95,38152,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,97,545,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,278.875
500,2485,5800,30,195081,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,240,291,2,11.0857142857143,0,0,0,0,0,0,0,0,0,110.875
2000,3297,6700,68,694809,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,366,622,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,192.375
2000,3353,8000,85,233416,57,26,12,41,22,165,566,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,248.375
3000,2113,7100,83,477063,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,10,19,2,11.0857142857143,0,0,0,0,0,0,0,0,0,104.125
2000,2968,6600,97,405694,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,252,730,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,228.625
19000,2443,8800,62,28203,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,32,52,4,11.0857142857143,2,2,2,0,0,0,0,0,0,68.875
3000,3157,7400,116,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,339,571,3.25355450236967,11.0857142857143,0,0,0,0,1,2,0,0,0,52.375
3000,3038,9100,88,262738,13,3,1,7,2,23,32,2,11.0857142857143,0,0,0,0,0,0,0,0,0,298.625
500,2849,6000,25,366857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,394,680,4,11.0857142857143,0,0,0,0,0,0,0,0,0,109.625
2000,1756,6500,18,642619,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,107,174,2,11.0857142857143,0,0,0,0,0,0,0,0,0,112.375
2000,3570,7600,47,300522,22,13,0,17,10,641,203,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,100.125
500,3570,5400,7,440417.6367713,1,1,0,1,1,670,1375,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,100.125
2000,3584,5600,28,29,4,1,0,4,1,408,1536,2,11.0857142857143,0,0,0,0,1,0,0,0,0,114.125
500,3465,7900,37,440417.6367713,5,0,0,3,0,23,32,2,11.0857142857143,0,0,0,0,0,0,0,0,0,360.375
500,3486,4700,92,90054,23,14,0,7,3,136,218,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,16.125
5000,3612,7300,57,469247,16,6,2,14,6,51,497,4,11.0857142857143,0,0,0,0,1,0,0,0,0,142.125
2000,3556,5000,52,14073,11,3,4,9,3,234,20,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,86.125
5000,3605,8000,44,985658,69,31,9,46,23,114,206,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
3000,3388,6400,39,1759054,187,14,132,39,10,114,1138,4,11.0857142857143,0,0,0,0,1,0,0,0,0,283.375
NA,3626,6000,31,53952,0,0,0,0,0,116,1539,2,11.0857142857143,0,0,0,0,0,0,0,0,0,156.125
500,3577,7000,76,7696,33,3,3,25,3,79,278,4,11.0857142857143,0,0,0,0,1,0,0,0,0,107.125
500,3444,6900,87,16594,6,2,1,6,2,142,543,3.25355450236967,4,0,0,0,0,0,0,0,0,0,339.375
2000,3416,7300,63,97852,39,12,12,30,11,542,1397,2,11.0857142857143,0,0,0,0,0,0,0,0,0,311.375
500,3612,4600,6,440417.6367713,1,0,0,1,0,709,1473,4,11.0857142857143,0,0,0,0,0,0,0,0,0,142.125
500,3591,6987.22826086957,2,235853,5,2,1,5,2,486,898,2,11.0857142857143,0,0,0,0,0,0,0,0,0,121.125
3000,3423,8700,132,862604,126,63,20,83,46,386,656,3.25355450236967,11.0857142857143,0,2,0,0,1,0,0,0,0,318.375
3000,3535,8000,87,5758,18,7,5,12,3,86,640,2,11.0857142857143,0,0,0,0,1,0,0,0,0,65.125
500,3493,8200,49,1602,7,5,0,4,2,714,1483,2,11.0857142857143,0,0,0,0,1,0,0,0,0,23.125
500,3486,6300,65,47075,4,2,0,2,2,183,1366,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,16.125
2000,3416,6300,60,127967,17,7,6,13,7,107,264,2,11.0857142857143,0,0,0,0,0,0,0,0,0,311.375
2000,3430,8700,84,28006,15,3,7,11,3,142,225,2,8,0,0,0,0,1,0,0,0,0,325.375
500,3563,6100,53,18465,17,8,2,12,6,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,93.125
NA,3626,6300,40,53952,0,0,0,0,0,116,1539,2,11.0857142857143,0,0,0,0,0,0,0,0,0,156.125
8000,3577,9400,102,1139542,106,43,13,72,31,336,565,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,107.125
3000,3605,8700,46,284933,11,4,2,9,3,308,470,4,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
2000,3451,7100,96,6532,11,5,0,6,4,399,693,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,346.375
500,3577,7800,19,440417.6367713,1,1,0,1,1,449,833,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,107.125
3000,3577,8600,16,635758,11,5,2,6,3,308,1490,2,11.0857142857143,0,0,0,0,0,0,0,0,0,107.125
2000,3416,7000,76,309164,41,16,5,34,16,423,753,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,311.375
500,3451,5900,82,33837,13,3,0,8,3,232,305,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,346.375
8000,3605,8100,79,23277,22,6,2,17,5,706,243,2,16,0,0,0,0,0,0,0,0,0,135.125
500,3570,7000,44,65248,4,2,0,4,2,362,30,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,100.125
2000,3601,7700,36,241220,18,1,5,12,1,542,763,2,11.0857142857143,0,0,0,0,0,0,0,0,0,131.125
13000,3601,9300,33,1729826,66,30,2,41,20,1,1,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,131.125
2000,3395,9400,97,169441,64,29,11,47,27,553,273,2,11.0857142857143,0,0,0,0,0,0,0,0,0,290.375
5000,3535,5700,78,167598,4,1,0,2,1,658,1347,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,65.125
2000,3521,8900,111,105605,38,22,2,24,13,370,628,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,51.125
2000,3500,6300,23,39964,8,2,2,4,2,722,1503,2,11.0857142857143,0,0,0,0,0,0,0,0,0,30.125
500,3591,4700,10,440417.6367713,0,0,0,0,0,50,1130,3,11.0857142857143,0,0,0,0,1,0,0,0,0,121.125
500,3458,7000,91,93023,25,9,0,15,5,345,1105,2,11.0857142857143,0,0,0,0,1,0,0,0,0,353.375
2000,3563,3500,3,135717,7,2,0,2,1,545,1543,2,11.0857142857143,0,0,0,0,0,0,0,0,0,93.125
500,3514,7400,64,9596,1,0,0,1,0,586,1084,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,44.125
500,3577,6300,13,440417.6367713,4,0,1,2,0,700,1515,2,11.0857142857143,0,0,0,0,0,0,0,0,0,107.125
500,3430,4900,25,23286,14,2,1,5,2,403,371,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,325.375
5000,3481,8200,28,171279,102,27,53,37,21,30,51,4,11.0857142857143,2,2,2,0,0,0,0,0,0,11.125
5000,3556,7800,53,440417.6367713,4,2,0,3,1,583,199,7,11.0857142857143,2,0,2,0,1,0,0,0,0,86.125
23000,3601,9500,105,1729826,62,28,2,41,20,1,1,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,131.125
2000,3570,8000,32,346384,14,1,2,11,1,206,1083,2,11.0857142857143,0,0,0,0,0,0,0,0,0,100.125
2000,3458,7400,80,132449,33,17,4,19,10,236,193,2,11.0857142857143,0,0,0,0,1,0,0,0,0,353.375
NA,3682,8300,3,275,13,8,1,13,8,67,432,2,11.0857142857143,0,0,0,0,1,0,0,0,0,212.125
2000,3535,7200,76,44828,19,10,3,15,8,111,686,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,65.125
3000,3575,7700,22,621939,39,7,8,23,7,265,1471,2,11.0857142857143,0,0,0,0,0,0,0,0,0,105.125
500,3451,4900,116,382119,68,32,12,42,21,254,535,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,346.375
5000,3542,7800,73,17777,10,1,0,8,1,272,1466,2,11.0857142857143,0,0,0,0,0,0,0,0,0,72.125
5000,3575,8000,43,621939,41,8,9,25,8,265,1471,2,11.0857142857143,0,0,0,0,0,0,0,0,0,105.125
3000,3395,9400,112,169441,58,27,11,44,25,553,273,2,2,0,0,0,0,0,0,0,0,0,290.375
500,3514,7600,63,9596,1,0,0,1,0,586,1084,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,44.125
3000,3563,8100,69,671633,50,36,4,30,25,13,623,2,11.0857142857143,0,0,0,0,1,0,0,0,0,93.125
2000,3465,5400,25,489,7,3,1,5,3,540,1004,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,360.375
2000,3416,7400,72,97852,41,13,9,28,12,542,1397,2,11.0857142857143,0,0,0,0,0,0,0,0,0,311.375
2000,3549,8400,77,5293,1,1,0,1,1,142,1010,2,11.0857142857143,2,0,0,0,0,0,0,0,0,79.125
2000,3451,8300,107,3247,28,6,4,12,4,72,1132,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,346.375
56000,3528,7800,49,1043453,97,45,14,66,34,30,39,6,11.0857142857143,2,2,2,0,1,0,0,0,0,58.125
3000,3605,8800,60,284933,12,4,2,10,3,308,470,4,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
10000,3605,8300,80,987149,41,15,4,24,11,109,176,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
2000,3591,7700,53,467004,13,6,1,9,4,100,156,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,121.125
6000,3605,8000,86,985658,63,30,8,45,22,114,206,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
19000,3563,8900,51,357567,51,21,12,31,16,4,6,4,11.0857142857143,2,0,2,0,0,0,0,0,0,93.125
NA,3682,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,252,1133,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,212.125
2000,3584,6600,35,444809,20,1,7,12,1,21,1540,4,11.0857142857143,0,0,0,0,0,0,0,0,0,114.125
5000,3605,6400,50,597696,28,15,6,23,13,733,40,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,135.125
500,3458,7000,87,93023,26,9,0,16,5,345,1105,2,11.0857142857143,0,0,0,0,1,0,0,0,0,353.375
2000,3416,6800,115,309164,42,18,5,35,17,423,753,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,311.375
2000,3542,6100,57,10916,3,1,0,3,1,348,590,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,72.125
500,3388,6400,13,1759054,50,11,11,25,7,114,1138,4,11.0857142857143,0,0,0,0,0,0,0,0,0,283.375
2000,3556,4700,70,14073,12,3,4,9,3,234,20,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,86.125
500,3409,7700,101,5935,39,4,6,10,3,78,128,4,11.0857142857143,0,0,0,0,0,2,0,0,0,304.375
500,3444,7200,108,81138,28,12,3,21,11,109,582,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,339.375
3000,3612,7200,30,469247,14,6,2,13,6,51,497,4,11.0857142857143,0,0,0,0,1,0,0,0,0,142.125
500,3479,4600,38,6661,9,3,0,6,2,243,244,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,9.125
500,3584,7500,54,18582,3,0,0,2,0,742,1542,4,11.0857142857143,0,0,0,0,0,0,0,0,0,114.125
500,3430,3000,7,23286,2,2,0,2,2,403,371,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,325.375
500,3451,5100,86,382119,66,32,9,42,21,254,535,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,346.375
29000,3598,8700,44,4692569,143,68,7,100,45,551,11,4,18,0,0,0,0,1,0,0,0,0,128.125
500,3444,6000,12,216245,11,3,3,8,3,251,1230,2,11.0857142857143,0,0,0,0,0,0,0,0,0,339.375
500,3479,4400,42,6661,12,3,1,6,2,243,244,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,9.125
27000,3556,9000,64,233160,27,14,6,19,13,32,48,7,11.0857142857143,2,2,2,0,1,0,0,0,0,86.125
3000,3444,8300,125,58238,196,24,123,171,14,323,536,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,339.375
500,3388,6200,20,8229,2,1,0,2,1,21,1470,4,11.0857142857143,0,0,0,0,0,0,0,0,0,283.375
2000,3458,7500,97,132449,36,19,5,21,11,236,193,2,11.0857142857143,0,0,0,0,1,0,0,0,0,353.375
15000,3535,7200,75,225894,36,13,3,21,11,136,533,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,65.125
500,3612,7800,23,440417.6367713,2,1,0,2,1,300,644,2,11.0857142857143,0,0,0,0,1,0,0,0,0,142.125
500,3444,7200,92,81138,27,11,4,20,10,109,582,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,339.375
15000,3584,8500,41,1480378,101,58,8,57,35,35,46,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,114.125
500,3563,5800,61,18465,16,8,2,12,6,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,93.125
2000,3570,7100,63,65248,2,2,0,2,2,362,30,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,100.125
500,3612,7100,73,440417.6367713,2,1,0,2,1,300,644,2,11.0857142857143,0,0,0,0,1,0,0,0,0,142.125
2000,3451,7000,89,6532,11,5,0,6,4,399,693,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,346.375
6000,3481,8300,37,171279,131,28,79,103,22,30,51,4,11.0857142857143,2,2,2,0,0,0,0,0,0,11.125
NA,3682,6987.22826086957,62.2247644683715,275,17,10,1,17,10,67,432,2,11.0857142857143,0,0,0,0,1,0,0,0,0,212.125
21000,3584,8400,64,1480378,95,50,10,56,29,35,46,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,114.125
2000,3430,8700,114,28006,11,3,3,9,3,142,225,2,8,0,0,0,0,1,0,0,0,0,325.375
500,3472,6800,58,15055,2,1,0,1,0,329,34,2,11.0857142857143,0,0,0,0,0,0,0,0,0,2.125
500,3451,5200,9,2,3,0,0,1,0,270,854,3.25355450236967,11.0857142857143,0,0,0,0,1,0,0,0,0,346.375
6000,3395,8600,85,243024,91,36,21,66,33,185,104,4,11.0857142857143,0,0,0,0,1,0,0,0,0,290.375
500,3528,5200,81,670,1,0,0,1,0,541,1008,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,0,58.125
500,3493,8100,56,1602,12,5,0,4,2,714,1483,2,11.0857142857143,0,0,0,0,1,0,0,0,0,23.125
500,3472,6500,45,15055,4,1,0,1,0,329,34,2,11.0857142857143,0,0,0,0,0,0,0,0,0,2.125
3000,3451,4500,6,144409,13,0,7,4,0,499,1491,4,11.0857142857143,0,0,0,0,0,0,0,0,0,346.375
