"Outcome_M4","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_466","Cat_467","Cat_469","Cat_470","Cat_495","Quan_27","Day_Of_Year_1"
18000,2450,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"247","399",3.25355450236967,11.0857142857143,"0","0","0","0","1","2","0","0",0,75.875
6000,2268,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","189",2,16,"0","0","0","0","1","2","0","0",0,259.125
21000,2782,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","39",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,42.625
3000,2268,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","189",2,14,"0","0","0","0","1","2","0","0",0,259.125
2000,2723,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"238","389",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,348.875
8000,3172,8900,37,440417.6367713,12,5,5,5,4,"70","1168",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,67.375
500,2884,6600,9,440417.6367713,1,0,0,1,0,"46","677",16,11.0857142857143,"0","0","0","0","0","0","0","0",0,144.625
500,3367,5500,52,440417.6367713,40,11,5,19,9,"138","1152",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,262.375
2000,1904,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"101","158",4,11.0857142857143,"2","0","0","0","0","2","0","0",0,260.375
3000,2142,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"39","252",2,8,"0","0","0","0","0","0","0","0",0,133.125
500,1890,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","37",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,246.375
2000,2085,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"160","251",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,76.125
29000,3192,8600,92,1172663,36,13,17,7,5,"32","48",4,11.0857142857143,"2","2","2","0","1","2","0","0",0,87.375
3000,2023,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","51",2,11.0857142857143,"2","2","2","0","0","0","0","0",0,14.125
5000,3206,7300,100,872255,76,33,26,37,24,"35","260",3.25355450236967,11.0857142857143,"0","0","0","0","1","2","0","0",0,101.375
3000,3367,8500,84,169907,60,20,24,45,16,"424","754",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,262.375
500,3241,5300,10,176797,3,0,0,3,0,"403","1234",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,136.375
2000,2471,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"236","387",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,96.875
2000,2100,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"183","18",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,91.125
2000,2268,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"90","140",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,259.125
2000,3171,7600,63,4538,7,2,2,2,1,"385","655",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,66.375
500,3101,4700,55,13632,1,0,0,1,0,"477","85",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,361.625
2000,3220,4000,7,98168,0,0,0,0,0,"140","222",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,115.375
500,2093,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127","202",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,84.125
2000,2345,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"38","380",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,336.125
500,2765,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"300","644",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,25.625
2000,3374,6000,42,55669,35,16,10,18,10,"12","1362",2,11.0857142857143,"2","0","0","0","0","0","0","0",0,269.375
6000,2849,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","48",7,11.0857142857143,"2","2","2","0","1","2","0","0",0,109.625
500,2772,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"251","672",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,32.625
6000,1421,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","40",2,11.0857142857143,"0","0","0","0","1","2","0","0",0,142.625
500,2302,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"64","360",4,11.0857142857143,"2","0","2","0","0","0","0","0",0,293.125
2000,3234,6400,24,440417.6367713,27,3,3,6,0,"180","285",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,129.375
3000,1680,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"23","30",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,36.375
500,2807,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"420","739",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,67.625
6000,1883,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","5",2,11.0857142857143,"2","2","2","0","0","0","0","0",0,239.375
500,2065,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"135","217",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,56.125
11000,1778,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"79","129",4,11.0857142857143,"0","0","0","0","0","2","0","0",0,134.375
6000,2618,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77","127",2,11.0857142857143,"2","0","2","0","0","0","0","0",0,243.875
2000,2926,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"290","478",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,186.625
3000,1715,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","7",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,71.375
2000,1421,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"10","19",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,142.625
5000,2100,7300,49,788296,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","49",4,11.0857142857143,"2","2","2","0","0","2","0","0",0,91.125
500,2702,6400,26,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176","660",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,327.875
500,2856,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176","323",2,11.0857142857143,"0","0","0","0","1","0","0","0",0,116.625
500,3346,6800,35,73049,4,1,1,4,1,"304","1388",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,241.375
500,3241,6200,7,440417.6367713,3,0,1,0,0,"482","69",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,136.375
500,2597,7800,77,466603,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"98","193",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,222.875
500,2001,8000,67,275695,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"141","224",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,357.375
2000,2064,8300,90,372875,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"82","311",4,11.0857142857143,"0","0","0","0","0","2","0","0",0,55.125
3000,2807,8600,96,248407,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142","225",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,67.625
3000,1458,8500,134,420774,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"106","172",4,11.0857142857143,"0","0","0","0","0","2","0","0",0,179.625
2000,2856,5000,71,50584,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"373","631",4,4,"0","0","0","0","0","0","0","0",0,116.625
500,2226,7500,46,8412,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"213","348",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,217.125
500,3229,5200,41,769,35,0,24,7,0,"50","1125",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,124.375
500,3360,7800,76,14,11,5,3,7,2,"559","637",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,255.375
500,3227,4400,5,334360,1,0,0,0,0,"129","1131",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,122.375
500,3255,4400,12,25831,2,0,0,2,0,"484","377",8,11.0857142857143,"0","0","0","0","0","0","0","0",0,150.375
500,2891,2900,37,233505,0,0,0,0,0,"252","447",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,151.625
3000,2079,7200,60,47363,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","7",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,70.125
2000,2499,7700,88,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132","446",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,124.875
500,2607,7100,56,111812,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"333","559",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,232.875
2000,3186,8300,64,14306,8,4,3,2,2,"142","1010",3.25355450236967,12,"2","0","0","0","0","0","0","0",0,81.375
500,2121,5500,10,384334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176","277",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,112.125
5000,3229,4200,37,440417.6367713,58,1,42,6,0,"627","1179",4,11.0857142857143,"0","0","2","0","0","2","0","0",0,124.375
23000,3171,8800,68,16504,23,9,14,6,3,"32","52",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,66.375
3000,2065,7500,57,777132,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"187","295",4,8,"0","0","0","0","0","0","0","0",0,56.125
2000,3094,7700,88,440417.6367713,23,7,5,13,5,"232","305",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,354.625
500,2361,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","198",7,11.0857142857143,"2","0","2","0","0","0","0","0",0,352.125
5000,2450,8300,53,503093,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"168","398",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,75.875
2000,2401,8400,95,336930,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"67","432",2,11.0857142857143,"0","0","0","0","1","2","0","0",0,26.875
5000,1764,7600,84,820707,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31","40",2,11.0857142857143,"0","0","0","0","1","2","0","0",0,120.375
2000,3178,4300,18,440417.6367713,5,1,2,2,0,"327","1146",4,11.0857142857143,"0","0","2","0","0","0","0","0",0,73.375
500,3101,7800,84,1879,9,4,3,6,3,"11","587",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,361.625
15000,1784,8800,110,527439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","189",4,16,"0","0","0","0","1","2","0","0",0,140.375
3000,3220,5700,8,227165,9,1,6,2,0,"9","382",4,11.0857142857143,"2","0","0","0","0","0","0","0",0,115.375
500,2737,6300,53,241413,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"243","244",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,362.875
3000,3157,7500,98,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"339","571",3.25355450236967,11.0857142857143,"0","0","0","0","1","2","0","0",3,52.375
5000,2485,8400,113,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","183",3.25355450236967,16,"0","0","0","0","1","2","0","0",0,110.875
500,1842,6800,46,75598,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","201",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,198.375
500,3241,3800,39,450556,11,1,2,11,1,"243","244",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,136.375
3000,1421,7400,109,250974,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"13","16",3.25355450236967,8,"0","0","0","0","0","0","0","0",0,142.625
2000,1883,7500,82,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"76","126",3.25355450236967,11.0857142857143,"2","0","0","0","0","2","0","0",0,239.375
2000,2961,7200,127,941734,25,7,11,10,4,"33","643",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",1,221.625
2000,3052,7900,75,208574,27,6,14,12,6,"31","286",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,312.625
500,2975,7700,70,155555,2,0,2,0,0,"403","701",4,11.0857142857143,"0","2","0","0","0","0","0","0",0,235.625
2000,2863,7200,80,242444,6,0,2,2,0,"38","664",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,123.625
18000,2415,8500,58,1238684,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","39",4,11.0857142857143,"2","2","2","2","1","0","0","0",0,40.875
2000,2856,8600,129,780782,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"79","278",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,116.625
2000,2569,5500,68,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268","443",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,194.875
500,2127,6300,10,221857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"107","174",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,118.125
500,2001,7700,27,466940,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","213",4,11.0857142857143,"2","0","2","0","0","0","0","0",0,357.375
40000,2870,9300,114,3220430,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","11",4,18,"0","0","0","0","1","2","0","0",0,130.625
2000,2387,8000,30,539483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","51",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,12.875
2000,2275,7200,101,324749,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"217","355",3.25355450236967,10,"0","0","0","0","0","0","0","0",0,266.125
500,2226,6700,62,570116,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"208","340",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,217.125
2000,3311,8800,125,348241,85,25,42,39,20,"33","384",3.25355450236967,11.0857142857143,"0","0","0","0","1","2","0","0",0,206.375
5000,2080,8600,34,15804,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","52",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,71.125
2000,2513,6300,12,97941,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"27","453",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,138.875
2000,2891,6100,98,641442,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","632",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,151.625
3000,1778,8000,43,1164838,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"33","44",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,134.375
3000,2135,7200,55,495179,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"178","281",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,126.125
2000,2513,7900,44,11049,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","265",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,138.875
500,3220,5700,12,407303,19,3,9,8,2,"395","19",8,11.0857142857143,"0","0","0","0","0","0","0","0",0,115.375
500,3220,6400,10,190084,2,1,0,2,1,"394","680",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,115.375
3000,1561,7600,87,371070,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"35","46",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0","0",0,282.625
5000,1722,6900,22,416229,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127","202",3.25355450236967,16,"0","0","0","0","0","0","0","0",0,78.375
2000,2345,6900,68,664806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"232","378",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,336.125
8000,1715,7900,67,90029,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","52",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,71.375
2000,2442,7000,45,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","7",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,67.875
2000,2975,6700,56,440417.6367713,0,0,0,0,0,"488","901",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,235.625
500,2863,5600,6,440417.6367713,0,0,0,0,0,"9","890",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,123.625
2000,2513,4300,11,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","551",3.25355450236967,14,"2","0","0","0","0","0","0","0",0,138.875
3000,3220,6100,81,779035,51,26,11,25,18,"247","399",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,115.375
2000,2261,7200,33,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"50","199",7,11.0857142857143,"2","0","2","0","0","0","0","0",0,252.125
500,2492,3100,5,47068,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127","425",2,8,"2","0","0","0","0","0","0","0",0,117.875
2000,2485,8000,47,139621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"144","228",3,11.0857142857143,"0","0","0","0","0","0","0","0",0,110.875
2000,2022,7300,40,304225,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","204",4,11.0857142857143,"0","2","2","0","0","0","0","0",0,13.125
6000,2982,8900,53,676207,32,4,10,10,3,"77","127",2,11.0857142857143,"2","0","2","0","0","0","0","0",0,242.625
3000,2128,7700,49,253625,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114","265",2,11.0857142857143,"0","0","0","0","0","2","0","0",0,119.125
2000,1547,6000,65,48178,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"48","66",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,268.625
2000,3080,7900,76,145077,64,4,48,44,3,"30","44",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,340.625
2000,2526,3600,33,76996,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"273","441",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,151.875
8000,2793,9100,131,582649,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"336","565",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","1","0",0,53.625
500,3227,3600,8,334360,1,0,0,0,0,"129","1131",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,122.375
2000,3367,7600,52,257699,38,12,4,28,10,"38","79",2,11.0857142857143,"0","0","0","0","0","0","0","0",0,262.375
500,3129,8500,47,440417.6367713,2,1,0,1,1,"259","671",2,11.0857142857143,"0","0","0","0","1","0","0","0",0,24.375
2000,1421,6200,68,148496,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32","48",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,142.625
2000,2485,6800,98,214006,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","18",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,110.875
2000,1701,7000,89,39995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"97","182",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0",0,57.375
500,3318,6987.22826086957,62.2247644683715,440417.6367713,4,2,1,3,2,"73","279",4,11.0857142857143,"0","0","0","0","0","0","0","0",0,213.375
500,2093,3500,4,11675,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"194","10",3.25355450236967,11.0857142857143,"2","0","0","0","0","0","0","0",0,84.125
2000,2961,7400,112,941734,22,7,9,11,4,"33","643",3.25355450236967,11.0857142857143,"0","0","0","0","1","2","0","0",1,221.625
500,2744,7800,28,245463,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"362","213",4,11.0857142857143,"2","2","2","0","0","0","0","0",0,4.625
13000,1694,8000,86,1951543,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30","39",2,11.0857142857143,"2","2","2","0","1","0","0","0",0,50.375
2000,2926,8900,136,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"290","478",3.25355450236967,11.0857142857143,"0","0","0","0","1","0","0","0",0,186.625
