"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Quan_16","Cat_110","Cat_245","Cat_349","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498"
2000,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","0","0","0","0","0"
2000,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",14,"2","0","0","0","1","2","0","1","0"
500,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"238",4,"0","0","0","0","1","0","0","1","0"
3000,8900,37,440417.6367713,12,5,5,5,4,"70",9.45927601809955,"3","0","0","0","0","0","0","0","0"
500,6600,9,440417.6367713,1,0,0,1,0,"46",8,"0","0","0","0","0","0","0","0","0"
500,5500,52,440417.6367713,40,11,5,19,9,"138",9.45927601809955,"2","0","0","0","0","0","0","0","0"
2000,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"101",9.45927601809955,"0","0","0","0","0","2","0","0","0"
2000,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"39",8,"2","0","0","0","0","0","0","0","0"
500,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29",2,"0","0","0","0","0","0","0","0","0"
500,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"160",8,"0","0","0","0","0","0","0","0","0"
5000,8600,92,1172663,36,13,17,7,5,"32",22,"0","0","0","0","1","2","0","0","0"
500,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","0","0","0","0","0"
3000,7300,100,872255,76,33,26,37,24,"35",24,"0","0","0","0","1","2","0","0","0"
500,8500,84,169907,60,20,24,45,16,"424",12,"0","0","0","0","1","0","0","1","1"
500,5300,10,176797,3,0,0,3,0,"403",9.45927601809955,"4","0","0","0","0","0","0","0","0"
500,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"236",12,"0","0","0","0","0","0","0","0","0"
500,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"183",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"90",50,"0","0","0","0","0","0","0","0","0"
500,7600,63,4538,7,2,2,2,1,"385",4,"3","0","0","0","0","0","0","0","0"
500,4700,55,13632,1,0,0,1,0,"477",2,"3","0","0","0","0","0","0","0","0"
500,4000,7,98168,0,0,0,0,0,"140",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127",14,"0","0","0","0","0","0","0","0","0"
2000,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"38",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"300",8,"0","2","0","0","0","0","0","0","0"
500,6000,42,55669,35,16,10,18,10,"12",16,"0","0","0","0","0","0","0","0","0"
2000,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",20,"0","0","0","0","1","2","0","1","0"
500,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"251",9.45927601809955,"2","0","0","0","0","0","0","0","0"
2000,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",4,"0","0","0","0","1","2","0","0","0"
2000,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"64",2,"0","0","0","0","0","0","0","0","0"
500,6400,24,440417.6367713,27,3,3,6,0,"180",9.45927601809955,"0","0","0","0","0","0","0","0","0"
3000,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"23",9.45927601809955,"0","0","0","0","0","2","0","0","0"
500,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"420",9.45927601809955,"2","0","0","0","0","0","0","0","0"
2000,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5",2,"0","0","0","0","0","0","0","0","0"
500,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"135",9.45927601809955,"0","0","0","0","0","0","0","0","0"
3000,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"79",40,"2","0","0","0","0","2","0","0","0"
500,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"77",2,"0","0","0","0","0","0","0","0","0"
2000,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"290",9.45927601809955,"0","0","0","0","1","0","0","0","0"
500,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5",8,"0","0","0","0","0","0","0","0","0"
500,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"10",8,"3","0","0","0","0","0","0","0","0"
500,7300,49,788296,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",4,"0","0","0","0","0","2","0","0","0"
500,6400,26,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176",9.45927601809955,"2","0","0","0","1","0","0","0","0"
500,6800,35,73049,4,1,1,4,1,"304",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6200,7,440417.6367713,3,0,1,0,0,"482",9.45927601809955,"0","0","0","0","0","0","0","0","0"
2000,7800,77,466603,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"98",16,"0","0","0","1","0","0","0","0","0"
500,8000,67,275695,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"141",8,"0","0","0","0","0","0","0","0","0"
2000,8300,90,372875,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"82",32,"0","0","0","1","0","2","0","0","0"
500,8600,96,248407,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"142",8,"0","0","0","0","0","0","0","0","0"
2000,8500,134,420774,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"106",16,"0","2","0","0","0","2","0","0","0"
500,5000,71,50584,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"373",4,"2","0","0","0","0","0","0","0","0"
500,7500,46,8412,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"213",4,"0","0","0","0","0","0","0","0","0"
500,5200,41,769,35,0,24,7,0,"50",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7800,76,14,11,5,3,7,2,"559",9.45927601809955,"0","0","0","0","1","0","0","0","0"
500,4400,5,334360,1,0,0,0,0,"129",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,4400,12,25831,2,0,0,2,0,"484",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,2900,37,233505,0,0,0,0,0,"252",8,"0","0","0","0","0","0","0","0","0"
500,7200,60,47363,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5",8,"0","0","0","0","0","0","0","0","0"
500,7700,88,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"132",4,"0","0","0","1","1","0","0","0","0"
500,7100,56,111812,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"333",2,"2","0","0","0","0","0","0","0","0"
500,8300,64,14306,8,4,3,2,2,"142",12,"0","0","0","0","0","0","0","0","0"
500,5500,10,384334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,4200,37,440417.6367713,58,1,42,6,0,"627",9.45927601809955,"0","0","0","0","0","2","0","0","0"
500,8800,68,16504,23,9,14,6,3,"32",12,"0","0","0","0","0","0","0","0","0"
2000,7500,57,777132,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"187",8,"0","0","0","0","0","0","0","0","0"
500,7700,88,440417.6367713,23,7,5,13,5,"232",10,"4","0","0","0","0","0","0","0","0"
500,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",14,"0","0","0","0","0","0","0","0","0"
500,8300,53,503093,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"168",16,"0","0","0","0","0","0","0","0","0"
500,8400,95,336930,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"67",2,"0","0","0","0","1","2","0","1","0"
2000,7600,84,820707,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31",8,"0","0","0","1","1","2","0","0","0"
500,4300,18,440417.6367713,5,1,2,2,0,"327",4,"0","0","0","0","0","0","0","0","0"
500,7800,84,1879,9,4,3,6,3,"11",12,"0","0","0","0","1","0","0","1","0"
3000,8800,110,527439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",16,"2","0","0","1","1","2","0","1","0"
2000,5700,8,227165,9,1,6,2,0,"9",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6300,53,241413,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"243",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7500,98,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"339",9.45927601809955,"0","0","0","1","1","2","0","1","1"
2000,8400,113,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",16,"0","0","0","0","1","2","0","1","0"
500,6800,46,75598,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",4,"0","0","0","0","0","0","0","0","0"
500,3800,39,450556,11,1,2,11,1,"243",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7400,109,250974,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"13",8,"0","0","0","0","0","0","0","1","0"
2000,7500,82,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"76",12,"0","0","0","0","0","2","0","0","0"
2000,7200,127,941734,25,7,11,10,4,"33",9.45927601809955,"0","0","0","1","1","0","0","0","0"
2000,7900,75,208574,27,6,14,12,6,"31",6,"2","0","0","0","0","0","0","0","0"
500,7700,70,155555,2,0,2,0,0,"403",8,"0","0","0","0","0","0","0","0","0"
2000,7200,80,242444,6,0,2,2,0,"38",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,8500,58,1238684,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","1","0","0","0","0"
500,8600,129,780782,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"79",9.45927601809955,"0","0","0","0","1","0","0","0","0"
2000,5500,68,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"268",16,"2","0","0","0","0","0","0","0","0"
500,6300,10,221857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"107",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7700,27,466940,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4",4,"0","0","0","0","0","0","0","0","0"
10000,9300,114,3220430,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7",18,"3","0","0","0","1","2","0","1","1"
500,8000,30,539483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","0","0","0","0","0"
2000,7200,101,324749,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"217",10,"0","0","0","0","0","0","0","0","0"
2000,6700,62,570116,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"208",16,"3","0","0","0","0","0","0","0","0"
2000,8800,125,348241,85,25,42,39,20,"33",8,"0","0","0","0","1","2","0","1","0"
500,8600,34,15804,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",6,"0","0","0","0","0","0","0","0","0"
500,6300,12,97941,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"27",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6100,98,641442,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",16,"0","0","0","0","1","0","0","0","0"
500,8000,43,1164838,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"33",4,"0","0","0","0","0","0","0","0","0"
2000,7200,55,495179,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"178",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7900,44,11049,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",4,"0","0","0","0","0","0","0","0","0"
500,5700,12,407303,19,3,9,8,2,"395",4,"0","0","0","0","0","0","0","0","0"
500,6400,10,190084,2,1,0,2,1,"394",9.45927601809955,"0","0","0","0","0","0","0","0","0"
2000,7600,87,371070,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"35",24,"0","0","0","0","0","2","0","0","0"
500,6900,22,416229,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127",16,"0","0","0","0","0","0","0","0","0"
500,6900,68,664806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"232",9.45927601809955,"0","0","0","0","1","0","0","0","0"
500,7900,67,90029,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",2,"0","0","0","0","0","0","0","0","0"
500,7000,45,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4",12,"0","0","0","0","0","0","0","0","0"
500,6700,56,440417.6367713,0,0,0,0,0,"488",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,5600,6,440417.6367713,0,0,0,0,0,"9",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,4300,11,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6",14,"0","0","0","0","0","0","0","0","0"
2000,6100,81,779035,51,26,11,25,18,"247",9.45927601809955,"0","0","0","1","1","0","0","1","1"
500,7200,33,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"50",2,"0","0","0","0","0","0","0","0","0"
500,3100,5,47068,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"127",8,"0","0","0","0","0","0","0","0","0"
500,8000,47,139621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"144",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,7300,40,304225,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4",32,"0","2","0","0","0","0","0","0","0"
500,8900,53,676207,32,4,10,10,3,"77",2,"0","0","0","0","0","0","0","0","0"
500,7700,49,253625,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",2,"0","0","0","0","0","2","0","0","0"
500,6000,65,48178,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"48",9.45927601809955,"4","0","0","0","0","0","0","0","0"
500,7900,76,145077,64,4,48,44,3,"30",24,"0","0","0","0","0","0","0","0","0"
500,3600,33,76996,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"273",9.45927601809955,"0","0","0","0","0","0","0","0","0"
5000,9100,131,582649,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"336",9.45927601809955,"0","0","0","0","1","0","1","1","0"
500,3600,8,334360,1,0,0,0,0,"129",9.45927601809955,"2","0","0","0","0","0","0","0","0"
2000,7600,52,257699,38,12,4,28,10,"38",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,8500,47,440417.6367713,2,1,0,1,1,"259",6,"0","0","0","0","1","0","0","0","0"
500,6200,68,148496,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",4,"0","0","0","0","0","0","0","0","0"
500,6800,98,214006,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,7000,89,39995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"97",2,"0","0","0","0","0","0","0","0","0"
500,6987.22826086957,62.2247644683715,440417.6367713,4,2,1,3,2,"73",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,3500,4,11675,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"194",9.45927601809955,"0","0","0","0","0","0","0","0","0"
3000,7400,112,941734,22,7,9,11,4,"33",9.45927601809955,"0","0","0","1","1","2","0","0","0"
500,7800,28,245463,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"362",2,"0","0","0","0","0","0","0","0","0"
2000,8000,86,1951543,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"30",2,"0","0","0","0","1","0","0","0","0"
2000,8900,136,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"290",9.45927601809955,"0","0","0","0","1","0","0","0","0"
2000,8900,118,1394197,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"114",9.45927601809955,"0","0","0","1","1","2","0","1","1"
500,8500,94,755977,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"109",16,"0","0","0","1","1","0","0","0","0"
2000,8400,81,212135,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"269",4,"0","0","0","0","0","0","0","0","0"
2000,8300,94,172979,95,20,61,58,16,"564",4,"3","0","0","0","1","0","0","0","0"
500,6400,5,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"176",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,6200,5,407303,21,3,11,8,2,"395",4,"0","0","0","0","0","0","0","0","0"
500,7100,62,136366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"251",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,5600,64,166518,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"230",8,"0","0","0","0","0","0","0","0","0"
500,5900,17,283838,7,0,4,2,0,"578",10,"2","0","0","0","0","0","0","0","0"
500,8000,61,13671,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",10,"0","0","0","0","0","2","0","0","0"
500,8300,135,488430,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"334",9.45927601809955,"0","0","0","0","0","2","0","0","0"
3000,7400,92,872255,73,33,22,37,23,"34",24,"0","0","0","0","1","2","0","0","0"
500,4900,21,49935,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9",12,"0","0","0","0","0","0","0","0","0"
500,7300,55,477063,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"10",8,"0","0","0","0","0","0","0","0","0"
500,6700,18,471617,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"116",9.45927601809955,"0","0","0","0","0","0","0","0","0"
3000,8800,74,696622,313,26,273,288,19,"4",10,"0","0","0","0","0","0","0","0","0"
500,6400,39,5633,40,1,29,6,0,"50",4,"0","0","0","0","0","0","0","0","0"
500,6100,45,9772,1,1,0,1,1,"143",9.45927601809955,"3","0","0","0","0","0","0","0","0"
500,7100,106,37215,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"278",8,"0","0","0","0","0","0","0","0","0"
500,6500,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"409",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,8200,102,447992,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"40",9.45927601809955,"0","0","0","0","1","2","0","0","0"
3000,8500,154,401293,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"323",9.45927601809955,"0","0","0","0","1","2","0","1","0"
500,8300,106,793103,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"78",12,"0","0","0","0","1","2","0","0","0"
500,8200,50,412632,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",4,"0","0","0","0","0","0","0","0","0"
500,4500,43,56051,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"426",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6987.22826086957,62.2247644683715,386836,10,3,4,0,0,"243",4,"0","0","0","0","0","0","0","0","0"
2000,7900,81,940341,30,10,7,18,8,"38",9.45927601809955,"2","0","0","0","1","0","0","1","0"
500,6700,29,163947,11,3,5,3,0,"584",4,"0","0","0","0","0","0","0","0","0"
2000,7600,69,824187,29,3,14,14,3,"27",9.45927601809955,"4","0","0","0","0","0","0","0","0"
500,5000,43,224371,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"216",8,"0","0","0","0","0","0","0","0","0"
500,3800,48,84266,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"158",12,"0","0","0","0","0","0","0","0","0"
2000,8700,58,222511,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"32",20,"0","0","0","0","0","2","0","0","0"
500,5300,34,149219,16,2,4,2,0,"46",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,2600,17,3936,42,2,34,5,0,"49",2,"0","0","0","0","0","0","0","0","0"
500,6900,67,214006,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"246",9.45927601809955,"0","0","0","0","0","0","0","0","0"
2000,7100,48,192962,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"233",2,"0","0","0","0","1","0","0","1","0"
500,6300,36,62276,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"48",9.45927601809955,"0","0","0","0","0","0","0","0","0"
500,6400,85,642451,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31",8,"0","0","0","0","0","2","0","0","0"
500,7700,42,267629,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"41",9.45927601809955,"0","0","0","1","0","0","0","0","0"
500,7800,103,440417.6367713,22,7,5,15,5,"232",10,"4","0","0","0","0","0","0","0","0"
500,6987.22826086957,2,44363,1,0,0,1,0,"534",9.45927601809955,"2","0","0","0","0","0","0","0","0"
500,3800,12,91161,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9",12,"0","0","0","0","0","0","0","0","0"
