"Outcome_M3","Date_1","Quan_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_16","Quan_18","Cat_110","Cat_204","Cat_216","Cat_349","Quant_24","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
8000,3563,2936200,8100,69,671633,50,36,4,30,25,13,623,4,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,0,0,0,93.125
3000,3465,2777700,5400,25,489,7,3,1,5,3,540,1004,12,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,360.375
3000,3416,4398900,7400,72,97852,41,13,9,28,12,542,1397,9.45927601809955,11.0857142857143,2,0,0,0,90,0,0,0,0,0,0,311.375
500,3549,4645600,8400,77,5293,1,1,0,1,1,142,1010,16,11.0857142857143,2,0,0,0,24,0,0,0,0,0,0,79.125
2000,3451,4480600,8300,107,3247,28,6,4,12,4,72,1132,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,346.375
44000,3528,2835900,7800,49,1043453,97,45,14,66,34,30,39,6,11.0857142857143,0,0,2,0,32,1,0,0,1,1,0,58.125
3000,3605,4934700,8800,60,284933,12,4,2,10,3,308,470,9.45927601809955,11.0857142857143,2,0,0,0,4,1,0,0,1,1,0,135.125
15000,3605,4934700,8300,80,987149,41,15,4,24,11,109,176,2,11.0857142857143,4,0,0,0,53.1466275659824,1,0,0,1,0,0,135.125
2000,3591,4934700,7700,53,467004,13,6,1,9,4,100,156,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,121.125
11000,3605,4934700,8000,86,985658,63,30,8,45,22,114,206,8,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,135.125
69000,3563,4708900,8900,51,357567,51,21,12,31,16,4,6,10,11.0857142857143,0,0,2,0,53.1466275659824,0,0,0,0,0,0,93.125
NA,3682,5268500,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,252,1133,4,11.0857142857143,3,0,0,0,53.1466275659824,0,0,0,0,0,0,212.125
3000,3584,4708900,6600,35,444809,20,1,7,12,1,21,1540,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,114.125
6000,3605,3057200,6400,50,597696,28,15,6,23,13,733,40,8,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,0,0,0,135.125
2000,3458,2777700,7000,87,93023,26,9,0,16,5,345,1105,4,11.0857142857143,2,0,0,0,53.1466275659824,1,0,0,0,0,0,353.375
2000,3416,4398900,6800,115,309164,42,18,5,35,17,423,753,16,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,311.375
500,3542,2896100,6100,57,10916,3,1,0,3,1,348,590,6,11.0857142857143,3,0,0,0,8,0,0,0,0,0,0,72.125
500,3388,2704600,6400,13,1759054,50,11,11,25,7,114,1138,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,283.375
2000,3556,4645600,4700,70,14073,12,3,4,9,3,234,20,9.45927601809955,11.0857142857143,0,0,0,0,3,0,0,0,0,0,0,86.125
2000,3409,2732900,7700,101,5935,39,4,6,10,3,78,128,16,11.0857142857143,0,0,0,0,33,0,2,0,0,0,0,304.375
500,3444,4480600,7200,108,81138,28,12,3,21,11,109,582,4,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,0,0,0,339.375
3000,3612,3057200,7200,30,469247,14,6,2,13,6,51,497,12,11.0857142857143,0,0,0,0,63,1,0,0,0,0,0,142.125
500,3479,2801100,4600,38,6661,9,3,0,6,2,243,244,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,9.125
2000,3584,2936200,7500,54,18582,3,0,0,2,0,742,1542,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,114.125
500,3430,2732900,3000,7,23286,2,2,0,2,2,403,371,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,325.375
2000,3451,2777700,5100,86,382119,66,32,9,42,21,254,535,8,11.0857142857143,0,0,0,2,53.1466275659824,1,0,0,1,0,0,346.375
27000,3598,3057200,8700,44,4692569,143,68,7,100,45,551,11,18,18,3,0,0,0,53.1466275659824,1,0,0,1,1,0,128.125
500,3444,2777700,6000,12,216245,11,3,3,8,3,251,1230,9.45927601809955,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,339.375
2000,3479,4525300,4400,42,6661,12,3,1,6,2,243,244,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,9.125
23000,3556,2896100,9000,64,233160,27,14,6,19,13,32,48,22,11.0857142857143,0,0,2,0,53.1466275659824,1,0,0,0,0,0,86.125
5000,3444,2777700,8300,125,58238,196,24,123,171,14,323,536,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,0,0,339.375
500,3388,4355300,6200,20,8229,2,1,0,2,1,21,1470,9.45927601809955,11.0857142857143,0,0,0,0,4,0,0,0,0,0,0,283.375
2000,3458,4480600,7500,97,132449,36,19,5,21,11,236,193,4,11.0857142857143,4,0,0,0,53.1466275659824,1,0,0,1,0,0,353.375
6000,3535,2896100,7200,75,225894,36,13,3,21,11,136,533,4,11.0857142857143,2,0,0,0,4,1,0,0,0,0,0,65.125
500,3612,3057200,7800,23,440417.6367713,2,1,0,2,1,300,644,2,11.0857142857143,0,0,0,0,33,1,0,0,1,0,0,142.125
500,3444,2777700,7200,92,81138,27,11,4,20,10,109,582,4,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,0,0,0,339.375
66000,3584,2936200,8500,41,1480378,101,58,8,57,35,35,46,24,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,1,0,0,114.125
3000,3563,4708900,5800,61,18465,16,8,2,12,6,131,18,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,93.125
3000,3570,4708900,7100,63,65248,2,2,0,2,2,362,30,2,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,100.125
500,3612,4934700,7100,73,440417.6367713,2,1,0,2,1,300,644,2,11.0857142857143,0,0,0,0,33,1,0,0,0,0,0,142.125
2000,3451,2777700,7000,89,6532,11,5,0,6,4,399,693,9.45927601809955,11.0857142857143,0,0,0,0,53.1466275659824,0,0,0,0,0,0,346.375
11000,3481,4525300,8300,37,171279,131,28,79,103,22,30,51,2,11.0857142857143,0,0,2,0,53.1466275659824,0,0,0,0,0,0,11.125
NA,3682,5268500,6987.22826086957,62.2247644683715,275,17,10,1,17,10,67,432,6,11.0857142857143,0,0,0,0,53.1466275659824,1,0,0,1,1,0,212.125
108000,3584,4708900,8400,64,1480378,95,50,10,56,29,35,46,24,11.0857142857143,3,0,0,0,53.1466275659824,1,0,0,1,0,0,114.125
3000,3430,4398900,8700,114,28006,11,3,3,9,3,142,225,8,8,0,0,0,0,43,1,0,0,1,0,0,325.375
500,3472,4525300,6800,58,15055,2,1,0,1,0,329,34,6,11.0857142857143,2,0,0,0,53.1466275659824,0,0,0,0,0,0,2.125
