"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Cat_6","Quan_17","Quan_18","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
500,7000,58,670326,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","107","264","13",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,168.125
500,6100,42,77366,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","143","226","10",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,56.125
2000,8800,99,332670,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","33","384","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,103.875
500,7100,35,149470,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","15","366","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,140.875
500,6400,96,746269,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","18","11",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,305.375
500,4600,3,38595,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","244","395","61",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,117.875
500,7300,85,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","586","27",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,158.625
2000,6400,29,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","97","182","41",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,274.375
500,6800,21,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"43","77","329","58",4,11.0857142857143,"0","2","1","0","0","0","0","0","0",0,155.125
500,5700,13,13798,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"121","140","222","46",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,116.625
2000,7600,55,440417.6367713,14,5,8,7,1,"17","32","1354","4",4,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,136.375
2000,7100,58,327817,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","180","546","34",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,76.375
2000,8000,79,143718,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","141","572","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,278.875
15000,7900,61,652377,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51","22",2,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,15.375
2000,7200,61,606019,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","431","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,59.875
500,6900,39,73049,4,1,1,3,1,"16","304","1388","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,241.375
2000,6987.22826086957,1,224077,80,6,67,4,1,"59","357","1166","80",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,138.375
3000,7200,105,856200,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","247","399","10",3.25355450236967,11.0857142857143,"0","0","1","1","0","1","2","0","0",0,75.875
2000,8200,101,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189","42",2,16,"0","0","1","0","0","1","2","0","0",0,259.125
10000,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","39","22",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,42.625
2000,8200,50,743429,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189","42",2,14,"0","0","0","0","0","1","2","0","0",0,259.125
2000,7800,106,343410,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"8","238","389","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,348.875
3000,8900,37,440417.6367713,12,5,5,5,4,"38","70","1168","63",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,67.375
500,6600,9,440417.6367713,1,0,0,1,0,"27","46","677","52",16,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,144.625
500,5500,52,440417.6367713,40,11,5,19,9,"42","138","1152","11",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,262.375
2000,7900,53,58806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","101","158","7",4,11.0857142857143,"0","0","0","0","0","0","2","0","0",0,260.375
500,6500,79,529465,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"19","39","252","2",2,8,"0","0","1","0","0","0","0","0","0",0,133.125
500,6700,66,503559,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","29","37","18",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,246.375
2000,6900,29,396498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","160","251","13",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,76.125
5000,8600,92,1172663,36,13,17,7,5,"17","32","48","26",4,11.0857142857143,"2","2","1","0","0","1","2","0","0",0,87.375
15000,8100,44,438659,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51","22",2,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,14.125
3000,7300,100,872255,76,33,26,37,24,"16","35","260","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","2","0","0",0,101.375
2000,8500,84,169907,60,20,24,45,16,"16","424","754","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","1",0,262.375
500,5300,10,176797,3,0,0,3,0,"53","403","1234","10",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,136.375
2000,6300,73,35887,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","236","387","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,96.875
2000,6100,70,215765,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","183","18","10",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,91.125
500,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","90","140","24",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,259.125
500,7600,63,4538,7,2,2,2,1,"28","385","655","23",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,66.375
500,4700,55,13632,1,0,0,1,0,"27","477","85","10",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,361.625
500,4000,7,98168,0,0,0,0,0,"28","140","222","46",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,115.375
500,7300,6,119498,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","127","202","19",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,84.125
2000,7600,51,384726,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"29","38","380","20",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,336.125
500,6200,89,1564,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"85","300","644","18",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,25.625
2000,6000,42,55669,35,16,10,18,10,"5","12","1362","13",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,269.375
5000,9000,82,802286,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","48","26",7,11.0857142857143,"2","2","1","0","0","1","2","0","0",0,109.625
500,4300,48,108948,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","251","672","2",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,32.625
3000,8300,110,870647,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","32","40","13",2,11.0857142857143,"0","0","0","0","0","1","2","0","0",0,142.625
500,5600,60,331563,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"31","64","360","4",4,11.0857142857143,"0","2","1","0","0","0","0","0","0",0,293.125
500,6400,24,440417.6367713,27,3,3,6,0,"42","180","285","84",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,129.375
5000,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"13","23","30","10",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,36.375
500,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"137","420","739","15",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,67.625
3000,7800,43,697011,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","5","5",2,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,239.375
2000,7700,90,75621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","135","217","41",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,56.125
5000,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","79","129","2",4,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,134.375
2000,8900,44,907439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","77","127","5",2,11.0857142857143,"0","2","0","0","0","0","0","0","0",0,243.875
500,8600,95,395580,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"45","290","478","10",3.25355450236967,11.0857142857143,"0","0","0","0","0","1","0","0","0",0,186.625
500,7900,72,58648,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7","6",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,71.375
2000,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","10","19","11",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,142.625
6000,7300,49,788296,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","49","4",4,11.0857142857143,"2","2","1","0","0","0","2","0","0",0,91.125
500,6400,26,150368,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","660","11",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,327.875
500,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","323","11",2,11.0857142857143,"0","0","0","0","0","1","0","0","0",0,116.625
500,6800,35,73049,4,1,1,4,1,"16","304","1388","11",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,241.375
500,6200,7,440417.6367713,3,0,1,0,0,"27","482","69","32",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,136.375
2000,7800,77,466603,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"60","98","193","2",3.25355450236967,11.0857142857143,"0","0","1","1","0","0","0","0","0",0,222.875
500,8000,67,275695,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"2","141","224","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,357.375
3000,8300,90,372875,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","82","311","2",4,11.0857142857143,"0","0","1","1","0","0","2","0","0",0,55.125
2000,8600,96,248407,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","225","13",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,67.625
2000,8500,134,420774,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"52","106","172","18",4,11.0857142857143,"0","0","0","0","0","0","2","0","0",0,179.625
500,5000,71,50584,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"120","373","631","28",4,4,"0","0","0","0","0","0","0","0","0",0,116.625
500,7500,46,8412,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","213","348","49",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,217.125
500,5200,41,769,35,0,24,7,0,"27","50","1125","17",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,124.375
500,7800,76,14,11,5,3,7,2,"45","559","637","11",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,255.375
500,4400,5,334360,1,0,0,0,0,"53","129","1131","20",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,122.375
500,4400,12,25831,2,0,0,2,0,"14","484","377","34",8,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,150.375
500,2900,37,233505,0,0,0,0,0,"1","252","447","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,151.625
2000,7200,60,47363,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7","6",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,70.125
2000,7700,88,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446","23",3.25355450236967,11.0857142857143,"0","0","1","1","0","1","0","0","0",0,124.875
500,7100,56,111812,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","333","559","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,232.875
500,8300,64,14306,8,4,3,2,2,"56","142","1010","13",3.25355450236967,12,"0","0","0","0","0","0","0","0","0",0,81.375
500,5500,10,384334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","277","20",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,112.125
2000,4200,37,440417.6367713,58,1,42,6,0,"28","627","1179","30",4,11.0857142857143,"0","2","0","0","0","0","2","0","0",0,124.375
5000,8800,68,16504,23,9,14,6,3,"17","32","52","6",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,66.375
2000,7500,57,777132,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","187","295","17",4,8,"0","0","1","0","0","0","0","0","0",0,56.125
500,7700,88,440417.6367713,23,7,5,13,5,"5","232","305","14",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,354.625
500,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","198","26",7,11.0857142857143,"0","2","0","0","0","0","0","0","0",0,352.125
500,8300,53,503093,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","168","398","13",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,75.875
3000,8400,95,336930,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","67","432","18",2,11.0857142857143,"0","0","1","0","0","1","2","0","0",0,26.875
2000,7600,84,820707,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","31","40","13",2,11.0857142857143,"0","0","1","1","0","1","2","0","0",0,120.375
500,4300,18,440417.6367713,5,1,2,2,0,"28","327","1146","85",4,11.0857142857143,"0","2","0","0","0","0","0","0","0",0,73.375
500,7800,84,1879,9,4,3,6,3,"5","11","587","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","1","0","0","0",0,361.625
6000,8800,110,527439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189","42",4,16,"0","0","1","1","0","1","2","0","0",0,140.375
2000,5700,8,227165,9,1,6,2,0,"5","9","382","55",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,115.375
500,6300,53,241413,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","243","244","11",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,362.875
2000,7500,98,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"2","339","571","11",3.25355450236967,11.0857142857143,"0","0","1","1","0","1","2","0","1",3,52.375
3000,8400,113,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","183","2",3.25355450236967,16,"0","0","1","0","0","1","2","0","0",0,110.875
500,6800,46,75598,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","201","4",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,198.375
2000,3800,39,450556,11,1,2,11,1,"16","243","244","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,136.375
2000,7400,109,250974,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","13","16","2",3.25355450236967,8,"0","0","1","0","0","0","0","0","0",0,142.625
2000,7500,82,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","76","126","13",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","2","0","0",0,239.375
2000,7200,127,941734,25,7,11,10,4,"16","33","643","10",3.25355450236967,11.0857142857143,"0","0","1","1","0","1","0","0","0",1,221.625
2000,7900,75,208574,27,6,14,12,6,"16","31","286","11",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,312.625
500,7700,70,155555,2,0,2,0,0,"45","403","701","17",4,11.0857142857143,"2","0","1","0","0","0","0","0","0",0,235.625
500,7200,80,242444,6,0,2,2,0,"60","38","664","50",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,123.625
8000,8500,58,1238684,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","39","22",4,11.0857142857143,"2","2","0","0","2","1","0","0","0",0,40.875
2000,8600,129,780782,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","79","278","20",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,116.625
2000,5500,68,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","443","10",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,194.875
500,6300,10,221857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","107","174","17",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,118.125
500,7700,27,466940,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","213","5",4,11.0857142857143,"0","2","0","0","0","0","0","0","0",0,357.375
13000,9300,114,3220430,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","7","11","2",4,18,"0","0","1","0","0","1","2","0","1",0,130.625
10000,8000,30,539483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51","22",4,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,12.875
2000,7200,101,324749,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"15","217","355","2",3.25355450236967,10,"0","0","1","0","0","0","0","0","0",0,266.125
500,6700,62,570116,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"72","208","340","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,217.125
2000,8800,125,348241,85,25,42,39,20,"16","33","384","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","2","0","0",0,206.375
2000,8600,34,15804,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","52","6",4,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,71.125
500,6300,12,97941,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","27","453","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,138.875
2000,6100,98,641442,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","114","632","11",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,151.625
2000,8000,43,1164838,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","33","44","24",4,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,134.375
2000,7200,55,495179,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","178","281","51",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,126.125
2000,7900,44,11049,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","265","11",4,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,138.875
2000,5700,12,407303,19,3,9,8,2,"5","395","19","3",8,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,115.375
500,6400,10,190084,2,1,0,2,1,"5","394","680","18",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,115.375
2000,7600,87,371070,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","35","46","2",3.25355450236967,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,282.625
2000,6900,22,416229,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","127","202","19",3.25355450236967,16,"0","0","0","0","0","0","0","0","0",0,78.375
500,6900,68,664806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"47","232","378","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","1","0","0","0",0,336.125
3000,7900,67,90029,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","52","6",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,71.375
2000,7000,45,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","7","6",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,67.875
500,6700,56,440417.6367713,0,0,0,0,0,"85","488","901","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,235.625
500,5600,6,440417.6367713,0,0,0,0,0,"5","9","890","2",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,123.625
500,4300,11,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","6","551","2",3.25355450236967,14,"0","0","0","0","0","0","0","0","0",0,138.875
2000,6100,81,779035,51,26,11,25,18,"29","247","399","10",3.25355450236967,11.0857142857143,"0","0","1","1","0","1","0","0","1",0,115.375
500,7200,33,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"27","50","199","26",7,11.0857142857143,"0","2","0","0","0","0","0","0","0",0,252.125
500,3100,5,47068,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","127","425","13",2,8,"0","0","0","0","0","0","0","0","0",0,117.875
500,8000,47,139621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","144","228","41",3,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,110.875
6000,7300,40,304225,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","204","22",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,13.125
5000,8900,53,676207,32,4,10,10,3,"42","77","127","5",2,11.0857142857143,"0","2","1","0","0","0","0","0","0",0,242.625
2000,7700,49,253625,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","265","11",2,11.0857142857143,"0","0","1","0","0","0","2","0","0",0,119.125
2000,6000,65,48178,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"26","48","66","10",2,11.0857142857143,"0","0","1","0","0","0","0","0","0",0,268.625
2000,7900,76,145077,64,4,48,44,3,"17","30","44","24",4,11.0857142857143,"2","2","1","0","0","0","0","0","0",0,340.625
500,3600,33,76996,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","273","441","11",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,151.875
3000,9100,131,582649,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"19","336","565","10",3.25355450236967,11.0857142857143,"0","0","1","0","0","1","0","1","0",0,53.625
500,3600,8,334360,1,0,0,0,0,"53","129","1131","20",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,122.375
2000,7600,52,257699,38,12,4,28,10,"29","38","79","11",2,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,262.375
500,8500,47,440417.6367713,2,1,0,1,1,"82","259","671","18",2,11.0857142857143,"0","0","1","0","0","1","0","0","0",0,24.375
2000,6200,68,148496,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","48","26",4,11.0857142857143,"2","2","0","0","0","0","0","0","0",0,142.625
500,6800,98,214006,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","8","18","11",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,110.875
2000,7000,89,39995,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","97","182","41",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,57.375
500,6987.22826086957,62.2247644683715,440417.6367713,4,2,1,3,2,"16","73","279","37",4,11.0857142857143,"0","0","0","0","0","0","0","0","0",0,213.375
