"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
500,2856,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","323",11.0857142857143,"0","0","0","0","0","0","0","0","1","0","0","0",0,116.625
500,3346,6800,35,73049,4,1,1,4,1,"16","304","1388",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,241.375
500,3241,6200,7,440417.6367713,3,0,1,0,0,"27","482","69",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,136.375
2000,2597,7800,77,466603,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"60","98","193",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,222.875
2000,2001,8000,67,275695,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"2","141","224",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,357.375
3000,2064,8300,90,372875,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","82","311",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,55.125
2000,2807,8600,96,248407,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"56","142","225",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,67.625
2000,1458,8500,134,420774,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"52","106","172",11.0857142857143,"0","0","0","0","0","0","0","0","0","2","0","0",0,179.625
500,2856,5000,71,50584,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"120","373","631",4,"0","0","0","0","0","0","0","0","0","0","0","0",0,116.625
500,2226,7500,46,8412,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","213","348",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,217.125
500,3229,5200,41,769,35,0,24,7,0,"27","50","1125",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,124.375
500,3360,7800,76,14,11,5,3,7,2,"45","559","637",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","0",0,255.375
500,3227,4400,5,334360,1,0,0,0,0,"53","129","1131",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,122.375
500,3255,4400,12,25831,2,0,0,2,0,"14","484","377",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,150.375
500,2891,2900,37,233505,0,0,0,0,0,"1","252","447",11.0857142857143,"0","0","0","0","0","2","0","0","0","0","0","0",0,151.625
2000,2079,7200,60,47363,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","5","7",11.0857142857143,"2","2","2","0","0","0","1","0","0","0","0","0",0,70.125
2000,2499,7700,88,557614,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","132","446",11.0857142857143,"0","0","0","0","0","2","1","0","1","0","0","0",0,124.875
500,2607,7100,56,111812,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","333","559",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,232.875
500,3186,8300,64,14306,8,4,3,2,2,"56","142","1010",12,"2","0","0","0","0","0","0","0","0","0","0","0",0,81.375
500,2121,5500,10,384334,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","176","277",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,112.125
2000,3229,4200,37,440417.6367713,58,1,42,6,0,"28","627","1179",11.0857142857143,"0","0","2","0","0","0","0","0","0","2","0","0",0,124.375
3000,3171,8800,68,16504,23,9,14,6,3,"17","32","52",11.0857142857143,"2","2","2","0","0","0","1","0","0","0","0","0",0,66.375
2000,2065,7500,57,777132,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","187","295",8,"0","0","0","0","0","0","1","0","0","0","0","0",0,56.125
2000,3094,7700,88,440417.6367713,23,7,5,13,5,"5","232","305",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,354.625
500,2361,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","198",11.0857142857143,"2","0","2","0","0","0","0","0","0","0","0","0",0,352.125
500,2450,8300,53,503093,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","168","398",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,75.875
2000,2401,8400,95,336930,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","67","432",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","1",0,26.875
2000,1764,7600,84,820707,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","31","40",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","0",0,120.375
500,3178,4300,18,440417.6367713,5,1,2,2,0,"28","327","1146",11.0857142857143,"0","0","2","0","0","0","0","0","0","0","0","0",0,73.375
500,3101,7800,84,1879,9,4,3,6,3,"5","11","587",11.0857142857143,"0","0","0","0","0","0","0","0","1","0","0","1",0,361.625
6000,1784,8800,110,527439,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","189",16,"0","0","0","0","0","2","1","0","1","2","0","1",0,140.375
2000,3220,5700,8,227165,9,1,6,2,0,"5","9","382",11.0857142857143,"2","0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,2737,6300,53,241413,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","243","244",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,362.875
3000,3157,7500,98,850888,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"2","339","571",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","1",3,52.375
2000,2485,8400,113,538046,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","183",16,"0","0","0","0","0","0","1","0","1","2","0","1",0,110.875
500,1842,6800,46,75598,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","201",11.0857142857143,"2","2","2","0","0","0","1","0","0","0","0","0",0,198.375
500,3241,3800,39,450556,11,1,2,11,1,"16","243","244",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,136.375
2000,1421,7400,109,250974,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","13","16",8,"0","0","0","0","0","0","1","0","0","0","0","1",0,142.625
500,1883,7500,82,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","76","126",11.0857142857143,"2","0","0","0","0","0","0","0","0","2","0","0",0,239.375
2000,2961,7200,127,941734,25,7,11,10,4,"16","33","643",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","0",1,221.625
2000,3052,7900,75,208574,27,6,14,12,6,"16","31","286",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,312.625
500,2975,7700,70,155555,2,0,2,0,0,"45","403","701",11.0857142857143,"0","2","0","0","0","0","1","0","0","0","0","0",0,235.625
500,2863,7200,80,242444,6,0,2,2,0,"60","38","664",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,123.625
6000,2415,8500,58,1238684,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","39",11.0857142857143,"2","2","2","2","0","2","0","2","1","0","0","0",0,40.875
2000,2856,8600,129,780782,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"42","79","278",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","0",0,116.625
500,2569,5500,68,761,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","268","443",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,194.875
500,2127,6300,10,221857,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","107","174",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,118.125
2000,2001,7700,27,466940,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","213",11.0857142857143,"2","0","2","0","0","0","0","0","0","0","0","0",0,357.375
11000,2870,9300,114,3220430,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","7","11",18,"0","0","0","0","0","0","1","0","1","2","0","1",0,130.625
2000,2387,8000,30,539483,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","30","51",11.0857142857143,"2","2","2","0","0","0","0","0","0","0","0","0",0,12.875
2000,2275,7200,101,324749,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"15","217","355",10,"0","0","0","0","0","0","1","0","0","0","0","0",0,266.125
500,2226,6700,62,570116,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"72","208","340",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,217.125
2000,3311,8800,125,348241,85,25,42,39,20,"16","33","384",11.0857142857143,"0","0","0","0","0","0","1","0","1","2","0","1",0,206.375
2000,2080,8600,34,15804,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","52",11.0857142857143,"2","2","2","2","0","0","0","0","0","0","0","0",0,71.125
500,2513,6300,12,97941,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"12","27","453",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,138.875
2000,2891,6100,98,641442,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"6","114","632",11.0857142857143,"0","0","0","0","0","2","1","0","1","0","0","0",0,151.625
2000,1778,8000,43,1164838,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","33","44",11.0857142857143,"2","2","2","0","0","2","0","0","0","0","0","0",0,134.375
500,2135,7200,55,495179,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"7","178","281",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,126.125
500,2513,7900,44,11049,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","265",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,138.875
500,3220,5700,12,407303,19,3,9,8,2,"5","395","19",11.0857142857143,"0","0","0","0","0","2","0","0","0","0","0","0",0,115.375
500,3220,6400,10,190084,2,1,0,2,1,"5","394","680",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,1561,7600,87,371070,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"16","35","46",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,282.625
2000,1722,6900,22,416229,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"4","127","202",16,"0","0","0","0","0","0","0","0","0","0","0","0",0,78.375
2000,2345,6900,68,664806,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"47","232","378",11.0857142857143,"0","0","0","0","0","2","0","0","1","0","0","0",0,336.125
2000,1715,7900,67,90029,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"17","32","52",11.0857142857143,"2","2","2","2","0","0","1","0","0","0","0","0",0,71.375
500,2442,7000,45,440417.6367713,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","7",11.0857142857143,"2","2","2","2","0","0","1","0","0","0","0","0",0,67.875
500,2975,6700,56,440417.6367713,0,0,0,0,0,"85","488","901",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,235.625
500,2863,5600,6,440417.6367713,0,0,0,0,0,"5","9","890",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,123.625
500,2513,4300,11,88573,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","6","551",14,"2","0","0","0","0","0","0","0","0","0","0","0",0,138.875
3000,3220,6100,81,779035,51,26,11,25,18,"29","247","399",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","0","1",0,115.375
500,2261,7200,33,49009,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"27","50","199",11.0857142857143,"2","0","2","0","0","0","0","0","0","0","0","0",0,252.125
500,2492,3100,5,47068,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"5","127","425",8,"2","0","0","0","0","0","0","0","0","0","0","0",0,117.875
500,2485,8000,47,139621,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"9","144","228",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,2022,7300,40,304225,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"3","4","204",11.0857142857143,"0","2","2","0","0","0","1","0","0","0","0","0",0,13.125
2000,2982,8900,53,676207,32,4,10,10,3,"42","77","127",11.0857142857143,"2","0","2","0","0","0","1","0","0","0","0","0",0,242.625
2000,2128,7700,49,253625,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"28","114","265",11.0857142857143,"0","0","0","0","0","0","1","0","0","2","0","0",0,119.125
500,1547,6000,65,48178,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"26","48","66",11.0857142857143,"0","0","0","0","0","0","1","0","0","0","0","0",0,268.625
3000,3080,7900,76,145077,64,4,48,44,3,"17","30","44",11.0857142857143,"2","2","2","2","0","2","1","0","0","0","0","0",0,340.625
500,2526,3600,33,76996,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"53","273","441",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,151.875
6000,2793,9100,131,582649,29.7883211678832,8.66058394160584,10.5,16.0182481751825,6.06204379562044,"19","336","565",11.0857142857143,"0","0","0","0","0","0","1","0","1","0","1","1",0,53.625
500,3227,3600,8,334360,1,0,0,0,0,"53","129","1131",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,122.375
2000,3367,7600,52,257699,38,12,4,28,10,"29","38","79",11.0857142857143,"0","0","0","0","0","0","0","0","0","0","0","0",0,262.375
