"Outcome_M1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Quan_28","Cat_467_0","Cat_467_1","Cat_469_0","Cat_469_2","Cat_494_0","Cat_494_1","Cat_110_0","Cat_110_2","Cat_110_3","Cat_110_4","Cat_349_0","Cat_349_2","Cat_403_0","Cat_403_1","Cat_498_0","Cat_498_1","Cat_220_0","Cat_220_2","Cat_388_0","Cat_388_2","Cat_466_0","Cat_466_2"
3000,7500,78,23013,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
266000,9300,120,1808023,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,3800,57,0,36,7,36,36,9,3,9,9,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7100,21,65693,69,17,69,69,55,13,55,55,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
11000,5900,69,641442,17,2,17,17,10,2,10,10,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
3000,7900,32,58648,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
18000,8000,74,682260,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
40000,7900,109,669770,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
2000,6800,30,2727,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,5800,61,575483,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11000,8800,100,561962,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
16000,8100,60,412632,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,8500,88,643979,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,7600,40,1951543,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
6000,8100,127,29197,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,5500,53,33,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
26000,7700,88,385016,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,4900,47,445190,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
35000,7900,101,1416697,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
73000,9200,124,752566,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
15000,7300,92,94900,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0
3000,5700,31,67012,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6900,30,1183119,53,4,53,53,13,1,13,13,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
11000,6500,13,109982,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,6800,95,38152,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,5800,30,195081,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
23000,6700,68,694809,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
31000,8000,85,233416,57,26,57,57,41,22,41,41,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7100,83,477063,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
32000,6600,97,405694,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
19000,8800,62,28203,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
19000,7400,116,850888,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
21000,9100,88,262738,13,3,13,13,7,2,7,7,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6000,25,366857,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,6500,18,642619,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
10000,7600,47,300522,22,13,22,22,17,10,17,17,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
2000,5400,7,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,5600,28,29,4,1,4,4,4,1,4,4,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7900,37,0,5,0,5,5,3,0,3,3,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,4700,92,90054,23,14,23,23,7,3,7,7,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
26000,7300,57,469247,16,6,16,16,14,6,14,14,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,5000,52,14073,11,3,11,11,9,3,9,9,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
73000,8000,44,985658,69,31,69,69,46,23,46,46,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
18000,6400,39,1759054,187,14,187,187,39,10,39,39,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
2000,6000,31,53952,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,7000,76,7696,33,3,33,33,25,3,25,25,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,6900,87,16594,6,2,6,6,6,2,6,6,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
10000,7300,63,97852,39,12,39,39,30,11,30,30,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,4600,6,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,0,2,235853,5,2,5,5,5,2,5,5,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
84000,8700,132,862604,126,63,126,126,83,46,83,83,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,8000,87,5758,18,7,18,18,12,3,12,12,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,8200,49,1602,7,5,7,7,4,2,4,4,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,6300,65,47075,4,2,4,4,2,2,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,6300,60,127967,17,7,17,17,13,7,13,13,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,8700,84,28006,15,3,15,15,11,3,11,11,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,6100,53,18465,17,8,17,17,12,6,12,12,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6300,40,53952,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
134000,9400,102,1139542,106,43,106,106,72,31,72,72,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,8700,46,284933,11,4,11,11,9,3,9,9,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
10000,7100,96,6532,11,5,11,11,6,4,6,6,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
2000,7800,19,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,8600,16,635758,11,5,11,11,6,3,6,6,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
18000,7000,76,309164,41,16,41,41,34,16,34,34,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,5900,82,33837,13,3,13,13,8,3,8,8,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
81000,8100,79,23277,22,6,22,22,17,5,17,17,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
2000,7000,44,65248,4,2,4,4,4,2,4,4,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
10000,7700,36,241220,18,1,18,18,12,1,12,12,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
121000,9300,33,1729826,66,30,66,66,41,20,41,41,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
34000,9400,97,169441,64,29,64,64,47,27,47,47,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,5700,78,167598,4,1,4,4,2,1,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
24000,8900,111,105605,38,22,38,38,24,13,24,24,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6300,23,39964,8,2,8,8,4,2,4,4,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,4700,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
8000,7000,91,93023,25,9,25,25,15,5,15,15,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,3500,3,135717,7,2,7,7,2,1,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7400,64,9596,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6300,13,0,4,0,4,4,2,0,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,4900,25,23286,14,2,14,14,5,2,5,5,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
55000,8200,28,171279,102,27,102,102,37,21,37,37,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,7800,53,0,4,2,4,4,3,1,3,3,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
335000,9500,105,1729826,62,28,62,62,41,20,41,41,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,8000,32,346384,14,1,14,14,11,1,11,11,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,7400,80,132449,33,17,33,33,19,10,19,19,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
18000,8300,3,275,13,8,13,13,13,8,13,13,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
6000,7200,76,44828,19,10,19,19,15,8,15,15,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7700,22,621939,39,7,39,39,23,7,23,23,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
34000,4900,116,382119,68,32,68,68,42,21,42,42,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
3000,7800,73,17777,10,1,10,10,8,1,8,8,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
8000,8000,43,621939,41,8,41,41,25,8,25,25,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
55000,9400,112,169441,58,27,58,58,44,25,44,44,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7600,63,9596,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
27000,8100,69,671633,50,36,50,50,30,25,30,30,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,5400,25,489,7,3,7,7,5,3,5,5,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
16000,7400,72,97852,41,13,41,41,28,12,28,28,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,8400,77,5293,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,8300,107,3247,28,6,28,28,12,4,12,12,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
160000,7800,49,1043453,97,45,97,97,66,34,66,66,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
3000,8800,60,284933,12,4,12,12,10,3,10,10,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
77000,8300,80,987149,41,15,41,41,24,11,24,24,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
13000,7700,53,467004,13,6,13,13,9,4,9,9,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
129000,8000,86,985658,63,30,63,63,45,22,45,45,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
74000,8900,51,357567,51,21,51,51,31,16,31,31,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,6600,35,444809,20,1,20,20,12,1,12,12,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
27000,6400,50,597696,28,15,28,28,23,13,23,23,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7000,87,93023,26,9,26,26,16,5,16,16,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
47000,6800,115,309164,42,18,42,42,35,17,35,35,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,6100,57,10916,3,1,3,3,3,1,3,3,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6400,13,1759054,50,11,50,50,25,7,25,25,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
5000,4700,70,14073,12,3,12,12,9,3,9,9,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,7700,101,5935,39,4,39,39,10,3,10,10,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
11000,7200,108,81138,28,12,28,28,21,11,21,21,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
19000,7200,30,469247,14,6,14,14,13,6,13,13,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,4600,38,6661,9,3,9,9,6,2,6,6,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7500,54,18582,3,0,3,3,2,0,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,3000,7,23286,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
19000,5100,86,382119,66,32,66,66,42,21,42,42,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
534000,8700,44,4692569,143,68,143,143,100,45,100,100,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2000,6000,12,216245,11,3,11,11,8,3,8,8,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,4400,42,6661,12,3,12,12,6,2,6,6,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
32000,9000,64,233160,27,14,27,27,19,13,19,19,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
60000,8300,125,58238,196,24,196,196,171,14,171,171,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6200,20,8229,2,1,2,2,2,1,2,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
13000,7500,97,132449,36,19,36,36,21,11,21,21,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
53000,7200,75,225894,36,13,36,36,21,11,21,21,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7800,23,0,2,1,2,2,2,1,2,2,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7200,92,81138,27,11,27,27,20,10,20,20,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
108000,8500,41,1480378,101,58,101,101,57,35,57,57,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3000,5800,61,18465,16,8,16,16,12,6,12,12,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,7100,63,65248,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,7100,73,0,2,1,2,2,2,1,2,2,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
8000,7000,89,6532,11,5,11,11,6,4,6,6,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
74000,8300,37,171279,131,28,131,131,103,22,103,103,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
23000,0,0,275,17,10,17,17,17,10,17,17,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
187000,8400,64,1480378,95,50,95,95,56,29,56,56,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6000,8700,114,28006,11,3,11,11,9,3,9,9,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
5000,6800,58,15055,2,1,2,2,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,5200,9,2,3,0,3,3,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
76000,8600,85,243024,91,36,91,91,66,33,66,66,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
2000,5200,81,670,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8000,8100,56,1602,12,5,12,12,4,2,4,4,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2000,6500,45,15055,4,1,4,4,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
6000,4500,6,144409,13,0,13,13,4,0,4,4,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
