"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_498_0","Cat_498_1","Cat_220_0","Cat_220_2"
500,6200,68,148496,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,98,214006,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,89,39995,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,0,0,0,4,2,1,4,4,3,2,3,3,1,0,1,0,1,0,1,0
500,3500,4,11675,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7400,112,941734,22,7,9,22,22,11,4,11,11,1,0,1,0,1,0,1,0
500,7800,28,245463,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8000,86,1951543,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,8900,136,395580,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8900,118,1394197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
2000,8500,94,755977,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8400,81,212135,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,94,172979,95,20,61,95,95,58,16,58,58,1,0,1,0,1,0,1,0
500,6400,5,150368,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,5,407303,21,3,11,21,21,8,2,8,8,1,0,1,0,1,0,1,0
500,7100,62,136366,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5600,64,166518,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,17,283838,7,0,4,7,7,2,0,2,2,1,0,1,0,1,0,1,0
2000,8000,61,13671,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,135,488430,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7400,92,872255,73,33,22,73,73,37,23,37,37,1,0,1,0,1,0,1,0
500,4900,21,49935,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,55,477063,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6700,18,471617,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8800,74,696622,313,26,273,313,313,288,19,288,288,1,0,1,0,1,0,1,0
500,6400,39,5633,40,1,29,40,40,6,0,6,6,1,0,1,0,1,0,1,0
500,6100,45,9772,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
500,7100,106,37215,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,102,447992,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8500,154,401293,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,8300,106,793103,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,50,412632,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4500,43,56051,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,0,0,386836,10,3,4,10,10,0,0,0,0,1,0,1,0,1,0,1,0
2000,7900,81,940341,30,10,7,30,30,18,8,18,18,0,1,1,0,1,0,1,0
500,6700,29,163947,11,3,5,11,11,3,0,3,3,1,0,1,0,1,0,1,0
2000,7600,69,824187,29,3,14,29,29,14,3,14,14,1,0,1,0,1,0,1,0
500,5000,43,224371,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3800,48,84266,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,58,222511,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5300,34,149219,16,2,4,16,16,2,0,2,2,1,0,1,0,1,0,1,0
2000,2600,17,3936,42,2,34,42,42,5,0,5,5,1,0,1,0,1,0,1,0
500,6900,67,214006,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7100,48,192962,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,6300,36,62276,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,85,642451,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,42,267629,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,103,0,22,7,5,22,22,15,5,15,15,1,0,1,0,1,0,1,0
500,0,2,44363,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
500,3800,12,91161,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,123,488430,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,116,272994,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,105,624769,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7300,94,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5000,33,26436,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,89,317271,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,12,119498,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8400,87,916743,68,15,26,68,68,35,14,35,35,1,0,1,0,1,0,1,0
500,5800,77,149470,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,6400,53,16442,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,46,4221,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,53,396297,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,182,4741,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4200,19,631652,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,36,564834,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9300,144,1650772,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7500,46,245463,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3500,8,91161,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7500,65,1969756,80,8,42,80,80,24,5,24,24,0,1,1,0,1,0,1,0
500,5500,11,153980,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,16,164171,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6300,22,230598,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6000,37,23149,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6900,96,549715,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,33,691706,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,40,51652,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,0,2,131448,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5000,52,49935,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,0,0,194305,3,1,1,3,3,2,1,2,2,1,0,1,0,1,0,1,0
500,5800,69,57822,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8600,107,4365238,155,57,31,155,155,68,39,68,68,0,1,1,0,0,1,1,0
2000,8900,129,1201564,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,59,95291,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,38,2048,3,3,2,3,3,0,0,0,0,0,1,1,0,1,0,1,0
2000,4400,51,367328,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8900,102,1529105,121,43,37,121,121,61,27,61,61,0,1,1,0,1,0,1,0
500,6000,19,97941,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8400,38,359080,48,9,19,48,48,32,8,32,32,1,0,1,0,1,0,1,0
500,7400,40,788296,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8800,149,483316,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7600,55,0,33,7,13,33,33,11,3,11,11,1,0,1,0,1,0,1,0
500,7600,62,720532,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,92,20071,5,3,0,5,5,3,1,3,3,1,0,1,0,1,0,1,0
500,6000,56,193041,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4400,11,89480,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,67,43805,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,45,462746,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,80,280808,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,8200,112,447992,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6600,72,245264,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,91,94125,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,69,557725,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,8000,87,1168518,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
2000,7900,118,457014,62,22,21,62,62,27,14,27,27,0,1,1,0,1,0,1,0
2000,7200,95,664806,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8600,77,1348716,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,5500,88,2477,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,76,101055,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8300,111,931417,107,20,48,107,107,41,7,41,41,0,1,1,0,0,1,1,0
2000,7700,104,466603,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
23000,9000,133,823479,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6600,46,670326,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8500,115,467424,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
6000,9200,137,1329383,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,9500,149,1005204,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,9100,61,518273,36,12,8,36,36,13,9,13,13,1,0,1,0,1,0,1,0
500,6200,47,844248,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,151,834327,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,5300,28,30366,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,47,5650,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,18,283838,10,0,5,10,10,2,0,2,2,1,0,1,0,1,0,1,0
500,6100,56,193707,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5600,43,0,13,6,3,13,13,2,2,2,2,0,1,1,0,1,0,1,0
2000,5900,44,181085,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,71,739705,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7400,91,65599,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7300,33,304225,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,76,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7000,120,316575,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8500,86,10057,25,12,6,25,25,17,9,17,17,1,0,1,0,1,0,1,0
500,5600,16,32760,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,92,1516735,54,20,22,54,54,29,10,29,29,1,0,1,0,1,0,1,0
500,4200,6,128209,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,82,62984,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9300,80,0,19,11,4,19,19,6,4,6,6,1,0,1,0,1,0,1,0
500,0,1,86725,5,3,0,5,5,3,2,3,3,1,0,1,0,1,0,1,0
500,7900,81,1106,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,99,303842,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5600,21,384334,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,145,1003761,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7400,49,589158,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,98,27136,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8500,39,2006285,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,3,72774,2,1,0,2,2,2,1,2,2,1,0,1,0,1,0,1,0
2000,7900,91,669770,31,23,8,31,31,21,18,21,21,0,1,1,0,0,1,1,0
500,5900,66,1361,20,2,9,20,20,2,1,2,2,1,0,1,0,1,0,1,0
500,7400,39,428610,7,0,1,7,7,4,0,4,4,1,0,1,0,1,0,1,0
2000,7600,119,478691,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,108,975913,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,59,438753,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,106,442044,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
