"Outcome_M8","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_15","Quan_18","Cat_139","Cat_245","Cat_392","Cat_469","Cat_470","Cat_484","Cat_494","Cat_501","Cat_513"
2000,2415,8500,58,1238684,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
2000,2856,8600,129,780782,0,0,0,0,0,0,0,0,0,"42","79","278","4",0,"0","0","0","0","0","0","0","0","0"
2000,2569,5500,68,761,0,0,0,0,0,0,0,0,0,"16","268","443","2",0,"0","0","0","0","0","0","0","0","0"
500,2127,6300,10,221857,0,0,0,0,0,0,0,0,0,"53","107","174","3",0,"0","0","0","0","0","0","0","0","0"
2000,2001,7700,27,466940,0,0,0,0,0,0,0,0,0,"3","4","213","3",0,"0","0","0","0","0","0","0","0","0"
15000,2870,9300,114,3220430,0,0,0,0,0,0,0,0,0,"5","7","11","1",18,"0","0","0","2","0","0","1","0","0"
2000,2387,8000,30,539483,0,0,0,0,0,0,0,0,0,"17","30","51","3",0,"0","0","0","0","0","0","0","0","0"
500,2275,7200,101,324749,0,0,0,0,0,0,0,0,0,"15","217","355","1",10,"0","0","0","0","0","0","0","0","0"
500,2226,6700,62,570116,0,0,0,0,0,0,0,0,0,"72","208","340","1",0,"0","0","0","0","0","0","0","0","0"
2000,3311,8800,125,348241,85,25,42,85,85,39,20,39,39,"16","33","384","1",0,"0","0","0","2","0","0","1","0","0"
2000,2080,8600,34,15804,0,0,0,0,0,0,0,0,0,"17","32","52","4",0,"0","0","0","0","0","0","0","0","0"
500,2513,6300,12,97941,0,0,0,0,0,0,0,0,0,"12","27","453","4",0,"0","0","0","0","0","0","0","0","0"
500,2891,6100,98,641442,0,0,0,0,0,0,0,0,0,"6","114","632","12",0,"0","0","0","0","0","0","0","0","0"
2000,1778,8000,43,1164838,0,0,0,0,0,0,0,0,0,"17","33","44","3",0,"0","0","0","0","0","0","0","0","0"
500,2135,7200,55,495179,0,0,0,0,0,0,0,0,0,"7","178","281","2",0,"0","0","0","0","0","0","0","0","0"
500,2513,7900,44,11049,0,0,0,0,0,0,0,0,0,"28","114","265","2",0,"0","0","0","0","0","0","0","0","0"
500,3220,5700,12,407303,19,3,9,19,19,8,2,8,8,"5","395","19","3",0,"0","0","0","0","0","0","0","0","0"
500,3220,6400,10,190084,2,1,0,2,2,2,1,2,2,"5","394","680","4",0,"0","0","0","0","0","0","0","0","0"
2000,1561,7600,87,371070,0,0,0,0,0,0,0,0,0,"16","35","46","2",0,"0","0","0","2","0","0","0","0","0"
500,1722,6900,22,416229,0,0,0,0,0,0,0,0,0,"4","127","202","2",16,"0","0","0","0","0","0","0","0","0"
500,2345,6900,68,664806,0,0,0,0,0,0,0,0,0,"47","232","378","2",0,"0","0","0","0","0","0","0","0","0"
2000,1715,7900,67,90029,0,0,0,0,0,0,0,0,0,"17","32","52","4",0,"0","0","0","0","0","0","0","0","0"
500,2442,7000,45,0,0,0,0,0,0,0,0,0,0,"3","4","7","4",0,"0","0","0","0","0","0","0","0","0"
500,2975,6700,56,0,0,0,0,0,0,0,0,0,0,"85","488","901","1",0,"0","0","0","0","0","0","0","0","0"
500,2863,5600,6,0,0,0,0,0,0,0,0,0,0,"5","9","890","2",0,"0","0","0","0","0","0","0","0","0"
500,2513,4300,11,88573,0,0,0,0,0,0,0,0,0,"5","6","551","4",14,"0","0","0","0","0","0","0","0","0"
2000,3220,6100,81,779035,51,26,11,51,51,25,18,25,25,"29","247","399","2",0,"0","0","0","0","0","0","1","0","0"
500,2261,7200,33,49009,0,0,0,0,0,0,0,0,0,"27","50","199","3",0,"0","0","0","0","0","0","0","0","0"
500,2492,3100,5,47068,0,0,0,0,0,0,0,0,0,"5","127","425","4",8,"0","0","0","0","0","0","0","0","0"
500,2485,8000,47,139621,0,0,0,0,0,0,0,0,0,"9","144","228","2",0,"0","0","0","0","0","0","0","0","0"
2000,2022,7300,40,304225,0,0,0,0,0,0,0,0,0,"3","4","204","4",0,"0","2","0","0","0","0","0","0","0"
2000,2982,8900,53,676207,32,4,10,32,32,10,3,10,10,"42","77","127","3",0,"0","0","0","0","0","0","0","0","0"
500,2128,7700,49,253625,0,0,0,0,0,0,0,0,0,"28","114","265","2",0,"0","0","0","2","0","0","0","0","0"
500,1547,6000,65,48178,0,0,0,0,0,0,0,0,0,"26","48","66","2",0,"0","0","0","0","0","0","0","0","0"
2000,3080,7900,76,145077,64,4,48,64,64,44,3,44,44,"17","30","44","3",0,"0","0","0","0","0","0","0","0","0"
500,2526,3600,33,76996,0,0,0,0,0,0,0,0,0,"53","273","441","2",0,"0","0","0","0","0","0","0","0","0"
11000,2793,9100,131,582649,0,0,0,0,0,0,0,0,0,"19","336","565","2",0,"0","0","2","0","1","2","1","2","2"
500,3227,3600,8,334360,1,0,0,1,1,0,0,0,0,"53","129","1131","4",0,"0","0","0","0","0","0","0","0","0"
2000,3367,7600,52,257699,38,12,4,38,38,28,10,28,28,"29","38","79","4",0,"0","0","0","0","0","0","0","0","0"
500,3129,8500,47,0,2,1,0,2,2,1,1,1,1,"82","259","671","2",0,"0","0","0","0","0","0","0","0","0"
3000,1421,6200,68,148496,0,0,0,0,0,0,0,0,0,"17","32","48","3",0,"0","0","0","0","0","0","0","0","0"
500,2485,6800,98,214006,0,0,0,0,0,0,0,0,0,"5","8","18","2",0,"0","0","0","0","0","0","0","0","0"
500,1701,7000,89,39995,0,0,0,0,0,0,0,0,0,"28","97","182","2",0,"0","0","0","0","0","0","0","0","0"
500,3318,0,0,0,4,2,1,4,4,3,2,3,3,"16","73","279","4",0,"0","0","0","0","0","0","0","0","0"
500,2093,3500,4,11675,0,0,0,0,0,0,0,0,0,"4","194","10","2",0,"0","0","0","0","0","0","0","0","0"
2000,2961,7400,112,941734,22,7,9,22,22,11,4,11,11,"16","33","643","1",0,"0","0","0","2","0","0","0","0","0"
500,2744,7800,28,245463,0,0,0,0,0,0,0,0,0,"3","362","213","4",0,"0","0","0","0","0","0","0","0","0"
3000,1694,8000,86,1951543,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
2000,2926,8900,136,395580,0,0,0,0,0,0,0,0,0,"45","290","478","1",0,"0","0","0","0","0","0","0","0","0"
3000,2877,8900,118,1394197,0,0,0,0,0,0,0,0,0,"28","114","206","7",0,"0","0","0","2","0","0","1","0","0"
500,2709,8500,94,755977,0,0,0,0,0,0,0,0,0,"53","109","582","1",16,"0","0","0","0","0","0","0","0","0"
2000,2380,8400,81,212135,0,0,0,0,0,0,0,0,0,"2","269","433","4",4,"0","0","0","0","0","0","0","0","0"
500,3339,8300,94,172979,95,20,61,95,95,58,16,58,58,"16","564","1054","1",0,"0","0","0","0","0","0","0","0","0"
500,2702,6400,5,150368,0,0,0,0,0,0,0,0,0,"53","176","660","4",0,"0","0","0","0","0","0","0","0","0"
500,3220,6200,5,407303,21,3,11,21,21,8,2,8,8,"5","395","19","3",0,"0","0","0","0","0","0","0","0","0"
500,2464,7100,62,136366,0,0,0,0,0,0,0,0,0,"27","251","404","1",0,"0","0","0","0","0","0","0","0","0"
500,2352,5600,64,166518,0,0,0,0,0,0,0,0,0,"3","230","375","2",2,"0","0","0","0","0","0","0","0","0"
500,3192,5900,17,283838,7,0,4,7,7,2,0,2,2,"16","578","1081","4",0,"0","0","0","0","0","0","0","0","0"
2000,2835,8000,61,13671,0,0,0,0,0,0,0,0,0,"17","32","49","3",0,"0","0","0","2","0","0","0","0","0"
2000,2926,8300,135,488430,0,0,0,0,0,0,0,0,0,"53","334","562","1",0,"0","0","0","2","0","0","0","0","0"
2000,3206,7400,92,872255,73,33,22,73,73,37,23,37,37,"16","34","260","7",0,"0","0","0","2","0","0","0","0","0"
500,2143,4900,21,49935,0,0,0,0,0,0,0,0,0,"5","9","287","1",12,"0","0","0","0","0","0","0","0","0"
2000,2113,7300,55,477063,0,0,0,0,0,0,0,0,0,"5","10","19","2",0,"0","0","0","0","0","0","0","0","0"
500,1939,6700,18,471617,0,0,0,0,0,0,0,0,0,"28","116","186","3",0,"0","0","0","0","0","0","0","0","0"
13000,3199,8800,74,696622,313,26,273,313,313,288,19,288,288,"3","4","6","3",10,"0","0","0","0","0","0","0","0","0"
500,3229,6400,39,5633,40,1,29,40,40,6,0,6,6,"27","50","1126","4",0,"0","0","0","0","0","0","0","0","0"
500,3227,6100,45,9772,1,1,0,1,1,1,1,1,1,"26","143","895","1",0,"0","0","0","0","0","0","0","0","0"
2000,2695,7100,106,37215,0,0,0,0,0,0,0,0,0,"13","278","460","1",8,"0","0","0","0","0","0","0","0","0"
500,2829,6500,4,0,0,0,0,0,0,0,0,0,0,"133","409","718","3",0,"0","0","0","0","0","0","0","0","0"
500,3003,8200,102,447992,0,0,0,0,0,0,0,0,0,"19","40","56","1",0,"0","0","0","2","0","0","0","0","0"
10000,2702,8500,154,401293,0,0,0,0,0,0,0,0,0,"42","323","536","16",0,"0","0","0","2","0","0","1","0","0"
500,1890,8300,106,793103,0,0,0,0,0,0,0,0,0,"42","78","128","2",0,"0","0","0","2","0","0","0","0","0"
500,1890,8200,50,412632,0,0,0,0,0,0,0,0,0,"18","32","50","3",0,"0","0","0","0","0","0","0","0","0"
500,2807,4500,43,56051,0,0,0,0,0,0,0,0,0,"139","426","757","1",0,"0","0","0","0","0","0","0","0","0"
2000,3220,0,0,386836,10,3,4,10,10,0,0,0,0,"16","243","898","3",0,"0","0","0","0","0","0","0","0","0"
2000,3101,7900,81,940341,30,10,7,30,30,18,8,18,18,"60","38","763","4",0,"0","0","0","0","0","0","1","0","0"
2000,3226,6700,29,163947,11,3,5,11,11,3,0,3,3,"16","584","403","3",0,"0","0","0","0","0","0","0","0","0"
2000,3087,7600,69,824187,29,3,14,29,29,14,3,14,14,"12","27","981","4",0,"0","0","0","0","0","0","0","0","0"
500,2499,5000,43,224371,0,0,0,0,0,0,0,0,0,"74","216","412","1",0,"0","0","0","0","0","0","0","0","0"
500,2001,3800,48,84266,0,0,0,0,0,0,0,0,0,"31","158","249","2",12,"0","0","0","0","0","0","0","0","0"
2000,2478,8700,58,222511,0,0,0,0,0,0,0,0,0,"17","32","48","3",0,"0","0","0","2","0","0","0","0","0"
500,3353,5300,34,149219,16,2,4,16,16,2,0,2,2,"236","46","1262","2",0,"0","0","0","0","0","0","0","0","0"
2000,3243,2600,17,3936,42,2,34,42,42,5,0,5,5,"27","49","1145","4",0,"0","0","0","0","0","0","0","0","0"
500,2485,6900,67,214006,0,0,0,0,0,0,0,0,0,"5","246","18","2",0,"0","0","0","0","0","0","0","0","0"
2000,2343,7100,48,192962,0,0,0,0,0,0,0,0,0,"8","233","379","2",0,"2","0","0","0","0","0","1","0","0"
500,2135,6300,36,62276,0,0,0,0,0,0,0,0,0,"26","48","216","2",0,"0","0","0","0","0","0","0","0","0"
2000,2512,6400,85,642451,0,0,0,0,0,0,0,0,0,"16","31","40","2",0,"0","0","0","2","0","0","0","0","0"
500,2121,7700,42,267629,0,0,0,0,0,0,0,0,0,"19","41","57","2",0,"0","0","0","0","0","0","0","0","0"
500,3094,7800,103,0,22,7,5,22,22,15,5,15,15,"5","232","305","2",0,"0","0","0","0","0","0","0","0","0"
500,3066,0,2,44363,1,0,0,1,1,1,0,1,1,"8","534","992","3",0,"0","0","0","0","0","0","0","0","0"
500,2156,3800,12,91161,0,0,0,0,0,0,0,0,0,"4","9","12","2",12,"0","0","0","0","0","0","0","0","0"
2000,2926,8200,123,488430,0,0,0,0,0,0,0,0,0,"53","334","562","1",0,"0","0","0","0","0","0","0","0","0"
2000,2001,8200,116,272994,0,0,0,0,0,0,0,0,0,"2","141","224","1",8,"0","0","0","0","0","0","0","0","0"
3000,2366,8200,105,624769,0,0,0,0,0,0,0,0,0,"16","35","367","2",0,"0","0","0","2","0","0","1","0","0"
500,2898,7300,94,0,0,0,0,0,0,0,0,0,0,"16","268","586","1",0,"0","0","0","0","0","0","0","0","0"
500,2233,5000,33,26436,0,0,0,0,0,0,0,0,0,"28","214","349","1",0,"0","0","0","0","0","0","0","0","0"
500,2940,5900,89,317271,0,0,0,0,0,0,0,0,0,"13","335","564","2",0,"0","0","0","0","0","0","0","0","0"
2000,2093,7200,12,119498,0,0,0,0,0,0,0,0,0,"4","127","202","2",21,"0","0","0","0","0","0","0","0","0"
10000,3066,8400,87,916743,68,15,26,68,68,35,14,35,35,"53","51","563","19",0,"0","0","0","0","0","0","0","0","0"
500,2366,5800,77,149470,0,0,0,0,0,0,0,0,0,"8","15","366","1",0,"0","0","0","0","0","0","1","0","0"
500,1904,6400,53,16442,0,0,0,0,0,0,0,0,0,"45","97","151","2",8,"0","0","0","0","0","0","0","0","0"
500,2912,5900,46,4221,0,0,0,0,0,0,0,0,0,"5","10","123","2",0,"0","0","0","0","0","0","0","0","0"
