"","Outcome_M1","Outcome_M2","Outcome_M3","Outcome_M4","Outcome_M5","Outcome_M6","Outcome_M7","Outcome_M8","Outcome_M9","Outcome_M10","Outcome_M11","Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Cat_467","Cat_469","Cat_470","Cat_494","Cat_501","Quan_27","Cat_513","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_498","Quan_7","Cat_220","Cat_4","Quan_18","Cat_359","Cat_388","Quant_24","Quant_25","Date_1","Cat_2","Cat_3","Cat_15","Cat_139","Cat_245","Cat_392","Cat_484","Cat_162","Cat_210","Cat_216","Cat_400","Cat_466","Day_Of_Year_1","Cat_6","Quan_17","Cat_404","Quan_28"
"11",2000,3000,2000,2000,2000,2000,2000,500,2000,2000,500,500,4300,53,1698,4,2,4,4,"0","0","0","0","0",0,"0",3,1,3,3,4,"3","0","1","0",0,"0","909",0,"0","0",0,3,3101,"109","304","2","0","0","0","0","0","0","0","1","0",361.625,"27",0,"0",0
"12",5000,2000,2000,2000,2000,2000,500,500,500,500,500,500,6500,54,37635,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,6,"2","0","1","0",0,"0","155",0,"0","0",8,8,1758,"45","100","2","0","0","0","0","0","0","0","1","0",114.375,"1",0,"0",0
"13",8000,2000,2000,2000,500,2000,3000,500,2000,2000,500,500,6900,45,216645,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,14,"0","0","0","0",0,"0","266",0,"0","0",0,0,2352,"17","30","3","0","0","0","0","2","2","0","1","0",343.125,"13",0,"0",0
"14",19000,6000,3000,2000,2000,500,2000,500,500,2000,500,500,7000,58,670326,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,6,"0","0","0","0",0,"0","264",0,"0","0",8,8,2177,"53","107","3","0","0","0","0","0","0","0","0","0",168.125,"13",2,"0",0
"15",2000,2000,500,500,2000,500,500,500,500,500,500,500,6100,42,77366,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","226",0,"0","0",33,33,2065,"9","143","2","0","0","0","0","0","0","0","0","0",56.125,"10",2,"0",0
"16",19000,6000,8000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8800,99,332670,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","384",0,"0","0",0,0,2478,"16","33","14","0","0","0","0","0","0","0","1","0",103.875,"2",0,"0",0
"17",2000,500,500,500,500,500,500,500,500,500,500,500,7100,35,149470,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","366",0,"0","0",0,0,2515,"8","15","1","0","0","0","0","0","0","0","0","0",140.875,"11",0,"0",0
"18",23000,5000,2000,500,2000,500,3000,5000,500,2000,500,500,6400,96,746269,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","18",0,"0","0",0,0,1949,"5","8","2","0","0","2","0","0","0","0","1","0",305.375,"11",0,"0",0
"19",2000,500,500,500,500,500,2000,500,500,500,500,500,4600,3,38595,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","395",0,"0","0",6,6,2492,"12","244","3","0","0","0","0","0","0","0","0","0",117.875,"61",2,"0",0
"20",6000,2000,500,500,2000,500,500,500,500,500,500,500,7300,85,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","586",0,"0","0",0,0,2898,"16","268","1","0","0","0","0","0","0","0","1","0",158.625,"27",0,"0",0
"21",2000,500,500,2000,2000,2000,500,2000,2000,500,500,500,6400,29,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","182",0,"0","0",12,12,1918,"28","97","2","0","0","0","0","0","0","0","0","0",274.375,"41",0,"0",0
"22",2000,2000,3000,2000,2000,500,2000,500,500,500,500,500,6800,21,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","329",0,"0","0",0,0,2164,"43","77","4","0","0","0","0","0","0","2","1","0",155.125,"58",4,"0",0
"23",2000,500,2000,500,500,500,500,500,500,500,500,500,5700,13,13798,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","222",0,"0","0",0,0,2856,"121","140","1","0","0","0","0","0","0","0","0","0",116.625,"46",0,"0",0
"24",5000,11000,3000,3000,3000,2000,2000,2000,500,500,2000,500,7600,55,0,14,5,14,14,"0","0","0","0","0",0,"0",7,1,7,7,4,"0","0","0","0",8,"0","1354",0,"0","0",0,0,3241,"17","32","3","0","0","0","0","2","2","2","0","0",136.375,"4",4,"0",0
"25",5000,2000,3000,5000,2000,2000,500,500,500,500,500,500,7100,58,327817,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","546",0,"0","0",0,0,3181,"42","180","15","0","0","0","0","0","0","0","1","0",76.375,"34",0,"0",0
"26",3000,2000,500,500,500,2000,500,500,2000,500,500,500,8000,79,143718,0,0,0,0,"1","0","0","0","0",0,"0",0,0,0,0,12,"0","0","0","0",0,"0","572",0,"0","0",0,0,2653,"8","141","1","0","0","0","0","0","0","0","1","0",278.875,"2",0,"0",0
"27",53000,11000,3000,2000,3000,15000,3000,2000,2000,500,500,500,7900,61,652377,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","51",0,"0","0",119,119,1659,"17","30","3","0","0","0","0","2","2","2","1","0",15.375,"22",2,"0",0
"28",19000,2000,2000,3000,2000,2000,2000,2000,500,500,500,500,7200,61,606019,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,2,"2","0","0","0",0,"0","431",0,"0","0",3,3,2434,"16","268","2","0","0","0","0","0","0","0","1","0",59.875,"2",0,"0",0
"29",2000,500,500,500,500,500,500,500,500,500,500,500,6900,39,73049,4,1,4,4,"0","0","0","0","0",0,"0",3,1,3,3,0,"0","0","0","0",1,"0","1388",0,"0","0",0,0,3346,"16","304","4","0","0","0","0","0","0","0","0","0",241.375,"11",0,"0",0
"30",2000,6000,3000,3000,2000,2000,2000,2000,500,500,500,500,0,1,224077,80,6,80,80,"0","0","0","1","0",0,"0",4,1,4,4,8,"3","0","0","0",67,"0","1166",0,"0","0",0,0,3243,"59","357","3","0","0","0","0","2","0","0","0","0",138.375,"80",4,"0",0
"31",103000,15000,6000,18000,2000,3000,2000,2000,2000,3000,3000,2000,7200,105,856200,0,0,0,0,"1","2","0","1","0",0,"0",0,0,0,0,0,"0","0","1","0",0,"0","399",0,"0","0",0,0,2450,"29","247","2","0","0","0","0","0","0","0","1","0",75.875,"10",0,"0",0
"32",121000,18000,6000,6000,3000,2000,2000,2000,6000,5000,2000,3000,8200,101,743429,0,0,0,0,"1","2","0","1","0",0,"0",0,0,0,0,16,"2","0","0","0",0,"0","189",16,"0","2",0,0,2268,"28","114","1","0","0","0","0","0","0","0","1","0",259.125,"42",2,"0",0
"33",108000,40000,15000,21000,65000,10000,10000,3000,2000,500,2000,2000,8400,63,1649272,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"2","39",0,"0","2",32,32,2782,"17","30","3","0","0","0","0","2","2","2","1","0",42.625,"22",4,"0",0
"34",27000,6000,3000,3000,2000,2000,2000,2000,3000,3000,2000,2000,8200,50,743429,0,0,0,0,"1","2","0","1","0",0,"0",0,0,0,0,14,"2","0","0","0",0,"0","189",14,"0","2",0,0,2268,"28","114","1","0","0","0","0","0","0","0","0","0",259.125,"42",2,"0",0
"35",31000,5000,2000,2000,2000,2000,3000,500,2000,2000,500,500,7800,106,343410,0,0,0,0,"1","0","0","1","0",0,"0",0,0,0,0,4,"0","0","0","0",0,"0","389",0,"0","0",0,4,2723,"8","238","2","0","0","0","0","0","0","0","1","0",348.875,"2",0,"0",0
"36",3000,3000,3000,8000,3000,3000,3000,3000,2000,2000,3000,2000,8900,37,0,12,5,12,12,"0","0","0","0","0",0,"0",5,4,5,5,0,"3","0","0","0",5,"0","1168",0,"0","0",0,0,3172,"38","70","4","0","0","0","0","0","0","0","1","0",67.375,"63",2,"0",0
"37",2000,500,500,500,500,500,500,500,500,500,500,500,6600,9,0,1,0,1,1,"0","0","0","0","0",0,"0",1,0,1,1,8,"0","0","0","0",0,"0","677",0,"0","0",0,0,2884,"27","46","2","0","0","0","0","0","0","0","1","0",144.625,"52",16,"0",0
"38",2000,2000,500,500,500,500,2000,500,500,2000,500,500,5500,52,0,40,11,40,40,"0","0","0","0","0",0,"0",19,9,19,19,0,"2","0","0","0",5,"0","1152",0,"0","0",6,6,3367,"42","138","4","0","0","0","0","0","0","0","0","0",262.375,"11",2,"0",0
"39",3000,2000,2000,2000,2000,2000,500,500,2000,3000,2000,2000,7900,53,58806,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","158",0,"0","0",22,22,1904,"45","101","3","0","0","0","0","2","0","0","0","0",260.375,"7",4,"0",0
"40",15000,19000,3000,3000,2000,500,500,500,500,500,2000,500,6500,79,529465,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"2","0","0","0",0,"0","252",8,"0","0",0,0,2142,"19","39","1","0","0","0","0","0","0","0","1","0",133.125,"2",2,"0",0
"41",10000,2000,500,500,500,500,500,500,500,2000,500,500,6700,66,503559,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","37",0,"0","0",36,36,1890,"16","29","1","0","0","0","0","0","0","0","0","0",246.375,"18",2,"0",0
"42",5000,2000,2000,2000,500,2000,2000,500,500,500,500,500,6900,29,396498,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","251",0,"0","0",0,0,2085,"53","160","2","0","0","0","0","0","0","0","1","0",76.125,"13",2,"0",0
"43",21000,15000,16000,29000,6000,5000,5000,5000,3000,5000,5000,2000,8600,92,1172663,36,13,36,36,"1","2","0","0","0",0,"0",7,5,7,7,22,"0","0","0","0",17,"0","48",0,"0","0",0,0,3192,"17","32","3","0","0","0","0","2","2","2","1","0",87.375,"26",4,"0",0
"44",65000,10000,5000,3000,6000,15000,3000,2000,2000,500,500,500,8100,44,438659,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","51",0,"0","0",119,119,2023,"17","30","3","0","0","0","0","2","2","2","0","0",14.125,"22",2,"0",0
"45",87000,29000,19000,5000,5000,3000,3000,3000,3000,2000,3000,5000,7300,100,872255,76,33,76,76,"1","2","0","0","0",0,"0",37,24,37,37,24,"0","0","0","0",26,"0","260",0,"0","0",0,0,3206,"16","35","1","0","0","0","0","0","0","0","1","0",101.375,"2",0,"0",0
"46",23000,13000,5000,3000,2000,2000,2000,500,500,2000,500,500,8500,84,169907,60,20,60,60,"1","0","0","1","0",0,"0",45,16,45,45,12,"0","0","0","1",24,"0","754",0,"0","0",0,0,3367,"16","424","1","0","0","0","0","0","0","0","1","0",262.375,"2",0,"0",0
"47",2000,500,2000,500,500,500,500,500,500,500,500,500,5300,10,176797,3,0,3,3,"0","0","0","0","0",0,"0",3,0,3,3,0,"4","0","0","0",0,"0","1234",0,"0","0",13,13,3241,"53","403","4","0","0","0","0","0","0","0","1","0",136.375,"10",4,"0",0
"48",3000,500,2000,2000,2000,2000,2000,500,500,500,500,500,6300,73,35887,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,12,"0","0","0","0",0,"0","387",0,"0","0",0,0,2471,"29","236","2","0","0","0","0","0","0","0","0","0",96.875,"2",0,"0",0
"49",2000,2000,3000,2000,2000,2000,500,500,500,500,500,500,6100,70,215765,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","18",0,"0","0",14,14,2100,"5","183","4","0","0","0","0","0","0","0","0","0",91.125,"10",2,"0",0
"50",6000,2000,2000,2000,2000,500,500,500,500,2000,500,500,8100,96,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,50,"0","0","0","0",0,"0","140",0,"0","0",15,15,2268,"42","90","3","0","0","0","0","0","0","0","1","0",259.125,"24",4,"0",0
"51",3000,500,500,2000,500,500,500,500,500,500,500,500,7600,63,4538,7,2,7,7,"0","0","0","0","0",0,"0",2,1,2,2,4,"3","0","0","0",2,"0","655",0,"0","0",0,0,3171,"28","385","2","0","0","0","0","0","0","0","1","0",66.375,"23",0,"0",0
"52",2000,2000,500,500,500,500,500,500,500,500,500,500,4700,55,13632,1,0,1,1,"0","0","0","0","0",0,"0",1,0,1,1,2,"3","0","0","0",0,"0","85",0,"0","0",0,0,3101,"27","477","1","0","0","0","0","0","0","0","1","0",361.625,"10",0,"0",0
"53",2000,2000,500,2000,500,500,500,500,500,500,500,500,4000,7,98168,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","222",0,"0","0",0,0,3220,"28","140","1","0","0","0","0","0","0","0","0","0",115.375,"46",0,"0",0
"54",2000,500,500,500,500,500,500,500,500,500,500,500,7300,6,119498,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,14,"0","0","0","0",0,"0","202",0,"0","0",33,33,2093,"4","127","2","0","0","0","0","0","0","0","0","0",84.125,"19",0,"0",0
"55",13000,2000,2000,2000,500,2000,3000,500,500,500,2000,2000,7600,51,384726,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","380",0,"0","0",60,60,2345,"29","38","4","0","0","0","0","0","0","0","0","0",336.125,"20",2,"0",0
"56",2000,500,500,500,500,500,500,500,500,500,500,500,6200,89,1564,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","644",0,"0","0",22,22,2765,"85","300","2","0","2","0","0","0","0","0","1","0",25.625,"18",2,"0",0
"57",10000,6000,2000,2000,2000,2000,500,500,2000,2000,500,500,6000,42,55669,35,16,35,35,"0","0","0","0","0",0,"0",18,10,18,18,16,"0","0","0","0",10,"0","1362",0,"0","0",92,92,3374,"5","12","3","0","0","0","0","2","0","0","1","0",269.375,"13",2,"0",0
"58",24000,18000,26000,6000,5000,5000,3000,2000,6000,5000,2000,2000,9000,82,802286,0,0,0,0,"1","2","0","1","0",0,"0",0,0,0,0,20,"0","0","0","0",0,"0","48",0,"0","0",544,544,2849,"17","32","3","0","0","0","0","2","2","2","1","0",109.625,"26",7,"0",0
"59",3000,2000,500,500,2000,500,500,500,500,500,500,500,4300,48,108948,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","672",0,"0","0",16,0,2772,"16","251","2","0","0","0","0","0","0","0","1","0",32.625,"2",2,"0",0
"60",18000,16000,8000,6000,3000,3000,3000,3000,3000,2000,2000,2000,8300,110,870647,0,0,0,0,"1","2","0","0","0",0,"0",0,0,0,0,4,"0","0","0","0",0,"0","40",0,"0","0",0,0,1421,"6","32","2","0","0","0","0","0","0","0","0","0",142.625,"13",2,"0",0
"61",2000,2000,2000,500,500,500,500,500,3000,2000,2000,500,5600,60,331563,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","360",0,"0","0",81,81,2302,"31","64","3","0","0","0","0","2","0","2","1","0",293.125,"4",4,"0",0
"62",2000,3000,2000,2000,2000,500,500,500,500,500,500,500,6400,24,0,27,3,27,27,"0","0","0","0","0",0,"0",6,0,6,6,0,"0","0","0","0",3,"0","285",0,"0","0",0,0,3234,"42","180","2","0","0","0","0","0","0","0","0","0",129.375,"84",4,"0",0
"63",58000,15000,8000,3000,11000,5000,3000,2000,2000,3000,3000,3000,8400,144,1173440,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","30",0,"0","0",0,0,1680,"13","23","1","0","0","0","0","0","0","0","1","0",36.375,"10",0,"0",0
"64",2000,500,500,500,500,500,500,500,500,500,500,500,6400,4,0,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","739",0,"0","0",0,0,2807,"137","420","4","0","0","0","0","0","0","0","1","0",67.625,"15",2,"0",0
"65",18000,26000,11000,6000,8000,3000,2000,500,500,2000,2000,500,7800,43,697011,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"2","5",0,"0","0",0,0,1883,"3","5","3","0","0","0","0","2","2","2","1","0",239.375,"5",2,"0",0
"66",8000,5000,2000,500,3000,2000,2000,2000,500,500,500,500,7700,90,75621,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","217",0,"0","0",5,0,2065,"7","135","2","2","0","0","0","0","0","0","1","0",56.125,"41",0,"0",0
"67",11000,35000,23000,11000,8000,5000,3000,5000,5000,5000,3000,3000,8600,121,1399606,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,40,"2","0","0","0",0,"0","129",0,"0","0",0,0,1778,"42","79","7","0","0","0","0","0","0","0","1","0",134.375,"2",4,"0",0
"68",50000,13000,6000,6000,3000,2000,2000,2000,2000,3000,500,500,8900,44,907439,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"0","0","0","0",0,"0","127",0,"0","0",0,0,2618,"42","77","3","0","0","0","0","2","0","2","0","0",243.875,"5",2,"0",0
"69",10000,3000,2000,2000,500,500,2000,2000,2000,500,2000,2000,8600,95,395580,0,0,0,0,"1","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",0,"0","478",0,"0","0",0,0,2926,"45","290","7","0","0","0","0","0","0","0","0","0",186.625,"10",0,"0",0
"70",3000,2000,2000,3000,2000,500,500,500,500,500,500,500,7900,72,58648,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","7",0,"0","0",109,109,1715,"3","5","4","0","0","0","0","2","2","2","1","0",71.375,"6",4,"0",0
"71",5000,5000,2000,2000,2000,2000,500,2000,2000,2000,500,500,7500,87,1575180,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"3","0","0","0",0,"0","19",0,"0","2",0,0,1421,"5","10","2","0","0","0","0","0","0","0","1","0",142.625,"11",2,"0",0
"72",6000,6000,16000,5000,8000,6000,3000,2000,2000,500,500,500,7300,49,788296,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,4,"0","0","0","0",0,"0","49",0,"0","0",30,30,2100,"17","32","3","0","0","0","0","2","2","2","1","0",91.125,"4",4,"0",0
"73",3000,500,500,500,500,500,500,500,500,500,500,500,6400,26,150368,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","660",0,"0","0",4,4,2702,"53","176","4","0","0","0","0","0","0","0","0","0",327.875,"11",4,"0",0
"74",2000,3000,500,500,500,500,500,500,500,500,500,500,0,1,174848,0,0,0,0,"1","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","323",0,"0","0",0,0,2856,"53","176","3","0","0","0","0","0","0","0","0","0",116.625,"11",2,"0",0
"75",2000,500,500,500,500,500,500,500,500,500,500,500,6800,35,73049,4,1,4,4,"0","0","0","0","0",0,"0",4,1,4,4,0,"0","0","0","0",1,"0","1388",0,"0","0",0,0,3346,"16","304","4","0","0","0","0","0","0","0","1","0",241.375,"11",0,"0",0
"76",2000,2000,500,500,500,500,500,500,500,500,500,500,6200,7,0,3,0,3,3,"0","0","0","0","0",0,"0",0,0,0,0,0,"0","0","0","0",1,"0","69",0,"0","0",0,0,3241,"27","482","4","0","0","0","0","0","0","0","1","0",136.375,"32",4,"0",0
"77",11000,3000,2000,500,500,2000,2000,500,500,2000,2000,500,7800,77,466603,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,16,"0","0","1","0",0,"0","193",0,"0","0",0,0,2597,"60","98","1","0","0","0","0","0","0","0","1","0",222.875,"2",0,"0",0
"78",8000,5000,2000,500,500,500,2000,500,500,500,500,500,8000,67,275695,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","224",0,"0","0",0,23,2001,"2","141","1","0","0","0","0","0","0","0","0","0",357.375,"2",0,"0",0
"79",10000,8000,3000,2000,5000,3000,3000,2000,2000,2000,2000,2000,8300,90,372875,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,32,"0","0","1","0",0,"0","311",0,"0","0",0,0,2064,"42","82","2","0","0","0","0","0","0","0","1","0",55.125,"2",4,"0",0
"80",6000,2000,2000,3000,2000,2000,2000,500,500,500,500,500,8600,96,248407,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","225",0,"0","0",0,0,2807,"56","142","2","0","0","0","0","0","0","0","1","0",67.625,"13",0,"0",0
"81",15000,18000,6000,3000,3000,2000,2000,2000,2000,2000,2000,2000,8500,134,420774,0,0,0,0,"0","2","0","0","0",0,"0",0,0,0,0,16,"0","0","0","0",0,"0","172",0,"0","0",22,22,1458,"52","106","1","0","2","0","0","0","0","0","0","0",179.625,"18",4,"0",0
"82",2000,500,2000,2000,500,500,500,500,500,500,500,500,5000,71,50584,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,4,"2","0","0","0",0,"0","631",4,"0","0",4,4,2856,"120","373","1","0","0","0","0","0","0","0","0","0",116.625,"28",4,"0",0
"83",3000,500,500,500,500,500,500,500,500,500,500,500,7500,46,8412,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,4,"0","0","0","0",0,"0","348",0,"0","0",0,0,2226,"9","213","2","0","0","0","0","0","0","0","0","0",217.125,"49",4,"0",0
"84",2000,3000,500,500,500,500,500,500,500,500,500,500,5200,41,769,35,0,35,35,"0","0","0","0","0",0,"0",7,0,7,7,0,"0","0","0","0",24,"0","1125",0,"0","0",7,7,3229,"27","50","3","0","0","0","0","0","0","0","1","0",124.375,"17",2,"0",0
"85",3000,500,500,500,500,500,500,500,500,500,500,500,7800,76,14,11,5,11,11,"1","0","0","0","0",0,"0",7,2,7,7,0,"0","0","0","0",3,"0","637",0,"0","0",4,0,3360,"45","559","1","0","0","0","0","0","0","0","1","0",255.375,"11",0,"0",0
"86",2000,2000,500,500,500,500,500,500,500,500,500,500,4400,5,334360,1,0,1,1,"0","0","0","0","0",0,"0",0,0,0,0,0,"2","0","0","0",0,"0","1131",0,"0","0",2,2,3227,"53","129","4","0","0","0","0","0","0","0","0","0",122.375,"20",2,"0",0
"87",2000,500,500,500,500,500,500,500,500,500,500,500,4400,12,25831,2,0,2,2,"0","0","0","0","0",0,"0",2,0,2,2,0,"0","0","0","0",0,"0","377",0,"0","0",0,0,3255,"14","484","4","0","0","0","0","0","0","0","0","0",150.375,"34",8,"0",0
"88",3000,500,500,500,500,500,500,500,500,500,500,500,2900,37,233505,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","447",0,"0","2",0,0,2891,"1","252","1","0","0","0","0","0","0","0","0","0",151.625,"2",0,"0",0
"89",2000,500,2000,3000,500,2000,2000,2000,500,500,500,500,7200,60,47363,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,8,"0","0","0","0",0,"0","7",0,"0","0",109,109,2079,"3","5","4","0","0","0","0","2","2","2","1","0",70.125,"6",4,"0",0
"90",16000,11000,2000,2000,2000,2000,2000,2000,2000,500,500,500,7700,88,557614,0,0,0,0,"1","0","0","0","0",0,"0",0,0,0,0,4,"0","0","1","0",0,"0","446",0,"0","2",0,0,2499,"28","132","2","0","0","0","0","0","0","0","1","0",124.875,"23",0,"0",0
"91",2000,2000,500,500,500,500,500,500,500,500,500,500,7100,56,111812,0,0,0,0,"0","0","0","0","0",0,"0",0,0,0,0,2,"2","0","0","0",0,"0","559",0,"0","0",3,3,2607,"53","333","1","0","0","0","0","0","0","0","0","0",232.875,"2",0,"0",0
