"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_469","Cat_470","Quan_27","Day_Of_Year_1"
500,6800,30,2727,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,667,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,18.625
2000,5800,61,575483,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,28,2,11.0857142857143,0,0,0,0,0,0,0,0,323.375
6000,8800,100,561962,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,28,36,2,11.0857142857143,0,0,0,0,0,2,0,0,247.625
2000,8100,60,412632,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,32,50,4,11.0857142857143,0,0,2,0,0,0,0,0,232.375
2000,8500,88,643979,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,20,87,2,8,0,0,0,0,0,2,0,0,91.125
5000,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,30,39,2,11.0857142857143,2,2,2,2,0,0,0,0,134.375
2000,8100,127,29197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,75,125,2,11.0857142857143,0,2,0,0,0,2,0,0,323.625
500,5500,53,33,1,0,0,1,1,1,0,1,1,21,702,4,11.0857142857143,2,0,0,0,0,0,0,0,193.625
2000,7700,88,385016,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,38,380,2,11.0857142857143,0,0,0,0,0,2,0,0,336.125
500,4900,47,445190,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,120,192,2,11.0857142857143,0,0,0,0,0,0,0,0,134.375
5000,7900,101,1416697,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,89,139,2,11.0857142857143,0,0,0,0,0,2,0,0,287.125
3000,9200,124,752566,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,23,32,2,11.0857142857143,0,0,0,0,0,2,0,0,229.875
2000,7300,92,94900,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,113,495,3.25355450236967,8,0,0,0,2,0,0,0,0,243.875
500,5700,31,67012,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,434,4,11.0857142857143,2,0,0,0,0,0,0,0,5.875
3000,6900,30,1183119,53,4,32,53,53,13,1,13,13,32,1009,2,11.0857142857143,0,2,0,0,0,0,0,0,136.375
2000,6500,13,109982,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,50,69,4,11.0857142857143,0,0,0,0,0,0,0,0,154.125
2000,6800,95,38152,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,97,545,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,278.875
500,5800,30,195081,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,240,291,2,11.0857142857143,0,0,0,0,0,0,0,0,110.875
2000,6700,68,694809,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,366,622,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,192.375
2000,8000,85,233416,57,26,12,57,57,41,22,41,41,165,566,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,248.375
3000,7100,83,477063,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,10,19,2,11.0857142857143,0,0,0,0,0,0,0,0,104.125
2000,6600,97,405694,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,252,730,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,228.625
19000,8800,62,28203,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,32,52,4,11.0857142857143,2,2,2,0,0,0,0,0,68.875
3000,7400,116,850888,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,339,571,3.25355450236967,11.0857142857143,0,0,0,0,0,2,0,0,52.375
3000,9100,88,262738,13,3,1,13,13,7,2,7,7,23,32,2,11.0857142857143,0,0,0,0,0,0,0,0,298.625
500,6000,25,366857,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,394,680,4,11.0857142857143,0,0,0,0,0,0,0,0,109.625
2000,6500,18,642619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,107,174,2,11.0857142857143,0,0,0,0,0,0,0,0,112.375
2000,7600,47,300522,22,13,0,22,22,17,10,17,17,641,203,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,100.125
500,5400,7,440417.6367713,1,1,0,1,1,1,1,1,1,670,1375,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,100.125
2000,5600,28,29,4,1,0,4,4,4,1,4,4,408,1536,2,11.0857142857143,0,0,0,0,0,0,0,0,114.125
500,7900,37,440417.6367713,5,0,0,5,5,3,0,3,3,23,32,2,11.0857142857143,0,0,0,0,0,0,0,0,360.375
500,4700,92,90054,23,14,0,23,23,7,3,7,7,136,218,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,16.125
5000,7300,57,469247,16,6,2,16,16,14,6,14,14,51,497,4,11.0857142857143,0,0,0,0,0,0,0,0,142.125
2000,5000,52,14073,11,3,4,11,11,9,3,9,9,234,20,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,86.125
5000,8000,44,985658,69,31,9,69,69,46,23,46,46,114,206,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,135.125
3000,6400,39,1759054,187,14,132,187,187,39,10,39,39,114,1138,4,11.0857142857143,0,0,0,0,0,0,0,0,283.375
NA,6000,31,53952,0,0,0,0,0,0,0,0,0,116,1539,2,11.0857142857143,0,0,0,0,0,0,0,0,156.125
500,7000,76,7696,33,3,3,33,33,25,3,25,25,79,278,4,11.0857142857143,0,0,0,0,0,0,0,0,107.125
500,6900,87,16594,6,2,1,6,6,6,2,6,6,142,543,3.25355450236967,4,0,0,0,0,0,0,0,0,339.375
2000,7300,63,97852,39,12,12,39,39,30,11,30,30,542,1397,2,11.0857142857143,0,0,0,0,0,0,0,0,311.375
500,4600,6,440417.6367713,1,0,0,1,1,1,0,1,1,709,1473,4,11.0857142857143,0,0,0,0,0,0,0,0,142.125
500,6987.22826086957,2,235853,5,2,1,5,5,5,2,5,5,486,898,2,11.0857142857143,0,0,0,0,0,0,0,0,121.125
3000,8700,132,862604,126,63,20,126,126,83,46,83,83,386,656,3.25355450236967,11.0857142857143,0,2,0,0,0,0,0,0,318.375
3000,8000,87,5758,18,7,5,18,18,12,3,12,12,86,640,2,11.0857142857143,0,0,0,0,0,0,0,0,65.125
500,8200,49,1602,7,5,0,7,7,4,2,4,4,714,1483,2,11.0857142857143,0,0,0,0,0,0,0,0,23.125
500,6300,65,47075,4,2,0,4,4,2,2,2,2,183,1366,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,16.125
2000,6300,60,127967,17,7,6,17,17,13,7,13,13,107,264,2,11.0857142857143,0,0,0,0,0,0,0,0,311.375
2000,8700,84,28006,15,3,7,15,15,11,3,11,11,142,225,2,8,0,0,0,0,0,0,0,0,325.375
500,6100,53,18465,17,8,2,17,17,12,6,12,12,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,93.125
NA,6300,40,53952,0,0,0,0,0,0,0,0,0,116,1539,2,11.0857142857143,0,0,0,0,0,0,0,0,156.125
8000,9400,102,1139542,106,43,13,106,106,72,31,72,72,336,565,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,107.125
3000,8700,46,284933,11,4,2,11,11,9,3,9,9,308,470,4,11.0857142857143,0,0,0,0,0,0,0,0,135.125
2000,7100,96,6532,11,5,0,11,11,6,4,6,6,399,693,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
500,7800,19,440417.6367713,1,1,0,1,1,1,1,1,1,449,833,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,107.125
3000,8600,16,635758,11,5,2,11,11,6,3,6,6,308,1490,2,11.0857142857143,0,0,0,0,0,0,0,0,107.125
2000,7000,76,309164,41,16,5,41,41,34,16,34,34,423,753,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,311.375
500,5900,82,33837,13,3,0,13,13,8,3,8,8,232,305,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
8000,8100,79,23277,22,6,2,22,22,17,5,17,17,706,243,2,16,0,0,0,0,0,0,0,0,135.125
500,7000,44,65248,4,2,0,4,4,4,2,4,4,362,30,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,100.125
2000,7700,36,241220,18,1,5,18,18,12,1,12,12,542,763,2,11.0857142857143,0,0,0,0,0,0,0,0,131.125
13000,9300,33,1729826,66,30,2,66,66,41,20,41,41,1,1,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,131.125
2000,9400,97,169441,64,29,11,64,64,47,27,47,47,553,273,2,11.0857142857143,0,0,0,0,0,0,0,0,290.375
5000,5700,78,167598,4,1,0,4,4,2,1,2,2,658,1347,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,65.125
2000,8900,111,105605,38,22,2,38,38,24,13,24,24,370,628,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,51.125
2000,6300,23,39964,8,2,2,8,8,4,2,4,4,722,1503,2,11.0857142857143,0,0,0,0,0,0,0,0,30.125
500,4700,10,440417.6367713,0,0,0,0,0,0,0,0,0,50,1130,3,11.0857142857143,0,0,0,0,0,0,0,0,121.125
500,7000,91,93023,25,9,0,25,25,15,5,15,15,345,1105,2,11.0857142857143,0,0,0,0,0,0,0,0,353.375
2000,3500,3,135717,7,2,0,7,7,2,1,2,2,545,1543,2,11.0857142857143,0,0,0,0,0,0,0,0,93.125
500,7400,64,9596,1,0,0,1,1,1,0,1,1,586,1084,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,44.125
500,6300,13,440417.6367713,4,0,1,4,4,2,0,2,2,700,1515,2,11.0857142857143,0,0,0,0,0,0,0,0,107.125
500,4900,25,23286,14,2,1,14,14,5,2,5,5,403,371,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,325.375
5000,8200,28,171279,102,27,53,102,102,37,21,37,37,30,51,4,11.0857142857143,2,2,2,0,0,0,0,0,11.125
5000,7800,53,440417.6367713,4,2,0,4,4,3,1,3,3,583,199,7,11.0857142857143,2,0,2,0,0,0,0,0,86.125
23000,9500,105,1729826,62,28,2,62,62,41,20,41,41,1,1,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,131.125
2000,8000,32,346384,14,1,2,14,14,11,1,11,11,206,1083,2,11.0857142857143,0,0,0,0,0,0,0,0,100.125
2000,7400,80,132449,33,17,4,33,33,19,10,19,19,236,193,2,11.0857142857143,0,0,0,0,0,0,0,0,353.375
NA,8300,3,275,13,8,1,13,13,13,8,13,13,67,432,2,11.0857142857143,0,0,0,0,0,0,0,0,212.125
2000,7200,76,44828,19,10,3,19,19,15,8,15,15,111,686,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,65.125
3000,7700,22,621939,39,7,8,39,39,23,7,23,23,265,1471,2,11.0857142857143,0,0,0,0,0,0,0,0,105.125
500,4900,116,382119,68,32,12,68,68,42,21,42,42,254,535,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
5000,7800,73,17777,10,1,0,10,10,8,1,8,8,272,1466,2,11.0857142857143,0,0,0,0,0,0,0,0,72.125
5000,8000,43,621939,41,8,9,41,41,25,8,25,25,265,1471,2,11.0857142857143,0,0,0,0,0,0,0,0,105.125
3000,9400,112,169441,58,27,11,58,58,44,25,44,44,553,273,2,2,0,0,0,0,0,0,0,0,290.375
500,7600,63,9596,1,0,0,1,1,1,0,1,1,586,1084,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,44.125
3000,8100,69,671633,50,36,4,50,50,30,25,30,30,13,623,2,11.0857142857143,0,0,0,0,0,0,0,0,93.125
2000,5400,25,489,7,3,1,7,7,5,3,5,5,540,1004,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,360.375
2000,7400,72,97852,41,13,9,41,41,28,12,28,28,542,1397,2,11.0857142857143,0,0,0,0,0,0,0,0,311.375
2000,8400,77,5293,1,1,0,1,1,1,1,1,1,142,1010,2,11.0857142857143,2,0,0,0,0,0,0,0,79.125
2000,8300,107,3247,28,6,4,28,28,12,4,12,12,72,1132,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
56000,7800,49,1043453,97,45,14,97,97,66,34,66,66,30,39,6,11.0857142857143,2,2,2,0,0,0,0,0,58.125
3000,8800,60,284933,12,4,2,12,12,10,3,10,10,308,470,4,11.0857142857143,0,0,0,0,0,0,0,0,135.125
10000,8300,80,987149,41,15,4,41,41,24,11,24,24,109,176,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,135.125
2000,7700,53,467004,13,6,1,13,13,9,4,9,9,100,156,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,121.125
6000,8000,86,985658,63,30,8,63,63,45,22,45,45,114,206,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,135.125
19000,8900,51,357567,51,21,12,51,51,31,16,31,31,4,6,4,11.0857142857143,2,0,2,0,0,0,0,0,93.125
NA,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,0,0,0,0,252,1133,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,212.125
2000,6600,35,444809,20,1,7,20,20,12,1,12,12,21,1540,4,11.0857142857143,0,0,0,0,0,0,0,0,114.125
5000,6400,50,597696,28,15,6,28,28,23,13,23,23,733,40,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,135.125
500,7000,87,93023,26,9,0,26,26,16,5,16,16,345,1105,2,11.0857142857143,0,0,0,0,0,0,0,0,353.375
2000,6800,115,309164,42,18,5,42,42,35,17,35,35,423,753,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,311.375
2000,6100,57,10916,3,1,0,3,3,3,1,3,3,348,590,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,72.125
500,6400,13,1759054,50,11,11,50,50,25,7,25,25,114,1138,4,11.0857142857143,0,0,0,0,0,0,0,0,283.375
2000,4700,70,14073,12,3,4,12,12,9,3,9,9,234,20,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,86.125
500,7700,101,5935,39,4,6,39,39,10,3,10,10,78,128,4,11.0857142857143,0,0,0,0,0,2,0,0,304.375
500,7200,108,81138,28,12,3,28,28,21,11,21,21,109,582,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,339.375
3000,7200,30,469247,14,6,2,14,14,13,6,13,13,51,497,4,11.0857142857143,0,0,0,0,0,0,0,0,142.125
500,4600,38,6661,9,3,0,9,9,6,2,6,6,243,244,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,9.125
500,7500,54,18582,3,0,0,3,3,2,0,2,2,742,1542,4,11.0857142857143,0,0,0,0,0,0,0,0,114.125
500,3000,7,23286,2,2,0,2,2,2,2,2,2,403,371,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,325.375
500,5100,86,382119,66,32,9,66,66,42,21,42,42,254,535,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
29000,8700,44,4692569,143,68,7,143,143,100,45,100,100,551,11,4,18,0,0,0,0,0,0,0,0,128.125
500,6000,12,216245,11,3,3,11,11,8,3,8,8,251,1230,2,11.0857142857143,0,0,0,0,0,0,0,0,339.375
500,4400,42,6661,12,3,1,12,12,6,2,6,6,243,244,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,9.125
27000,9000,64,233160,27,14,6,27,27,19,13,19,19,32,48,7,11.0857142857143,2,2,2,0,0,0,0,0,86.125
3000,8300,125,58238,196,24,123,196,196,171,14,171,171,323,536,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,339.375
500,6200,20,8229,2,1,0,2,2,2,1,2,2,21,1470,4,11.0857142857143,0,0,0,0,0,0,0,0,283.375
2000,7500,97,132449,36,19,5,36,36,21,11,21,21,236,193,2,11.0857142857143,0,0,0,0,0,0,0,0,353.375
15000,7200,75,225894,36,13,3,36,36,21,11,21,21,136,533,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,65.125
500,7800,23,440417.6367713,2,1,0,2,2,2,1,2,2,300,644,2,11.0857142857143,0,0,0,0,0,0,0,0,142.125
500,7200,92,81138,27,11,4,27,27,20,10,20,20,109,582,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,339.375
15000,8500,41,1480378,101,58,8,101,101,57,35,57,57,35,46,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,114.125
500,5800,61,18465,16,8,2,16,16,12,6,12,12,131,18,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,93.125
2000,7100,63,65248,2,2,0,2,2,2,2,2,2,362,30,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,100.125
500,7100,73,440417.6367713,2,1,0,2,2,2,1,2,2,300,644,2,11.0857142857143,0,0,0,0,0,0,0,0,142.125
2000,7000,89,6532,11,5,0,11,11,6,4,6,6,399,693,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
6000,8300,37,171279,131,28,79,131,131,103,22,103,103,30,51,4,11.0857142857143,2,2,2,0,0,0,0,0,11.125
NA,6987.22826086957,62.2247644683715,275,17,10,1,17,17,17,10,17,17,67,432,2,11.0857142857143,0,0,0,0,0,0,0,0,212.125
21000,8400,64,1480378,95,50,10,95,95,56,29,56,56,35,46,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,114.125
2000,8700,114,28006,11,3,3,11,11,9,3,9,9,142,225,2,8,0,0,0,0,0,0,0,0,325.375
500,6800,58,15055,2,1,0,2,2,1,0,1,1,329,34,2,11.0857142857143,0,0,0,0,0,0,0,0,2.125
500,5200,9,2,3,0,0,3,3,1,0,1,1,270,854,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,346.375
6000,8600,85,243024,91,36,21,91,91,66,33,66,66,185,104,4,11.0857142857143,0,0,0,0,0,0,0,0,290.375
500,5200,81,670,1,0,0,1,1,1,0,1,1,541,1008,3.25355450236967,11.0857142857143,0,0,0,0,0,0,0,0,58.125
500,8100,56,1602,12,5,0,12,12,4,2,4,4,714,1483,2,11.0857142857143,0,0,0,0,0,0,0,0,23.125
