"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Quan_18","Quant_24","Quant_25","Quan_27","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_359_0","Cat_359_2"
5000,8000,91,883301,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,16,46,46,0,0,1,1,0,1,0,1,0,1,0
2000,8500,122,1178524,124,27,34,124,124,54,54,54,11.0857142857143,53.1466275659824,55.7813504823151,0,0,1,1,0,0,1,1,0,1,0
500,4300,22,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,10,10,0,0,1,1,0,1,0,1,0,1,0
500,7400,40,49009,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,250,250,0,1,0,1,0,1,0,1,0,1,0
3000,6800,69,503559,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,36,36,0,1,0,1,0,1,0,1,0,1,0
500,5500,10,1275,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,64,64,0,1,0,1,0,1,0,1,0,1,0
500,7700,103,90686,31,8,14,31,31,19,19,19,11.0857142857143,4,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5400,23,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
8000,8900,142,1394197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,0,1,1,0,0,1,1,0,1,0
500,5200,21,308925,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,6400,35,204611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,25,25,0,1,0,1,0,1,0,1,0,1,0
500,6900,71,17619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,7,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,8200,107,689611,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,33,33,0,0,1,1,0,0,1,1,0,1,0
2000,6100,54,365492,26,5,17,26,26,9,9,9,11.0857142857143,2,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,5600,91,761,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,22,22,0,1,0,1,0,1,0,1,0,1,0
500,5300,5,72774,2,1,0,2,2,2,2,2,11.0857142857143,18,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7500,78,23013,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,4,24,24,0,1,0,1,0,1,0,1,0,1,0
19000,9300,120,1808023,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,24,53.1466275659824,55.7813504823151,0,0,1,0,1,0,1,1,0,1,0
500,3800,57,440417.6367713,36,7,5,36,36,9,9,9,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7100,21,65693,69,17,34,69,69,55,55,55,11.0857142857143,34,34,0,1,0,1,0,1,0,1,0,1,0
500,5900,69,641442,17,2,8,17,17,10,10,10,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7900,32,58648,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,109,109,0,1,0,1,0,1,0,1,0,1,0
500,8000,74,682260,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,7900,109,669770,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,0,1,1,0,0,1,1,0,1,0
500,6800,30,2727,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5800,61,575483,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,44,44,0,1,0,1,0,1,0,1,0,1,0
2000,8800,100,561962,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,72,72,0,0,1,1,0,1,0,1,0,1,0
500,8100,60,412632,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,18,18,0,1,0,1,0,1,0,1,0,1,0
500,8500,88,643979,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,8,112,112,0,0,1,1,0,1,0,1,0,1,0
500,7600,40,1951543,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,32,32,0,1,0,1,0,1,0,1,0,1,0
2000,8100,127,29197,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,11,11,0,0,1,1,0,1,0,1,0,1,0
500,5500,53,33,1,0,0,1,1,1,1,1,11.0857142857143,24,24,0,1,0,1,0,1,0,1,0,1,0
500,7700,88,385016,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,60,60,0,0,1,1,0,1,0,1,0,1,0
500,4900,47,445190,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,4,0,1,0,1,0,1,0,1,0,1,0
6000,7900,101,1416697,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,76,76,0,0,1,1,0,1,0,1,0,1,0
2000,9200,124,752566,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,19,19,0,0,1,1,0,0,1,1,0,1,0
2000,7300,92,94900,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,8,55,55,0,1,0,1,0,1,0,1,0,1,0
500,5700,31,67012,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,6900,30,1183119,53,4,32,53,53,13,13,13,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
500,6500,13,109982,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,6800,95,38152,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5800,30,195081,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,2,2,0,1,0,1,0,1,0,1,0,1,0
2000,6700,68,694809,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,6,0,1,0,1,0,0,1,1,0,1,0
500,8000,85,233416,57,26,12,57,57,41,41,41,11.0857142857143,8,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,7100,83,477063,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,30,30,0,1,0,1,0,1,0,1,0,1,0
500,6600,97,405694,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,3,22,0,1,0,1,0,0,1,1,0,1,0
3000,8800,62,28203,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,30,30,0,1,0,1,0,1,0,1,0,1,0
2000,7400,116,850888,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,55.7813504823151,0,0,1,1,0,0,1,1,0,0,1
3000,9100,88,262738,13,3,1,13,13,7,7,7,11.0857142857143,35,35,0,1,0,1,0,1,0,1,0,1,0
500,6000,25,366857,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,53.1466275659824,17,0,1,0,1,0,1,0,1,0,1,0
500,6500,18,642619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11.0857142857143,20,20,0,1,0,1,0,1,0,1,0,1,0
NA,7600,47,300522,22,13,0,22,22,17,17,17,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,5400,7,440417.6367713,1,1,0,1,1,1,1,1,11.0857142857143,2,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,5600,28,29,4,1,0,4,4,4,4,4,11.0857142857143,44,44,0,1,0,1,0,0,1,1,0,1,0
2000,7900,37,440417.6367713,5,0,0,5,5,3,3,3,11.0857142857143,39,39,0,1,0,1,0,1,0,1,0,1,0
NA,4700,92,90054,23,14,0,23,23,7,7,7,11.0857142857143,3,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7300,57,469247,16,6,2,16,16,14,14,14,11.0857142857143,63,63,0,1,0,1,0,1,0,1,0,1,0
NA,5000,52,14073,11,3,4,11,11,9,9,9,11.0857142857143,3,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8000,44,985658,69,31,9,69,69,46,46,46,11.0857142857143,53.1466275659824,9,0,1,0,1,0,0,1,1,0,1,0
15000,6400,39,1759054,187,14,132,187,187,39,39,39,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,6000,31,53952,0,0,0,0,0,0,0,0,11.0857142857143,53.1466275659824,6,0,1,0,1,0,1,0,1,0,1,0
NA,7000,76,7696,33,3,3,33,33,25,25,25,11.0857142857143,4,4,0,1,0,1,0,1,0,1,0,1,0
500,6900,87,16594,6,2,1,6,6,6,6,6,4,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
3000,7300,63,97852,39,12,12,39,39,30,30,30,11.0857142857143,90,90,0,1,0,1,0,1,0,1,0,1,0
NA,4600,6,440417.6367713,1,0,0,1,1,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6987.22826086957,2,235853,5,2,1,5,5,5,5,5,11.0857142857143,8,8,0,1,0,1,0,1,0,1,0,1,0
2000,8700,132,862604,126,63,20,126,126,83,83,83,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8000,87,5758,18,7,5,18,18,12,12,12,11.0857142857143,140,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8200,49,1602,7,5,0,7,7,4,4,4,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,6300,65,47075,4,2,0,4,4,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,6300,60,127967,17,7,6,17,17,13,13,13,11.0857142857143,10,10,0,1,0,1,0,1,0,1,0,1,0
500,8700,84,28006,15,3,7,15,15,11,11,11,8,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,6100,53,18465,17,8,2,17,17,12,12,12,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6300,40,53952,0,0,0,0,0,0,0,0,11.0857142857143,53.1466275659824,6,0,1,0,1,0,1,0,1,0,1,0
NA,9400,102,1139542,106,43,13,106,106,72,72,72,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8700,46,284933,11,4,2,11,11,9,9,9,11.0857142857143,4,4,0,1,0,1,0,0,1,1,0,1,0
500,7100,96,6532,11,5,0,11,11,6,6,6,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7800,19,440417.6367713,1,1,0,1,1,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8600,16,635758,11,5,2,11,11,6,6,6,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7000,76,309164,41,16,5,41,41,34,34,34,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5900,82,33837,13,3,0,13,13,8,8,8,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8100,79,23277,22,6,2,22,22,17,17,17,16,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7000,44,65248,4,2,0,4,4,4,4,4,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7700,36,241220,18,1,5,18,18,12,12,12,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,9300,33,1729826,66,30,2,66,66,41,41,41,11.0857142857143,20,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
3000,9400,97,169441,64,29,11,64,64,47,47,47,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,5700,78,167598,4,1,0,4,4,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8900,111,105605,38,22,2,38,38,24,24,24,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,6300,23,39964,8,2,2,8,8,4,4,4,11.0857142857143,8,8,0,1,0,1,0,1,0,1,0,1,0
NA,4700,10,440417.6367713,0,0,0,0,0,0,0,0,11.0857142857143,9,9,0,1,0,1,0,0,1,1,0,1,0
500,7000,91,93023,25,9,0,25,25,15,15,15,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,3500,3,135717,7,2,0,7,7,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7400,64,9596,1,0,0,1,1,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6300,13,440417.6367713,4,0,1,4,4,2,2,2,11.0857142857143,10,10,0,1,0,1,0,1,0,1,0,1,0
500,4900,25,23286,14,2,1,14,14,5,5,5,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8200,28,171279,102,27,53,102,102,37,37,37,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7800,53,440417.6367713,4,2,0,4,4,3,3,3,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,9500,105,1729826,62,28,2,62,62,41,41,41,11.0857142857143,20,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8000,32,346384,14,1,2,14,14,11,11,11,11.0857142857143,53.1466275659824,2,0,1,0,1,0,1,0,1,0,1,0
2000,7400,80,132449,33,17,4,33,33,19,19,19,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8300,3,275,13,8,1,13,13,13,13,13,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,7200,76,44828,19,10,3,19,19,15,15,15,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,7700,22,621939,39,7,8,39,39,23,23,23,11.0857142857143,33,33,0,1,0,1,0,0,1,1,0,1,0
2000,4900,116,382119,68,32,12,68,68,42,42,42,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,0,1,0,1
NA,7800,73,17777,10,1,0,10,10,8,8,8,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8000,43,621939,41,8,9,41,41,25,25,25,11.0857142857143,33,33,0,1,0,1,0,0,1,1,0,1,0
6000,9400,112,169441,58,27,11,58,58,44,44,44,2,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7600,63,9596,1,0,0,1,1,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8100,69,671633,50,36,4,50,50,30,30,30,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5400,25,489,7,3,1,7,7,5,5,5,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
3000,7400,72,97852,41,13,9,41,41,28,28,28,11.0857142857143,90,90,0,1,0,1,0,1,0,1,0,1,0
NA,8400,77,5293,1,1,0,1,1,1,1,1,11.0857142857143,24,24,0,1,0,1,0,1,0,1,0,1,0
500,8300,107,3247,28,6,4,28,28,12,12,12,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7800,49,1043453,97,45,14,97,97,66,66,66,11.0857142857143,32,32,0,1,0,1,0,0,1,1,0,1,0
NA,8800,60,284933,12,4,2,12,12,10,10,10,11.0857142857143,4,4,0,1,0,1,0,0,1,1,0,1,0
NA,8300,80,987149,41,15,4,41,41,24,24,24,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,7700,53,467004,13,6,1,13,13,9,9,9,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8000,86,985658,63,30,8,63,63,45,45,45,11.0857142857143,53.1466275659824,9,0,1,0,1,0,0,1,1,0,1,0
NA,8900,51,357567,51,21,12,51,51,31,31,31,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,0,0,0,11.0857142857143,53.1466275659824,4,0,1,0,1,0,1,0,1,0,1,0
NA,6600,35,444809,20,1,7,20,20,12,12,12,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6400,50,597696,28,15,6,28,28,23,23,23,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7000,87,93023,26,9,0,26,26,16,16,16,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,6800,115,309164,42,18,5,42,42,35,35,35,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6100,57,10916,3,1,0,3,3,3,3,3,11.0857142857143,8,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,6400,13,1759054,50,11,11,50,50,25,25,25,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,4700,70,14073,12,3,4,12,12,9,9,9,11.0857142857143,3,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,7700,101,5935,39,4,6,39,39,10,10,10,11.0857142857143,33,66,0,0,1,1,0,1,0,1,0,1,0
500,7200,108,81138,28,12,3,28,28,21,21,21,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7200,30,469247,14,6,2,14,14,13,13,13,11.0857142857143,63,63,0,1,0,1,0,1,0,1,0,1,0
NA,4600,38,6661,9,3,0,9,9,6,6,6,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7500,54,18582,3,0,0,3,3,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,3000,7,23286,2,2,0,2,2,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5100,86,382119,66,32,9,66,66,42,42,42,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,0,1,0,1
NA,8700,44,4692569,143,68,7,143,143,100,100,100,18,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
500,6000,12,216245,11,3,3,11,11,8,8,8,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,4400,42,6661,12,3,1,12,12,6,6,6,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,9000,64,233160,27,14,6,27,27,19,19,19,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
2000,8300,125,58238,196,24,123,196,196,171,171,171,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
500,6200,20,8229,2,1,0,2,2,2,2,2,11.0857142857143,4,4,0,1,0,1,0,1,0,1,0,1,0
2000,7500,97,132449,36,19,5,36,36,21,21,21,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,7200,75,225894,36,13,3,36,36,21,21,21,11.0857142857143,4,4,0,1,0,1,0,1,0,1,0,1,0
NA,7800,23,440417.6367713,2,1,0,2,2,2,2,2,11.0857142857143,33,33,0,1,0,1,0,0,1,1,0,1,0
500,7200,92,81138,27,11,4,27,27,20,20,20,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8500,41,1480378,101,58,8,101,101,57,57,57,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,5800,61,18465,16,8,2,16,16,12,12,12,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7100,63,65248,2,2,0,2,2,2,2,2,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,7100,73,440417.6367713,2,1,0,2,2,2,2,2,11.0857142857143,33,33,0,1,0,1,0,1,0,1,0,1,0
500,7000,89,6532,11,5,0,11,11,6,6,6,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,8300,37,171279,131,28,79,131,131,103,103,103,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
NA,6987.22826086957,62.2247644683715,275,17,10,1,17,17,17,17,17,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
NA,8400,64,1480378,95,50,10,95,95,56,56,56,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
500,8700,114,28006,11,3,3,11,11,9,9,9,8,43,43,0,1,0,1,0,0,1,1,0,1,0
NA,6800,58,15055,2,1,0,2,2,1,1,1,11.0857142857143,53.1466275659824,55.7813504823151,0,1,0,1,0,1,0,1,0,1,0
500,5200,9,2,3,0,0,3,3,1,1,1,11.0857142857143,15,55.7813504823151,0,1,0,1,0,0,1,1,0,1,0
5000,8600,85,243024,91,36,21,91,91,66,66,66,11.0857142857143,27,27,0,1,0,1,0,0,1,1,0,1,0
