"Outcome_M3","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_16","Quan_18","Cat_210","Cat_216","Cat_349","Quant_24","Quant_25","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
2000,2345,7700,88,385016,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,38,380,9.45927601809955,11.0857142857143,0,0,0,60,60,0,2,0,0,0,0,336.125
2000,1778,4900,47,445190,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,120,192,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,4,0,0,0,0,0,0,134.375
8000,2296,7900,101,1416697,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,89,139,16,11.0857142857143,0,0,0,76,76,0,2,0,0,0,0,287.125
3000,2604,9200,124,752566,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,23,32,2,11.0857142857143,0,0,0,19,19,1,2,0,1,0,0,229.875
3000,2618,7300,92,94900,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,113,495,8,8,0,0,0,55,55,0,0,0,0,0,0,243.875
2000,2380,5700,31,67012,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,21,434,8,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,5.875
5000,3241,6900,30,1183119,53,4,32,53,53,13,1,13,13,32,1009,9.45927601809955,11.0857142857143,2,0,0,53.1466275659824,55.7813504823151,0,0,0,1,0,0,136.375
2000,2163,6500,13,109982,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,50,69,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,154.125
2000,2653,6800,95,38152,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,97,545,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,278.875
500,2485,5800,30,195081,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,240,291,9.45927601809955,11.0857142857143,0,0,0,2,2,0,0,0,0,0,0,110.875
3000,3297,6700,68,694809,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,366,622,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,6,1,0,0,1,0,0,192.375
2000,3353,8000,85,233416,57,26,12,57,57,41,22,41,41,165,566,9.45927601809955,11.0857142857143,0,0,0,8,55.7813504823151,1,0,0,0,0,0,248.375
11000,2113,7100,83,477063,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,10,19,8,11.0857142857143,0,0,0,30,30,0,0,0,0,0,0,104.125
2000,2968,6600,97,405694,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,252,730,18,11.0857142857143,0,0,0,3,22,1,0,0,1,1,0,228.625
5000,2443,8800,62,28203,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,32,52,12,11.0857142857143,2,2,0,30,30,0,0,0,0,0,0,68.875
2000,3157,7400,116,850888,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,339,571,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,2,0,1,1,0,52.375
6000,3038,9100,88,262738,13,3,1,13,13,7,2,7,7,23,32,8,11.0857142857143,0,0,0,35,35,0,0,0,0,0,0,298.625
2000,2849,6000,25,366857,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,394,680,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,17,0,0,0,0,0,0,109.625
2000,1756,6500,18,642619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,107,174,9.45927601809955,11.0857142857143,0,0,0,20,20,0,0,0,0,0,0,112.375
3000,3570,7600,47,300522,22,13,0,22,22,17,10,17,17,641,203,16,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,1,0,100.125
500,3570,5400,7,440417.6367713,1,1,0,1,1,1,1,1,1,670,1375,9.45927601809955,11.0857142857143,0,0,0,2,55.7813504823151,0,0,0,0,0,0,100.125
6000,3584,5600,28,29,4,1,0,4,4,4,1,4,4,408,1536,8,11.0857142857143,0,0,0,44,44,1,0,0,1,0,0,114.125
2000,3465,7900,37,440417.6367713,5,0,0,5,5,3,0,3,3,23,32,8,11.0857142857143,0,0,0,39,39,0,0,0,0,0,0,360.375
500,3486,4700,92,90054,23,14,0,23,23,7,3,7,7,136,218,12,11.0857142857143,0,0,0,3,55.7813504823151,0,0,0,0,0,0,16.125
5000,3612,7300,57,469247,16,6,2,16,16,14,6,14,14,51,497,12,11.0857142857143,0,0,0,63,63,1,0,0,0,0,0,142.125
2000,3556,5000,52,14073,11,3,4,11,11,9,3,9,9,234,20,9.45927601809955,11.0857142857143,0,0,0,3,55.7813504823151,0,0,0,0,0,0,86.125
10000,3605,8000,44,985658,69,31,9,69,69,46,23,46,46,114,206,8,11.0857142857143,0,0,0,53.1466275659824,9,1,0,0,1,0,0,135.125
5000,3388,6400,39,1759054,187,14,132,187,187,39,10,39,39,114,1138,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,283.375
NA,3626,6000,31,53952,0,0,0,0,0,0,0,0,0,116,1539,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,6,0,0,0,0,0,0,156.125
8000,3577,7000,76,7696,33,3,3,33,33,25,3,25,25,79,278,4,11.0857142857143,0,0,0,4,4,1,0,0,0,0,0,107.125
2000,3444,6900,87,16594,6,2,1,6,6,6,2,6,6,142,543,4,4,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,339.375
2000,3416,7300,63,97852,39,12,12,39,39,30,11,30,30,542,1397,9.45927601809955,11.0857142857143,0,0,0,90,90,0,0,0,0,0,0,311.375
500,3612,4600,6,440417.6367713,1,0,0,1,1,1,0,1,1,709,1473,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,142.125
500,3591,6987.22826086957,2,235853,5,2,1,5,5,5,2,5,5,486,898,9.45927601809955,11.0857142857143,0,0,0,8,8,0,0,0,0,0,0,121.125
6000,3423,8700,132,862604,126,63,20,126,126,83,46,83,83,386,656,9.45927601809955,11.0857142857143,2,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,318.375
3000,3535,8000,87,5758,18,7,5,18,18,12,3,12,12,86,640,8,11.0857142857143,0,0,0,140,55.7813504823151,1,0,0,1,0,0,65.125
500,3493,8200,49,1602,7,5,0,7,7,4,2,4,4,714,1483,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,23.125
500,3486,6300,65,47075,4,2,0,4,4,2,2,2,2,183,1366,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,16.125
2000,3416,6300,60,127967,17,7,6,17,17,13,7,13,13,107,264,12,11.0857142857143,0,0,0,10,10,0,0,0,0,0,0,311.375
2000,3430,8700,84,28006,15,3,7,15,15,11,3,11,11,142,225,8,8,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,325.375
3000,3563,6100,53,18465,17,8,2,17,17,12,6,12,12,131,18,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,93.125
NA,3626,6300,40,53952,0,0,0,0,0,0,0,0,0,116,1539,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,6,0,0,0,0,0,0,156.125
71000,3577,9400,102,1139542,106,43,13,106,106,72,31,72,72,336,565,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,107.125
3000,3605,8700,46,284933,11,4,2,11,11,9,3,9,9,308,470,9.45927601809955,11.0857142857143,0,0,0,4,4,1,0,0,1,1,0,135.125
2000,3451,7100,96,6532,11,5,0,11,11,6,4,6,6,399,693,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,346.375
2000,3577,7800,19,440417.6367713,1,1,0,1,1,1,1,1,1,449,833,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,107.125
15000,3577,8600,16,635758,11,5,2,11,11,6,3,6,6,308,1490,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,107.125
2000,3416,7000,76,309164,41,16,5,41,41,34,16,34,34,423,753,16,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,311.375
2000,3451,5900,82,33837,13,3,0,13,13,8,3,8,8,232,305,10,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,346.375
11000,3605,8100,79,23277,22,6,2,22,22,17,5,17,17,706,243,16,16,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,135.125
2000,3570,7000,44,65248,4,2,0,4,4,4,2,4,4,362,30,2,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,100.125
2000,3601,7700,36,241220,18,1,5,18,18,12,1,12,12,542,763,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,131.125
16000,3601,9300,33,1729826,66,30,2,66,66,41,20,41,41,1,1,9.45927601809955,11.0857142857143,0,0,0,20,55.7813504823151,1,0,0,1,0,0,131.125
6000,3395,9400,97,169441,64,29,11,64,64,47,27,47,47,553,273,2,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,290.375
2000,3535,5700,78,167598,4,1,0,4,4,2,1,2,2,658,1347,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,65.125
2000,3521,8900,111,105605,38,22,2,38,38,24,13,24,24,370,628,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,51.125
500,3500,6300,23,39964,8,2,2,8,8,4,2,4,4,722,1503,9.45927601809955,11.0857142857143,0,0,0,8,8,0,0,0,0,0,0,30.125
500,3591,4700,10,440417.6367713,0,0,0,0,0,0,0,0,0,50,1130,3,11.0857142857143,0,0,0,9,9,1,0,0,1,0,0,121.125
2000,3458,7000,91,93023,25,9,0,25,25,15,5,15,15,345,1105,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,353.375
500,3563,3500,3,135717,7,2,0,7,7,2,1,2,2,545,1543,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,93.125
500,3514,7400,64,9596,1,0,0,1,1,1,0,1,1,586,1084,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,44.125
500,3577,6300,13,440417.6367713,4,0,1,4,4,2,0,2,2,700,1515,2,11.0857142857143,0,0,0,10,10,0,0,0,0,0,0,107.125
500,3430,4900,25,23286,14,2,1,14,14,5,2,5,5,403,371,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,325.375
10000,3481,8200,28,171279,102,27,53,102,102,37,21,37,37,30,51,2,11.0857142857143,2,2,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,11.125
3000,3556,7800,53,440417.6367713,4,2,0,4,4,3,1,3,3,583,199,8,11.0857142857143,0,2,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,86.125
32000,3601,9500,105,1729826,62,28,2,62,62,41,20,41,41,1,1,9.45927601809955,11.0857142857143,0,0,0,20,55.7813504823151,1,0,0,1,0,0,131.125
10000,3570,8000,32,346384,14,1,2,14,14,11,1,11,11,206,1083,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,2,0,0,0,0,0,0,100.125
2000,3458,7400,80,132449,33,17,4,33,33,19,10,19,19,236,193,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,353.375
NA,3682,8300,3,275,13,8,1,13,13,13,8,13,13,67,432,6,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,1,0,212.125
500,3535,7200,76,44828,19,10,3,19,19,15,8,15,15,111,686,16,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,65.125
15000,3575,7700,22,621939,39,7,8,39,39,23,7,23,23,265,1471,9.45927601809955,11.0857142857143,0,0,0,33,33,0,0,0,1,0,0,105.125
2000,3451,4900,116,382119,68,32,12,68,68,42,21,42,42,254,535,8,11.0857142857143,0,0,2,53.1466275659824,55.7813504823151,1,0,0,1,0,0,346.375
3000,3542,7800,73,17777,10,1,0,10,10,8,1,8,8,272,1466,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,72.125
27000,3575,8000,43,621939,41,8,9,41,41,25,8,25,25,265,1471,9.45927601809955,11.0857142857143,0,0,0,33,33,0,0,0,1,0,0,105.125
10000,3395,9400,112,169441,58,27,11,58,58,44,25,44,44,553,273,2,2,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,290.375
500,3514,7600,63,9596,1,0,0,1,1,1,0,1,1,586,1084,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,44.125
8000,3563,8100,69,671633,50,36,4,50,50,30,25,30,30,13,623,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,93.125
3000,3465,5400,25,489,7,3,1,7,7,5,3,5,5,540,1004,12,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,360.375
3000,3416,7400,72,97852,41,13,9,41,41,28,12,28,28,542,1397,9.45927601809955,11.0857142857143,0,0,0,90,90,0,0,0,0,0,0,311.375
500,3549,8400,77,5293,1,1,0,1,1,1,1,1,1,142,1010,16,11.0857142857143,0,0,0,24,24,0,0,0,0,0,0,79.125
2000,3451,8300,107,3247,28,6,4,28,28,12,4,12,12,72,1132,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,346.375
44000,3528,7800,49,1043453,97,45,14,97,97,66,34,66,66,30,39,6,11.0857142857143,2,2,0,32,32,1,0,0,1,1,0,58.125
3000,3605,8800,60,284933,12,4,2,12,12,10,3,10,10,308,470,9.45927601809955,11.0857142857143,0,0,0,4,4,1,0,0,1,1,0,135.125
15000,3605,8300,80,987149,41,15,4,41,41,24,11,24,24,109,176,2,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,135.125
2000,3591,7700,53,467004,13,6,1,13,13,9,4,9,9,100,156,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,121.125
11000,3605,8000,86,985658,63,30,8,63,63,45,22,45,45,114,206,8,11.0857142857143,0,0,0,53.1466275659824,9,1,0,0,1,0,0,135.125
69000,3563,8900,51,357567,51,21,12,51,51,31,16,31,31,4,6,10,11.0857142857143,0,2,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,93.125
NA,3682,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,0,0,0,0,252,1133,4,11.0857142857143,0,0,0,53.1466275659824,4,0,0,0,0,0,0,212.125
3000,3584,6600,35,444809,20,1,7,20,20,12,1,12,12,21,1540,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,114.125
6000,3605,6400,50,597696,28,15,6,28,28,23,13,23,23,733,40,8,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,135.125
2000,3458,7000,87,93023,26,9,0,26,26,16,5,16,16,345,1105,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,353.375
