"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_469","Cat_470","Quan_27","Day_Of_Year_1"
500,8000,79,143718,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"141","572",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,278.875
2000,7900,61,652377,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","51",2,11.0857142857143,"2","2","2","0","0","0","0",0,15.375
3000,7200,61,606019,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"268","431",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,59.875
500,6900,39,73049,4,1,1,4,4,3,1,3,3,"304","1388",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,241.375
3000,6987.22826086957,1,224077,80,6,67,80,80,4,1,4,4,"357","1166",4,11.0857142857143,"2","0","0","0","0","0","0",0,138.375
18000,7200,105,856200,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"247","399",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,75.875
6000,8200,101,743429,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","189",2,16,"0","0","0","0","0","2","0",0,259.125
21000,8400,63,1649272,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","39",4,11.0857142857143,"2","2","2","2","0","0","0",0,42.625
3000,8200,50,743429,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","189",2,14,"0","0","0","0","0","2","0",0,259.125
2000,7800,106,343410,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"238","389",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,348.875
8000,8900,37,440417.6367713,12,5,5,12,12,5,4,5,5,"70","1168",2,11.0857142857143,"0","0","0","0","0","0","0",0,67.375
500,6600,9,440417.6367713,1,0,0,1,1,1,0,1,1,"46","677",16,11.0857142857143,"0","0","0","0","0","0","0",0,144.625
500,5500,52,440417.6367713,40,11,5,40,40,19,9,19,19,"138","1152",2,11.0857142857143,"0","0","0","0","0","0","0",0,262.375
2000,7900,53,58806,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"101","158",4,11.0857142857143,"2","0","0","0","0","2","0",0,260.375
3000,6500,79,529465,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"39","252",2,8,"0","0","0","0","0","0","0",0,133.125
500,6700,66,503559,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"29","37",2,11.0857142857143,"0","0","0","0","0","0","0",0,246.375
2000,6900,29,396498,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"160","251",2,11.0857142857143,"0","0","0","0","0","0","0",0,76.125
29000,8600,92,1172663,36,13,17,36,36,7,5,7,7,"32","48",4,11.0857142857143,"2","2","2","0","0","2","0",0,87.375
3000,8100,44,438659,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","51",2,11.0857142857143,"2","2","2","0","0","0","0",0,14.125
5000,7300,100,872255,76,33,26,76,76,37,24,37,37,"35","260",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,101.375
3000,8500,84,169907,60,20,24,60,60,45,16,45,45,"424","754",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,262.375
500,5300,10,176797,3,0,0,3,3,3,0,3,3,"403","1234",4,11.0857142857143,"0","0","0","0","0","0","0",0,136.375
2000,6300,73,35887,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"236","387",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,96.875
2000,6100,70,215765,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"183","18",2,11.0857142857143,"0","0","0","0","0","0","0",0,91.125
2000,8100,96,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"90","140",4,11.0857142857143,"0","0","0","0","0","0","0",0,259.125
2000,7600,63,4538,7,2,2,7,7,2,1,2,2,"385","655",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,66.375
500,4700,55,13632,1,0,0,1,1,1,0,1,1,"477","85",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,361.625
2000,4000,7,98168,0,0,0,0,0,0,0,0,0,"140","222",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,115.375
500,7300,6,119498,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"127","202",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,84.125
2000,7600,51,384726,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"38","380",2,11.0857142857143,"0","0","0","0","0","0","0",0,336.125
500,6200,89,1564,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"300","644",2,11.0857142857143,"0","0","0","0","0","0","0",0,25.625
2000,6000,42,55669,35,16,10,35,35,18,10,18,18,"12","1362",2,11.0857142857143,"2","0","0","0","0","0","0",0,269.375
6000,9000,82,802286,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","48",7,11.0857142857143,"2","2","2","0","0","2","0",0,109.625
500,4300,48,108948,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"251","672",2,11.0857142857143,"0","0","0","0","0","0","0",0,32.625
6000,8300,110,870647,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","40",2,11.0857142857143,"0","0","0","0","0","2","0",0,142.625
500,5600,60,331563,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"64","360",4,11.0857142857143,"2","0","2","0","0","0","0",0,293.125
2000,6400,24,440417.6367713,27,3,3,27,27,6,0,6,6,"180","285",4,11.0857142857143,"0","0","0","0","0","0","0",0,129.375
3000,8400,144,1173440,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"23","30",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,36.375
500,6400,4,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"420","739",2,11.0857142857143,"0","0","0","0","0","0","0",0,67.625
6000,7800,43,697011,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"5","5",2,11.0857142857143,"2","2","2","2","0","0","0",0,239.375
500,7700,90,75621,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"135","217",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,56.125
11000,8600,121,1399606,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"79","129",4,11.0857142857143,"0","0","0","0","0","2","0",0,134.375
6000,8900,44,907439,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"77","127",2,11.0857142857143,"2","0","2","0","0","0","0",0,243.875
2000,8600,95,395580,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"290","478",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,186.625
3000,7900,72,58648,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"5","7",4,11.0857142857143,"2","2","2","0","0","0","0",0,71.375
2000,7500,87,1575180,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"10","19",2,11.0857142857143,"0","0","0","0","0","0","0",0,142.625
5000,7300,49,788296,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","49",4,11.0857142857143,"2","2","2","0","0","2","0",0,91.125
500,6400,26,150368,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"176","660",4,11.0857142857143,"0","0","0","0","0","0","0",0,327.875
500,6987.22826086957,1,174848,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"176","323",2,11.0857142857143,"0","0","0","0","0","0","0",0,116.625
500,6800,35,73049,4,1,1,4,4,4,1,4,4,"304","1388",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,241.375
500,6200,7,440417.6367713,3,0,1,3,3,0,0,0,0,"482","69",4,11.0857142857143,"0","0","0","0","0","0","0",0,136.375
500,7800,77,466603,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"98","193",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,222.875
500,8000,67,275695,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"141","224",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,357.375
2000,8300,90,372875,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"82","311",4,11.0857142857143,"0","0","0","0","0","2","0",0,55.125
3000,8600,96,248407,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"142","225",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,67.625
3000,8500,134,420774,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"106","172",4,11.0857142857143,"0","0","0","0","0","2","0",0,179.625
2000,5000,71,50584,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"373","631",4,4,"0","0","0","0","0","0","0",0,116.625
500,7500,46,8412,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"213","348",4,11.0857142857143,"0","0","0","0","0","0","0",0,217.125
500,5200,41,769,35,0,24,35,35,7,0,7,7,"50","1125",2,11.0857142857143,"0","0","0","0","0","0","0",0,124.375
500,7800,76,14,11,5,3,11,11,7,2,7,7,"559","637",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,255.375
500,4400,5,334360,1,0,0,1,1,0,0,0,0,"129","1131",2,11.0857142857143,"0","0","0","0","0","0","0",0,122.375
500,4400,12,25831,2,0,0,2,2,2,0,2,2,"484","377",8,11.0857142857143,"0","0","0","0","0","0","0",0,150.375
500,2900,37,233505,0,0,0,0,0,0,0,0,0,"252","447",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,151.625
3000,7200,60,47363,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"5","7",4,11.0857142857143,"2","2","2","0","0","0","0",0,70.125
2000,7700,88,557614,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"132","446",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,124.875
500,7100,56,111812,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"333","559",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,232.875
2000,8300,64,14306,8,4,3,8,8,2,2,2,2,"142","1010",3.25355450236967,12,"2","0","0","0","0","0","0",0,81.375
500,5500,10,384334,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"176","277",4,11.0857142857143,"0","0","0","0","0","0","0",0,112.125
5000,4200,37,440417.6367713,58,1,42,58,58,6,0,6,6,"627","1179",4,11.0857142857143,"0","0","2","0","0","2","0",0,124.375
23000,8800,68,16504,23,9,14,23,23,6,3,6,6,"32","52",4,11.0857142857143,"2","2","2","0","0","0","0",0,66.375
3000,7500,57,777132,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"187","295",4,8,"0","0","0","0","0","0","0",0,56.125
2000,7700,88,440417.6367713,23,7,5,23,23,13,5,13,13,"232","305",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,354.625
500,7900,37,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","198",7,11.0857142857143,"2","0","2","0","0","0","0",0,352.125
5000,8300,53,503093,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"168","398",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,75.875
2000,8400,95,336930,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"67","432",2,11.0857142857143,"0","0","0","0","0","2","0",0,26.875
5000,7600,84,820707,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"31","40",2,11.0857142857143,"0","0","0","0","0","2","0",0,120.375
2000,4300,18,440417.6367713,5,1,2,5,5,2,0,2,2,"327","1146",4,11.0857142857143,"0","0","2","0","0","0","0",0,73.375
500,7800,84,1879,9,4,3,9,9,6,3,6,6,"11","587",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,361.625
15000,8800,110,527439,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","189",4,16,"0","0","0","0","0","2","0",0,140.375
3000,5700,8,227165,9,1,6,9,9,2,0,2,2,"9","382",4,11.0857142857143,"2","0","0","0","0","0","0",0,115.375
500,6300,53,241413,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"243","244",2,11.0857142857143,"0","0","0","0","0","0","0",0,362.875
3000,7500,98,850888,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"339","571",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",3,52.375
5000,8400,113,538046,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","183",3.25355450236967,16,"0","0","0","0","0","2","0",0,110.875
500,6800,46,75598,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","201",4,11.0857142857143,"2","2","2","0","0","0","0",0,198.375
500,3800,39,450556,11,1,2,11,11,11,1,11,11,"243","244",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,136.375
3000,7400,109,250974,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"13","16",3.25355450236967,8,"0","0","0","0","0","0","0",0,142.625
2000,7500,82,440417.6367713,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"76","126",3.25355450236967,11.0857142857143,"2","0","0","0","0","2","0",0,239.375
2000,7200,127,941734,25,7,11,25,25,10,4,10,10,"33","643",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",1,221.625
2000,7900,75,208574,27,6,14,27,27,12,6,12,12,"31","286",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,312.625
500,7700,70,155555,2,0,2,2,2,0,0,0,0,"403","701",4,11.0857142857143,"0","2","0","0","0","0","0",0,235.625
2000,7200,80,242444,6,0,2,6,6,2,0,2,2,"38","664",4,11.0857142857143,"0","0","0","0","0","0","0",0,123.625
18000,8500,58,1238684,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","39",4,11.0857142857143,"2","2","2","2","2","0","0",0,40.875
2000,8600,129,780782,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"79","278",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,116.625
2000,5500,68,761,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"268","443",4,11.0857142857143,"0","0","0","0","0","0","0",0,194.875
500,6300,10,221857,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"107","174",2,11.0857142857143,"0","0","0","0","0","0","0",0,118.125
500,7700,27,466940,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"4","213",4,11.0857142857143,"2","0","2","0","0","0","0",0,357.375
40000,9300,114,3220430,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"7","11",4,18,"0","0","0","0","0","2","0",0,130.625
2000,8000,30,539483,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"30","51",4,11.0857142857143,"2","2","2","0","0","0","0",0,12.875
2000,7200,101,324749,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"217","355",3.25355450236967,10,"0","0","0","0","0","0","0",0,266.125
500,6700,62,570116,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"208","340",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,217.125
2000,8800,125,348241,85,25,42,85,85,39,20,39,39,"33","384",3.25355450236967,11.0857142857143,"0","0","0","0","0","2","0",0,206.375
5000,8600,34,15804,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"32","52",4,11.0857142857143,"2","2","2","2","0","0","0",0,71.125
2000,6300,12,97941,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"27","453",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,138.875
2000,6100,98,641442,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","632",3.25355450236967,11.0857142857143,"0","0","0","0","0","0","0",0,151.625
3000,8000,43,1164838,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"33","44",4,11.0857142857143,"2","2","2","0","0","0","0",0,134.375
3000,7200,55,495179,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"178","281",4,11.0857142857143,"0","0","0","0","0","0","0",0,126.125
2000,7900,44,11049,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,"114","265",4,11.0857142857143,"0","0","0","0","0","0","0",0,138.875
