"Outcome_M5","Quan_2","Quan_3","Quan_4","Quan_5","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_388","Quant_25","Cat_466","Cat_469","Cat_470","Cat_484","Cat_501","Quan_27","Day_Of_Year_1"
3000,7300,82,1566700,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,30,39,11.0857142857143,2,2,2,0,2,32,0,0,0,0,0,0,142.625
500,5700,36,176114,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,38,54,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,135.375
500,4200,36,561128,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,220,359,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,304.125
6000,8000,91,883301,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,75,413,16,0,0,0,0,0,46,0,2,0,0,0,0,110.875
3000,8500,122,1178524,124,124,124,54,54,54,274,444,11.0857142857143,0,0,0,0,0,55.7813504823151,0,2,0,0,0,0,234.375
500,4300,22,440417.6367713,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,115,253,11.0857142857143,0,0,0,0,0,10,0,2,0,0,0,0,70.125
500,7400,40,49009,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,50,199,11.0857142857143,2,0,2,0,0,250,0,0,0,0,0,0,252.125
500,6800,69,503559,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,29,37,11.0857142857143,0,0,0,0,0,36,0,0,0,0,0,0,246.375
2000,5500,10,1275,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,243,403,11.0857142857143,0,0,0,0,0,64,0,0,0,0,0,0,109.875
2000,7700,103,90686,31,31,31,19,19,19,131,18,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,66.375
2000,5400,23,440417.6367713,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,9,12,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,134.375
11000,8900,142,1394197,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,114,206,11.0857142857143,0,0,0,0,0,55.7813504823151,0,2,0,0,0,0,137.625
500,5200,21,308925,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,132,212,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,133.125
2000,6400,35,204611,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,64,96,11.0857142857143,0,0,2,0,0,25,0,0,0,0,0,0,102.875
500,6900,71,17619,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,407,712,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,102.625
5000,8200,107,689611,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,11,14,11.0857142857143,0,0,0,0,0,33,0,2,0,0,0,0,113.375
2000,6100,54,365492,26,26,26,9,9,9,114,1000,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,113.375
2000,5600,91,761,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,268,443,11.0857142857143,0,0,0,0,0,22,0,0,0,0,0,0,194.875
500,5300,5,72774,2,2,2,2,2,2,392,675,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,94.375
2000,7500,78,23013,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,3,8,4,2,0,0,0,0,24,0,0,0,0,0,0,269.625
45000,9300,120,1808023,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,7,11,24,0,0,0,0,0,55.7813504823151,0,2,1,0,0,0,125.125
500,3800,57,440417.6367713,36,36,36,9,9,9,147,1128,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,76.375
2000,7100,21,65693,69,69,69,55,55,55,4,5,11.0857142857143,2,2,2,0,0,34,0,0,0,0,0,0,248.375
3000,5900,69,641442,17,17,17,10,10,10,114,632,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,151.625
2000,7900,32,58648,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,5,7,11.0857142857143,2,2,2,0,0,109,0,0,0,0,0,0,133.375
2000,8000,74,682260,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,210,344,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,245.125
5000,7900,109,669770,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,362,30,11.0857142857143,0,0,0,0,0,55.7813504823151,0,2,0,0,0,0,87.375
2000,6800,30,2727,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,21,667,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,18.625
500,5800,61,575483,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,21,28,11.0857142857143,0,0,0,0,0,44,0,0,0,0,0,0,323.375
3000,8800,100,561962,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,28,36,11.0857142857143,0,0,0,0,0,72,0,2,0,0,0,0,247.625
2000,8100,60,412632,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,32,50,11.0857142857143,0,0,2,0,0,18,0,0,0,0,0,0,232.375
2000,8500,88,643979,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,20,87,8,0,0,0,0,0,112,0,2,0,0,0,0,91.125
3000,7600,40,1951543,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,30,39,11.0857142857143,2,2,2,2,2,32,0,0,0,0,0,0,134.375
2000,8100,127,29197,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,75,125,11.0857142857143,0,2,0,0,0,11,0,2,0,0,0,0,323.625
500,5500,53,33,1,1,1,1,1,1,21,702,11.0857142857143,2,0,0,0,0,24,0,0,0,0,0,0,193.625
500,7700,88,385016,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,38,380,11.0857142857143,0,0,0,0,0,60,0,2,0,0,0,0,336.125
2000,4900,47,445190,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,120,192,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,134.375
5000,7900,101,1416697,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,89,139,11.0857142857143,0,0,0,0,0,76,0,2,0,0,0,0,287.125
2000,9200,124,752566,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,23,32,11.0857142857143,0,0,0,0,0,19,0,2,0,0,0,0,229.875
3000,7300,92,94900,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,113,495,8,0,0,0,2,2,55,0,0,0,0,0,0,243.875
500,5700,31,67012,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,21,434,11.0857142857143,2,0,0,0,0,55.7813504823151,0,0,0,0,0,0,5.875
2000,6900,30,1183119,53,53,53,13,13,13,32,1009,11.0857142857143,0,2,0,0,0,55.7813504823151,0,0,0,0,0,0,136.375
500,6500,13,109982,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,50,69,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,154.125
500,6800,95,38152,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,97,545,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,278.875
500,5800,30,195081,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,240,291,11.0857142857143,0,0,0,0,0,2,0,0,0,0,0,0,110.875
500,6700,68,694809,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,366,622,11.0857142857143,0,0,0,0,0,6,0,0,0,0,0,0,192.375
500,8000,85,233416,57,57,57,41,41,41,165,566,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,248.375
2000,7100,83,477063,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,10,19,11.0857142857143,0,0,0,0,2,30,0,0,0,0,0,0,104.125
2000,6600,97,405694,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,252,730,11.0857142857143,0,0,0,0,0,22,0,0,0,0,0,0,228.625
6000,8800,62,28203,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,32,52,11.0857142857143,2,2,2,0,0,30,0,0,0,0,0,0,68.875
6000,7400,116,850888,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,339,571,11.0857142857143,0,0,0,0,0,55.7813504823151,0,2,0,0,0,0,52.375
3000,9100,88,262738,13,13,13,7,7,7,23,32,11.0857142857143,0,0,0,0,0,35,0,0,0,0,0,0,298.625
500,6000,25,366857,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,394,680,11.0857142857143,0,0,0,0,0,17,0,0,0,0,0,0,109.625
2000,6500,18,642619,29.7883211678832,29.7883211678832,29.7883211678832,16.0182481751825,16.0182481751825,16.0182481751825,107,174,11.0857142857143,0,0,0,0,0,20,0,0,0,0,0,0,112.375
2000,7600,47,300522,22,22,22,17,17,17,641,203,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,100.125
500,5400,7,440417.6367713,1,1,1,1,1,1,670,1375,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,100.125
2000,5600,28,29,4,4,4,4,4,4,408,1536,11.0857142857143,0,0,0,0,0,44,0,0,0,0,0,0,114.125
500,7900,37,440417.6367713,5,5,5,3,3,3,23,32,11.0857142857143,0,0,0,0,0,39,0,0,0,0,0,0,360.375
500,4700,92,90054,23,23,23,7,7,7,136,218,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,16.125
NA,7300,57,469247,16,16,16,14,14,14,51,497,11.0857142857143,0,0,0,0,0,63,0,0,0,0,0,0,142.125
500,5000,52,14073,11,11,11,9,9,9,234,20,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,86.125
NA,8000,44,985658,69,69,69,46,46,46,114,206,11.0857142857143,0,0,0,0,0,9,0,0,0,0,0,0,135.125
2000,6400,39,1759054,187,187,187,39,39,39,114,1138,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,283.375
NA,6000,31,53952,0,0,0,0,0,0,116,1539,11.0857142857143,0,0,0,0,0,6,0,0,0,0,0,0,156.125
500,7000,76,7696,33,33,33,25,25,25,79,278,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,107.125
500,6900,87,16594,6,6,6,6,6,6,142,543,4,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,339.375
2000,7300,63,97852,39,39,39,30,30,30,542,1397,11.0857142857143,0,0,0,0,0,90,0,0,0,0,0,0,311.375
NA,4600,6,440417.6367713,1,1,1,1,1,1,709,1473,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,142.125
NA,6987.22826086957,2,235853,5,5,5,5,5,5,486,898,11.0857142857143,0,0,0,0,0,8,0,0,0,0,0,0,121.125
2000,8700,132,862604,126,126,126,83,83,83,386,656,11.0857142857143,0,2,0,0,0,55.7813504823151,0,0,0,0,0,0,318.375
2000,8000,87,5758,18,18,18,12,12,12,86,640,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,65.125
500,8200,49,1602,7,7,7,4,4,4,714,1483,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,23.125
500,6300,65,47075,4,4,4,2,2,2,183,1366,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,16.125
500,6300,60,127967,17,17,17,13,13,13,107,264,11.0857142857143,0,0,0,0,0,10,0,0,0,0,0,0,311.375
2000,8700,84,28006,15,15,15,11,11,11,142,225,8,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,325.375
500,6100,53,18465,17,17,17,12,12,12,131,18,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,93.125
NA,6300,40,53952,0,0,0,0,0,0,116,1539,11.0857142857143,0,0,0,0,0,6,0,0,0,0,0,0,156.125
8000,9400,102,1139542,106,106,106,72,72,72,336,565,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,107.125
NA,8700,46,284933,11,11,11,9,9,9,308,470,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,135.125
2000,7100,96,6532,11,11,11,6,6,6,399,693,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,346.375
500,7800,19,440417.6367713,1,1,1,1,1,1,449,833,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,107.125
3000,8600,16,635758,11,11,11,6,6,6,308,1490,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,107.125
2000,7000,76,309164,41,41,41,34,34,34,423,753,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,311.375
500,5900,82,33837,13,13,13,8,8,8,232,305,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,346.375
NA,8100,79,23277,22,22,22,17,17,17,706,243,16,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,135.125
500,7000,44,65248,4,4,4,4,4,4,362,30,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,100.125
NA,7700,36,241220,18,18,18,12,12,12,542,763,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,131.125
NA,9300,33,1729826,66,66,66,41,41,41,1,1,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,131.125
2000,9400,97,169441,64,64,64,47,47,47,553,273,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,290.375
500,5700,78,167598,4,4,4,2,2,2,658,1347,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,65.125
3000,8900,111,105605,38,38,38,24,24,24,370,628,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,51.125
2000,6300,23,39964,8,8,8,4,4,4,722,1503,11.0857142857143,0,0,0,0,0,8,0,0,0,0,0,0,30.125
NA,4700,10,440417.6367713,0,0,0,0,0,0,50,1130,11.0857142857143,0,0,0,0,0,9,0,0,0,0,0,0,121.125
500,7000,91,93023,25,25,25,15,15,15,345,1105,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,353.375
500,3500,3,135717,7,7,7,2,2,2,545,1543,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,93.125
500,7400,64,9596,1,1,1,1,1,1,586,1084,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,44.125
500,6300,13,440417.6367713,4,4,4,2,2,2,700,1515,11.0857142857143,0,0,0,0,0,10,0,0,0,0,0,0,107.125
500,4900,25,23286,14,14,14,5,5,5,403,371,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,325.375
6000,8200,28,171279,102,102,102,37,37,37,30,51,11.0857142857143,2,2,2,0,0,55.7813504823151,0,0,0,0,0,0,11.125
3000,7800,53,440417.6367713,4,4,4,3,3,3,583,199,11.0857142857143,2,0,2,0,0,55.7813504823151,0,0,0,0,0,0,86.125
NA,9500,105,1729826,62,62,62,41,41,41,1,1,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,131.125
3000,8000,32,346384,14,14,14,11,11,11,206,1083,11.0857142857143,0,0,0,0,0,2,0,0,0,0,0,0,100.125
500,7400,80,132449,33,33,33,19,19,19,236,193,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,353.375
NA,8300,3,275,13,13,13,13,13,13,67,432,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,212.125
500,7200,76,44828,19,19,19,15,15,15,111,686,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,65.125
2000,7700,22,621939,39,39,39,23,23,23,265,1471,11.0857142857143,0,0,0,0,0,33,0,0,0,0,0,0,105.125
500,4900,116,382119,68,68,68,42,42,42,254,535,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,346.375
500,7800,73,17777,10,10,10,8,8,8,272,1466,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,72.125
5000,8000,43,621939,41,41,41,25,25,25,265,1471,11.0857142857143,0,0,0,0,0,33,0,0,0,0,0,0,105.125
3000,9400,112,169441,58,58,58,44,44,44,553,273,2,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,290.375
2000,7600,63,9596,1,1,1,1,1,1,586,1084,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,44.125
3000,8100,69,671633,50,50,50,30,30,30,13,623,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,93.125
2000,5400,25,489,7,7,7,5,5,5,540,1004,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,360.375
2000,7400,72,97852,41,41,41,28,28,28,542,1397,11.0857142857143,0,0,0,0,0,90,0,0,0,0,0,0,311.375
500,8400,77,5293,1,1,1,1,1,1,142,1010,11.0857142857143,2,0,0,0,0,24,0,0,0,0,0,0,79.125
500,8300,107,3247,28,28,28,12,12,12,72,1132,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,346.375
8000,7800,49,1043453,97,97,97,66,66,66,30,39,11.0857142857143,2,2,2,0,2,32,0,0,0,0,0,0,58.125
NA,8800,60,284933,12,12,12,10,10,10,308,470,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,135.125
NA,8300,80,987149,41,41,41,24,24,24,109,176,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,135.125
NA,7700,53,467004,13,13,13,9,9,9,100,156,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,121.125
NA,8000,86,985658,63,63,63,45,45,45,114,206,11.0857142857143,0,0,0,0,0,9,0,0,0,0,0,0,135.125
26000,8900,51,357567,51,51,51,31,31,31,4,6,11.0857142857143,2,0,2,0,0,55.7813504823151,0,0,0,0,0,0,93.125
NA,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,0,252,1133,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,212.125
500,6600,35,444809,20,20,20,12,12,12,21,1540,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,114.125
NA,6400,50,597696,28,28,28,23,23,23,733,40,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,135.125
500,7000,87,93023,26,26,26,16,16,16,345,1105,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,353.375
2000,6800,115,309164,42,42,42,35,35,35,423,753,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,311.375
2000,6100,57,10916,3,3,3,3,3,3,348,590,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,72.125
500,6400,13,1759054,50,50,50,25,25,25,114,1138,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,283.375
500,4700,70,14073,12,12,12,9,9,9,234,20,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,86.125
500,7700,101,5935,39,39,39,10,10,10,78,128,11.0857142857143,0,0,0,0,0,66,0,2,0,0,0,0,304.375
500,7200,108,81138,28,28,28,21,21,21,109,582,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,339.375
NA,7200,30,469247,14,14,14,13,13,13,51,497,11.0857142857143,0,0,0,0,0,63,0,0,0,0,0,0,142.125
2000,4600,38,6661,9,9,9,6,6,6,243,244,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,9.125
500,7500,54,18582,3,3,3,2,2,2,742,1542,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,114.125
500,3000,7,23286,2,2,2,2,2,2,403,371,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,325.375
500,5100,86,382119,66,66,66,42,42,42,254,535,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,346.375
NA,8700,44,4692569,143,143,143,100,100,100,551,11,18,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,128.125
500,6000,12,216245,11,11,11,8,8,8,251,1230,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,339.375
500,4400,42,6661,12,12,12,6,6,6,243,244,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,9.125
6000,9000,64,233160,27,27,27,19,19,19,32,48,11.0857142857143,2,2,2,0,0,55.7813504823151,0,0,0,0,0,0,86.125
2000,8300,125,58238,196,196,196,171,171,171,323,536,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,339.375
500,6200,20,8229,2,2,2,2,2,2,21,1470,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,283.375
500,7500,97,132449,36,36,36,21,21,21,236,193,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,353.375
5000,7200,75,225894,36,36,36,21,21,21,136,533,11.0857142857143,0,0,0,0,0,4,0,0,0,0,0,0,65.125
NA,7800,23,440417.6367713,2,2,2,2,2,2,300,644,11.0857142857143,0,0,0,0,0,33,0,0,0,0,0,0,142.125
500,7200,92,81138,27,27,27,20,20,20,109,582,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,339.375
11000,8500,41,1480378,101,101,101,57,57,57,35,46,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,114.125
500,5800,61,18465,16,16,16,12,12,12,131,18,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,93.125
2000,7100,63,65248,2,2,2,2,2,2,362,30,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,100.125
NA,7100,73,440417.6367713,2,2,2,2,2,2,300,644,11.0857142857143,0,0,0,0,0,33,0,0,0,0,0,0,142.125
500,7000,89,6532,11,11,11,6,6,6,399,693,11.0857142857143,0,0,0,0,2,55.7813504823151,0,0,0,0,0,0,346.375
11000,8300,37,171279,131,131,131,103,103,103,30,51,11.0857142857143,2,2,2,0,0,55.7813504823151,0,0,0,0,0,0,11.125
NA,6987.22826086957,62.2247644683715,275,17,17,17,17,17,17,67,432,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,212.125
18000,8400,64,1480378,95,95,95,56,56,56,35,46,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,114.125
2000,8700,114,28006,11,11,11,9,9,9,142,225,8,0,0,0,0,0,43,0,0,0,0,0,0,325.375
500,6800,58,15055,2,2,2,1,1,1,329,34,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,2.125
500,5200,9,2,3,3,3,1,1,1,270,854,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,346.375
6000,8600,85,243024,91,91,91,66,66,66,185,104,11.0857142857143,0,0,0,0,0,27,0,0,0,0,0,0,290.375
500,5200,81,670,1,1,1,1,1,1,541,1008,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,58.125
500,8100,56,1602,12,12,12,4,4,4,714,1483,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,23.125
500,6500,45,15055,4,4,4,1,1,1,329,34,11.0857142857143,0,0,0,0,0,55.7813504823151,0,0,0,0,0,0,2.125
2000,4500,6,144409,13,13,13,4,4,4,499,1491,11.0857142857143,0,0,0,0,0,12,0,0,0,0,0,0,346.375
