"Outcome_M11","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Cat_501"
NA,4900,116,382119,68,32,68,68,42,21,42,42,8,0,2,0,1,0,0,1,0,0
NA,7800,73,17777,10,1,10,10,8,1,8,8,0,2,0,0,0,0,0,0,0,0
NA,8000,43,621939,41,8,41,41,25,8,25,25,0,2,0,0,0,0,0,1,0,0
2000,9400,112,169441,58,27,58,58,44,25,44,44,2,2,0,0,0,0,0,0,0,0
NA,7600,63,9596,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NA,8100,69,671633,50,36,50,50,30,25,30,30,4,3,0,0,1,0,0,0,0,0
NA,5400,25,489,7,3,7,7,5,3,5,5,12,0,0,0,1,0,0,1,0,0
NA,7400,72,97852,41,13,41,41,28,12,28,28,0,2,0,0,0,0,0,0,0,0
NA,8400,77,5293,1,1,1,1,1,1,1,1,16,2,0,0,0,0,0,0,0,0
NA,8300,107,3247,28,6,28,28,12,4,12,12,0,0,0,0,0,0,0,0,0,0
NA,7800,49,1043453,97,45,97,97,66,34,66,66,6,0,0,0,1,0,0,1,1,0
NA,8800,60,284933,12,4,12,12,10,3,10,10,0,2,0,0,1,0,0,1,1,0
NA,8300,80,987149,41,15,41,41,24,11,24,24,2,4,0,0,1,0,0,1,0,0
NA,7700,53,467004,13,6,13,13,9,4,9,9,0,0,0,0,1,0,0,1,0,0
NA,8000,86,985658,63,30,63,63,45,22,45,45,8,0,0,0,1,0,0,1,0,0
NA,8900,51,357567,51,21,51,51,31,16,31,31,10,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0
NA,6600,35,444809,20,1,20,20,12,1,12,12,0,2,0,0,0,0,0,0,0,0
NA,6400,50,597696,28,15,28,28,23,13,23,23,8,0,0,0,1,0,0,0,0,0
NA,7000,87,93023,26,9,26,26,16,5,16,16,4,2,0,0,1,0,0,0,0,0
NA,6800,115,309164,42,18,42,42,35,17,35,35,16,2,0,0,0,0,0,0,0,0
NA,6100,57,10916,3,1,3,3,3,1,3,3,6,3,0,0,0,0,0,0,0,0
2000,6400,13,1759054,50,11,50,50,25,7,25,25,0,0,0,0,0,0,0,0,0,0
NA,4700,70,14073,12,3,12,12,9,3,9,9,0,0,0,0,0,0,0,0,0,0
NA,7700,101,5935,39,4,39,39,10,3,10,10,16,0,0,0,0,2,0,0,0,0
NA,7200,108,81138,28,12,28,28,21,11,21,21,4,3,0,0,1,0,0,0,0,0
NA,7200,30,469247,14,6,14,14,13,6,13,13,12,0,0,0,1,0,0,0,0,0
NA,4600,38,6661,9,3,9,9,6,2,6,6,0,0,0,0,0,0,0,0,0,0
NA,7500,54,18582,3,0,3,3,2,0,2,2,0,2,0,0,0,0,0,0,0,0
NA,3000,7,23286,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
NA,5100,86,382119,66,32,66,66,42,21,42,42,8,0,2,0,1,0,0,1,0,0
NA,8700,44,4692569,143,68,143,143,100,45,100,100,18,3,0,0,1,0,0,1,1,0
NA,6000,12,216245,11,3,11,11,8,3,8,8,0,2,0,0,0,0,0,0,0,0
NA,4400,42,6661,12,3,12,12,6,2,6,6,0,0,0,0,0,0,0,0,0,0
NA,9000,64,233160,27,14,27,27,19,13,19,19,22,0,0,0,1,0,0,0,0,0
NA,8300,125,58238,196,24,196,196,171,14,171,171,0,0,0,0,1,0,0,1,0,0
500,6200,20,8229,2,1,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0
NA,7500,97,132449,36,19,36,36,21,11,21,21,4,4,0,0,1,0,0,1,0,0
NA,7200,75,225894,36,13,36,36,21,11,21,21,4,2,0,0,1,0,0,0,0,0
NA,7800,23,0,2,1,2,2,2,1,2,2,2,0,0,0,1,0,0,1,0,0
NA,7200,92,81138,27,11,27,27,20,10,20,20,4,3,0,0,1,0,0,0,0,0
NA,8500,41,1480378,101,58,101,101,57,35,57,57,24,3,0,0,1,0,0,1,0,0
NA,5800,61,18465,16,8,16,16,12,6,12,12,0,0,0,0,0,0,0,0,0,0
NA,7100,63,65248,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
NA,7100,73,0,2,1,2,2,2,1,2,2,2,0,0,0,1,0,0,0,0,0
NA,7000,89,6532,11,5,11,11,6,4,6,6,0,0,0,0,0,0,0,0,0,0
NA,8300,37,171279,131,28,131,131,103,22,103,103,2,0,0,0,0,0,0,0,0,0
NA,0,0,275,17,10,17,17,17,10,17,17,6,0,0,0,1,0,0,1,1,0
NA,8400,64,1480378,95,50,95,95,56,29,56,56,24,3,0,0,1,0,0,1,0,0
NA,8700,114,28006,11,3,11,11,9,3,9,9,8,0,0,0,1,0,0,1,0,0
NA,6800,58,15055,2,1,2,2,1,0,1,1,6,2,0,0,0,0,0,0,0,0
NA,5200,9,2,3,0,3,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0
2000,8600,85,243024,91,36,91,91,66,33,66,66,8,0,0,0,1,0,0,1,1,0
NA,5200,81,670,1,0,1,1,1,0,1,1,12,3,0,0,0,0,0,0,0,0
NA,8100,56,1602,12,5,12,12,4,2,4,4,0,3,0,0,1,0,0,1,0,0
NA,6500,45,15055,4,1,4,4,1,0,1,1,6,4,0,0,0,0,0,0,0,0
NA,4500,6,144409,13,0,13,13,4,0,4,4,0,0,0,0,0,0,0,0,0,0
