"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_6","Quan_16","Quan_17","Quan_18","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
500,7300,6,119498,0,0,0,0,0,0,"4","127","202","19",14,0,0,"0","0","0","0","0","0","0","0","0",0,84.125
2000,7600,51,384726,0,0,0,0,0,0,"29","38","380","20",0,2,0,"0","0","0","0","0","0","0","0","0",0,336.125
500,6200,89,1564,0,0,0,0,0,0,"85","300","644","18",8,2,0,"0","0","1","0","0","0","0","0","0",0,25.625
2000,6000,42,55669,35,35,35,18,18,18,"5","12","1362","13",16,2,0,"0","0","1","0","0","0","0","0","0",0,269.375
5000,9000,82,802286,0,0,0,0,0,0,"17","32","48","26",20,7,0,"2","2","1","0","0","1","2","0","0",0,109.625
500,4300,48,108948,0,0,0,0,0,0,"16","251","672","2",0,2,0,"0","0","1","0","0","0","0","0","0",0,32.625
3000,8300,110,870647,0,0,0,0,0,0,"6","32","40","13",4,2,0,"0","0","0","0","0","1","2","0","0",0,142.625
500,5600,60,331563,0,0,0,0,0,0,"31","64","360","4",2,4,0,"0","2","1","0","0","0","0","0","0",0,293.125
500,6400,24,0,27,27,27,6,6,6,"42","180","285","84",0,4,0,"0","0","0","0","0","0","0","0","0",0,129.375
5000,8400,144,1173440,0,0,0,0,0,0,"13","23","30","10",0,0,0,"0","0","1","0","0","0","2","0","0",0,36.375
500,6400,4,0,0,0,0,0,0,0,"137","420","739","15",0,2,0,"0","0","1","0","0","0","0","0","0",0,67.625
3000,7800,43,697011,0,0,0,0,0,0,"3","5","5","5",2,2,0,"2","2","1","0","0","0","0","0","0",0,239.375
2000,7700,90,75621,0,0,0,0,0,0,"7","135","217","41",0,0,0,"0","0","1","0","0","0","0","0","0",0,56.125
5000,8600,121,1399606,0,0,0,0,0,0,"42","79","129","2",40,4,0,"0","0","1","0","0","0","2","0","0",0,134.375
2000,8900,44,907439,0,0,0,0,0,0,"42","77","127","5",2,2,0,"0","2","0","0","0","0","0","0","0",0,243.875
500,8600,95,395580,0,0,0,0,0,0,"45","290","478","10",0,0,0,"0","0","0","0","0","1","0","0","0",0,186.625
500,7900,72,58648,0,0,0,0,0,0,"3","5","7","6",8,4,0,"2","2","1","0","0","0","0","0","0",0,71.375
2000,7500,87,1575180,0,0,0,0,0,0,"5","10","19","11",8,2,0,"0","0","1","0","0","0","0","0","0",0,142.625
6000,7300,49,788296,0,0,0,0,0,0,"17","32","49","4",4,4,0,"2","2","1","0","0","0","2","0","0",0,91.125
500,6400,26,150368,0,0,0,0,0,0,"53","176","660","11",0,4,0,"0","0","0","0","0","0","0","0","0",0,327.875
500,0,1,174848,0,0,0,0,0,0,"53","176","323","11",0,2,0,"0","0","0","0","0","1","0","0","0",0,116.625
500,6800,35,73049,4,4,4,4,4,4,"16","304","1388","11",0,0,0,"0","0","1","0","0","0","0","0","0",0,241.375
500,6200,7,0,3,3,3,0,0,0,"27","482","69","32",0,4,0,"0","0","1","0","0","0","0","0","0",0,136.375
2000,7800,77,466603,0,0,0,0,0,0,"60","98","193","2",16,0,0,"0","0","1","1","0","0","0","0","0",0,222.875
500,8000,67,275695,0,0,0,0,0,0,"2","141","224","2",8,0,0,"0","0","0","0","0","0","0","0","0",0,357.375
3000,8300,90,372875,0,0,0,0,0,0,"42","82","311","2",32,4,0,"0","0","1","1","0","0","2","0","0",0,55.125
2000,8600,96,248407,0,0,0,0,0,0,"56","142","225","13",8,0,0,"0","0","1","0","0","0","0","0","0",0,67.625
2000,8500,134,420774,0,0,0,0,0,0,"52","106","172","18",16,4,0,"0","0","0","0","0","0","2","0","0",0,179.625
500,5000,71,50584,0,0,0,0,0,0,"120","373","631","28",4,4,4,"0","0","0","0","0","0","0","0","0",0,116.625
500,7500,46,8412,0,0,0,0,0,0,"9","213","348","49",4,4,0,"0","0","0","0","0","0","0","0","0",0,217.125
500,5200,41,769,35,35,35,7,7,7,"27","50","1125","17",0,2,0,"0","0","1","0","0","0","0","0","0",0,124.375
500,7800,76,14,11,11,11,7,7,7,"45","559","637","11",0,0,0,"0","0","1","0","0","1","0","0","0",0,255.375
500,4400,5,334360,1,1,1,0,0,0,"53","129","1131","20",0,2,0,"0","0","0","0","0","0","0","0","0",0,122.375
500,4400,12,25831,2,2,2,2,2,2,"14","484","377","34",0,8,0,"0","0","0","0","0","0","0","0","0",0,150.375
500,2900,37,233505,0,0,0,0,0,0,"1","252","447","2",8,0,0,"0","0","0","0","0","0","0","0","0",0,151.625
2000,7200,60,47363,0,0,0,0,0,0,"3","5","7","6",8,4,0,"2","2","1","0","0","0","0","0","0",0,70.125
2000,7700,88,557614,0,0,0,0,0,0,"28","132","446","23",4,0,0,"0","0","1","1","0","1","0","0","0",0,124.875
500,7100,56,111812,0,0,0,0,0,0,"53","333","559","2",2,0,0,"0","0","0","0","0","0","0","0","0",0,232.875
500,8300,64,14306,8,8,8,2,2,2,"56","142","1010","13",12,0,12,"0","0","0","0","0","0","0","0","0",0,81.375
500,5500,10,384334,0,0,0,0,0,0,"53","176","277","20",0,4,0,"0","0","0","0","0","0","0","0","0",0,112.125
2000,4200,37,0,58,58,58,6,6,6,"28","627","1179","30",0,4,0,"0","2","0","0","0","0","2","0","0",0,124.375
5000,8800,68,16504,23,23,23,6,6,6,"17","32","52","6",12,4,0,"2","2","1","0","0","0","0","0","0",0,66.375
2000,7500,57,777132,0,0,0,0,0,0,"53","187","295","17",8,4,8,"0","0","1","0","0","0","0","0","0",0,56.125
500,7700,88,0,23,23,23,13,13,13,"5","232","305","14",10,0,0,"0","0","1","0","0","0","0","0","0",0,354.625
500,7900,37,0,0,0,0,0,0,0,"17","32","198","26",14,7,0,"0","2","0","0","0","0","0","0","0",0,352.125
500,8300,53,503093,0,0,0,0,0,0,"12","168","398","13",16,0,0,"0","0","0","0","0","0","0","0","0",0,75.875
3000,8400,95,336930,0,0,0,0,0,0,"6","67","432","18",2,2,0,"0","0","1","0","0","1","2","0","0",0,26.875
2000,7600,84,820707,0,0,0,0,0,0,"6","31","40","13",8,2,0,"0","0","1","1","0","1","2","0","0",0,120.375
500,4300,18,0,5,5,5,2,2,2,"28","327","1146","85",4,4,0,"0","2","0","0","0","0","0","0","0",0,73.375
500,7800,84,1879,9,9,9,6,6,6,"5","11","587","2",12,0,0,"0","0","0","0","0","1","0","0","0",0,361.625
6000,8800,110,527439,0,0,0,0,0,0,"28","114","189","42",16,4,16,"0","0","1","1","0","1","2","0","0",0,140.375
2000,5700,8,227165,9,9,9,2,2,2,"5","9","382","55",0,4,0,"0","0","0","0","0","0","0","0","0",0,115.375
500,6300,53,241413,0,0,0,0,0,0,"16","243","244","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,362.875
2000,7500,98,850888,0,0,0,0,0,0,"2","339","571","11",0,0,0,"0","0","1","1","0","1","2","0","1",3,52.375
3000,8400,113,538046,0,0,0,0,0,0,"28","114","183","2",16,0,16,"0","0","1","0","0","1","2","0","0",0,110.875
500,6800,46,75598,0,0,0,0,0,0,"17","32","201","4",4,4,0,"2","2","1","0","0","0","0","0","0",0,198.375
2000,3800,39,450556,11,11,11,11,11,11,"16","243","244","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,136.375
2000,7400,109,250974,0,0,0,0,0,0,"5","13","16","2",8,0,8,"0","0","1","0","0","0","0","0","0",0,142.625
2000,7500,82,0,0,0,0,0,0,0,"42","76","126","13",12,0,0,"0","0","0","0","0","0","2","0","0",0,239.375
2000,7200,127,941734,25,25,25,10,10,10,"16","33","643","10",0,0,0,"0","0","1","1","0","1","0","0","0",1,221.625
2000,7900,75,208574,27,27,27,12,12,12,"16","31","286","11",6,0,0,"0","0","1","0","0","0","0","0","0",0,312.625
500,7700,70,155555,2,2,2,0,0,0,"45","403","701","17",8,4,0,"2","0","1","0","0","0","0","0","0",0,235.625
500,7200,80,242444,6,6,6,2,2,2,"60","38","664","50",0,4,0,"0","0","1","0","0","0","0","0","0",0,123.625
8000,8500,58,1238684,0,0,0,0,0,0,"17","30","39","22",2,4,0,"2","2","0","0","2","1","0","0","0",0,40.875
2000,8600,129,780782,0,0,0,0,0,0,"42","79","278","20",0,0,0,"0","0","1","0","0","1","0","0","0",0,116.625
2000,5500,68,761,0,0,0,0,0,0,"16","268","443","10",16,4,0,"0","0","1","0","0","0","0","0","0",0,194.875
500,6300,10,221857,0,0,0,0,0,0,"53","107","174","17",0,2,0,"0","0","0","0","0","0","0","0","0",0,118.125
500,7700,27,466940,0,0,0,0,0,0,"3","4","213","5",4,4,0,"0","2","0","0","0","0","0","0","0",0,357.375
13000,9300,114,3220430,0,0,0,0,0,0,"5","7","11","2",18,4,18,"0","0","1","0","0","1","2","0","1",0,130.625
10000,8000,30,539483,0,0,0,0,0,0,"17","30","51","22",2,4,0,"2","2","0","0","0","0","0","0","0",0,12.875
2000,7200,101,324749,0,0,0,0,0,0,"15","217","355","2",10,0,10,"0","0","1","0","0","0","0","0","0",0,266.125
500,6700,62,570116,0,0,0,0,0,0,"72","208","340","2",16,0,0,"0","0","1","0","0","0","0","0","0",0,217.125
2000,8800,125,348241,85,85,85,39,39,39,"16","33","384","2",8,0,0,"0","0","1","0","0","1","2","0","0",0,206.375
2000,8600,34,15804,0,0,0,0,0,0,"17","32","52","6",6,4,0,"2","2","0","0","0","0","0","0","0",0,71.125
500,6300,12,97941,0,0,0,0,0,0,"12","27","453","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,138.875
2000,6100,98,641442,0,0,0,0,0,0,"6","114","632","11",16,0,0,"0","0","1","0","0","1","0","0","0",0,151.625
2000,8000,43,1164838,0,0,0,0,0,0,"17","33","44","24",4,4,0,"2","2","0","0","0","0","0","0","0",0,134.375
2000,7200,55,495179,0,0,0,0,0,0,"7","178","281","51",0,4,0,"0","0","0","0","0","0","0","0","0",0,126.125
2000,7900,44,11049,0,0,0,0,0,0,"28","114","265","11",4,4,0,"0","0","1","0","0","0","0","0","0",0,138.875
2000,5700,12,407303,19,19,19,8,8,8,"5","395","19","3",4,8,0,"0","0","0","0","0","0","0","0","0",0,115.375
500,6400,10,190084,2,2,2,2,2,2,"5","394","680","18",0,2,0,"0","0","0","0","0","0","0","0","0",0,115.375
2000,7600,87,371070,0,0,0,0,0,0,"16","35","46","2",24,0,0,"0","0","1","0","0","0","2","0","0",0,282.625
2000,6900,22,416229,0,0,0,0,0,0,"4","127","202","19",16,0,16,"0","0","0","0","0","0","0","0","0",0,78.375
500,6900,68,664806,0,0,0,0,0,0,"47","232","378","11",0,0,0,"0","0","0","0","0","1","0","0","0",0,336.125
3000,7900,67,90029,0,0,0,0,0,0,"17","32","52","6",2,4,0,"2","2","1","0","0","0","0","0","0",0,71.375
2000,7000,45,0,0,0,0,0,0,0,"3","4","7","6",12,4,0,"2","2","1","0","0","0","0","0","0",0,67.875
500,6700,56,0,0,0,0,0,0,0,"85","488","901","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,235.625
500,5600,6,0,0,0,0,0,0,0,"5","9","890","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,123.625
500,4300,11,88573,0,0,0,0,0,0,"5","6","551","2",14,0,14,"0","0","0","0","0","0","0","0","0",0,138.875
2000,6100,81,779035,51,51,51,25,25,25,"29","247","399","10",0,0,0,"0","0","1","1","0","1","0","0","1",0,115.375
500,7200,33,49009,0,0,0,0,0,0,"27","50","199","26",2,7,0,"0","2","0","0","0","0","0","0","0",0,252.125
500,3100,5,47068,0,0,0,0,0,0,"5","127","425","13",8,2,8,"0","0","0","0","0","0","0","0","0",0,117.875
500,8000,47,139621,0,0,0,0,0,0,"9","144","228","41",0,3,0,"0","0","0","0","0","0","0","0","0",0,110.875
6000,7300,40,304225,0,0,0,0,0,0,"3","4","204","22",32,4,0,"2","2","1","0","0","0","0","0","0",0,13.125
5000,8900,53,676207,32,32,32,10,10,10,"42","77","127","5",2,2,0,"0","2","1","0","0","0","0","0","0",0,242.625
2000,7700,49,253625,0,0,0,0,0,0,"28","114","265","11",2,2,0,"0","0","1","0","0","0","2","0","0",0,119.125
2000,6000,65,48178,0,0,0,0,0,0,"26","48","66","10",0,2,0,"0","0","1","0","0","0","0","0","0",0,268.625
2000,7900,76,145077,64,64,64,44,44,44,"17","30","44","24",24,4,0,"2","2","1","0","0","0","0","0","0",0,340.625
500,3600,33,76996,0,0,0,0,0,0,"53","273","441","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,151.875
3000,9100,131,582649,0,0,0,0,0,0,"19","336","565","10",0,0,0,"0","0","1","0","0","1","0","1","0",0,53.625
500,3600,8,334360,1,1,1,0,0,0,"53","129","1131","20",0,2,0,"0","0","0","0","0","0","0","0","0",0,122.375
2000,7600,52,257699,38,38,38,28,28,28,"29","38","79","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,262.375
500,8500,47,0,2,2,2,1,1,1,"82","259","671","18",6,2,0,"0","0","1","0","0","1","0","0","0",0,24.375
2000,6200,68,148496,0,0,0,0,0,0,"17","32","48","26",4,4,0,"2","2","0","0","0","0","0","0","0",0,142.625
500,6800,98,214006,0,0,0,0,0,0,"5","8","18","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,110.875
2000,7000,89,39995,0,0,0,0,0,0,"28","97","182","41",2,0,0,"0","0","0","0","0","0","0","0","0",0,57.375
500,0,0,0,4,4,4,3,3,3,"16","73","279","37",0,4,0,"0","0","0","0","0","0","0","0","0",0,213.375
500,3500,4,11675,0,0,0,0,0,0,"4","194","10","8",0,0,0,"0","0","0","0","0","0","0","0","0",0,84.125
3000,7400,112,941734,22,22,22,11,11,11,"16","33","643","10",0,0,0,"0","0","1","1","0","1","2","0","0",1,221.625
2000,7800,28,245463,0,0,0,0,0,0,"3","362","213","5",2,4,0,"2","2","0","0","0","0","0","0","0",0,4.625
15000,8000,86,1951543,0,0,0,0,0,0,"17","30","39","22",2,2,0,"2","2","1","0","0","1","0","0","0",0,50.375
500,8900,136,395580,0,0,0,0,0,0,"45","290","478","10",0,0,0,"0","0","1","0","0","1","0","0","0",0,186.625
6000,8900,118,1394197,0,0,0,0,0,0,"28","114","206","27",0,0,0,"0","0","1","1","0","1","2","0","1",1,137.625
500,8500,94,755977,0,0,0,0,0,0,"53","109","582","11",16,4,16,"0","0","1","1","0","1","0","0","0",0,334.875
5000,8400,81,212135,0,0,0,0,0,0,"2","269","433","39",4,0,4,"0","0","1","0","0","0","0","0","0",0,5.875
500,8300,94,172979,95,95,95,58,58,58,"16","564","1054","2",4,0,0,"0","0","1","0","0","1","0","0","0",0,234.375
500,6400,5,150368,0,0,0,0,0,0,"53","176","660","11",0,4,0,"0","0","0","0","0","0","0","0","0",0,327.875
500,6200,5,407303,21,21,21,8,8,8,"5","395","19","3",4,8,0,"0","0","0","0","0","0","0","0","0",0,115.375
2000,7100,62,136366,0,0,0,0,0,0,"27","251","404","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,89.875
500,5600,64,166518,0,0,0,0,0,0,"3","230","375","21",8,2,2,"0","0","1","0","0","0","0","0","0",0,343.125
500,5900,17,283838,7,7,7,2,2,2,"16","578","1081","14",10,2,0,"0","0","0","0","0","0","0","0","0",0,87.375
3000,8000,61,13671,0,0,0,0,0,0,"17","32","49","4",10,4,0,"2","2","1","0","0","0","2","0","0",0,95.625
2000,8300,135,488430,0,0,0,0,0,0,"53","334","562","10",0,0,0,"0","0","1","0","0","0","2","0","0",0,186.625
2000,7400,92,872255,73,73,73,37,37,37,"16","34","260","2",24,0,0,"0","0","1","0","0","1","2","0","0",0,101.375
500,4900,21,49935,0,0,0,0,0,0,"5","9","287","2",12,0,12,"0","0","0","0","0","0","0","0","0",0,134.125
500,7300,55,477063,0,0,0,0,0,0,"5","10","19","11",8,2,0,"0","0","0","0","0","0","0","0","0",0,104.125
2000,6700,18,471617,0,0,0,0,0,0,"28","116","186","30",0,4,0,"0","0","1","0","0","0","0","0","0",0,295.375
27000,8800,74,696622,313,313,313,288,288,288,"3","4","6","4",10,4,10,"2","2","1","0","0","0","0","0","0",0,94.375
500,6400,39,5633,40,40,40,6,6,6,"27","50","1126","32",4,2,0,"0","0","1","0","0","0","0","0","0",0,124.375
500,6100,45,9772,1,1,1,1,1,1,"26","143","895","10",0,2,0,"0","0","1","0","0","0","0","0","0",0,122.375
500,7100,106,37215,0,0,0,0,0,0,"13","278","460","20",8,0,8,"0","0","0","0","0","0","0","0","0",0,320.875
500,6500,4,0,0,0,0,0,0,0,"133","409","718","12",0,4,0,"0","2","0","0","0","0","0","0","0",0,89.625
2000,8200,102,447992,0,0,0,0,0,0,"19","40","56","11",0,0,0,"0","0","1","0","0","1","2","0","0",0,263.625
2000,8500,154,401293,0,0,0,0,0,0,"42","323","536","11",0,0,0,"0","0","0","0","0","1","2","0","0",0,327.875
2000,8300,106,793103,0,0,0,0,0,0,"42","78","128","17",12,0,0,"0","0","1","0","0","1","2","0","0",0,246.375
500,8200,50,412632,0,0,0,0,0,0,"18","32","50","4",4,4,0,"0","2","0","0","0","0","0","0","0",0,246.375
500,4500,43,56051,0,0,0,0,0,0,"139","426","757","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,67.625
500,0,0,386836,10,10,10,0,0,0,"16","243","898","16",4,4,0,"0","0","0","0","0","0","0","0","0",0,115.375
3000,7900,81,940341,30,30,30,18,18,18,"60","38","763","11",0,2,0,"0","0","1","0","0","1","0","0","0",0,361.625
500,6700,29,163947,11,11,11,3,3,3,"16","584","403","16",4,4,0,"0","0","1","0","0","0","0","0","0",0,121.375
2000,7600,69,824187,29,29,29,14,14,14,"12","27","981","11",0,2,0,"0","0","1","0","0","0","0","0","0",0,347.625
500,5000,43,224371,0,0,0,0,0,0,"74","216","412","2",8,0,0,"0","0","0","0","0","0","0","0","0",0,124.875
500,3800,48,84266,0,0,0,0,0,0,"31","158","249","2",12,0,12,"0","0","0","0","0","0","0","0","0",0,357.375
3000,8700,58,222511,0,0,0,0,0,0,"17","32","48","26",20,7,0,"2","2","1","0","0","0","2","0","0",0,103.875
500,5300,34,149219,16,16,16,2,2,2,"236","46","1262","30",0,2,0,"0","0","1","0","0","0","0","0","0",0,248.375
2000,2600,17,3936,42,42,42,5,5,5,"27","49","1145","30",2,2,0,"0","2","0","0","0","0","0","0","0",0,138.375
500,6900,67,214006,0,0,0,0,0,0,"5","246","18","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,110.875
2000,7100,48,192962,0,0,0,0,0,0,"8","233","379","18",2,2,0,"0","0","0","0","0","1","0","0","0",0,334.125
500,6300,36,62276,0,0,0,0,0,0,"26","48","216","44",0,0,0,"0","0","0","0","0","0","0","0","0",0,126.125
2000,6400,85,642451,0,0,0,0,0,0,"16","31","40","13",8,0,0,"0","0","1","0","0","0","2","0","0",0,137.875
500,7700,42,267629,0,0,0,0,0,0,"19","41","57","20",0,0,0,"0","0","1","1","0","0","0","0","0",0,112.125
500,7800,103,0,22,22,22,15,15,15,"5","232","305","14",10,0,0,"0","0","1","0","0","0","0","0","0",0,354.625
500,0,2,44363,1,1,1,1,1,1,"8","534","992","5",0,4,0,"0","2","0","0","0","0","0","0","0",0,326.625
500,3800,12,91161,0,0,0,0,0,0,"4","9","12","2",12,0,12,"0","0","0","0","0","0","0","0","0",0,147.125
500,8200,123,488430,0,0,0,0,0,0,"53","334","562","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,186.625
500,8200,116,272994,0,0,0,0,0,0,"2","141","224","2",8,0,8,"0","0","1","0","0","0","0","0","0",0,357.375
2000,8200,105,624769,0,0,0,0,0,0,"16","35","367","2",24,0,0,"0","0","1","0","0","0","2","0","0",0,357.125
500,7300,94,0,0,0,0,0,0,0,"16","268","586","27",0,0,0,"0","0","1","0","0","0","0","0","0",0,158.625
500,5000,33,26436,0,0,0,0,0,0,"28","214","349","1",10,0,0,"0","0","1","1","0","0","0","0","0",0,224.125
500,5900,89,317271,0,0,0,0,0,0,"13","335","564","2",0,0,0,"0","0","1","0","0","0","0","0","0",0,200.625
500,7200,12,119498,0,0,0,0,0,0,"4","127","202","19",21,0,21,"0","0","0","0","0","0","0","0","0",0,84.125
2000,8400,87,916743,68,68,68,35,35,35,"53","51","563","33",2,2,0,"0","0","1","0","0","1","0","0","0",0,326.625
500,5800,77,149470,0,0,0,0,0,0,"8","15","366","11",0,0,0,"0","0","0","0","0","1","0","0","0",0,357.125
500,6400,53,16442,0,0,0,0,0,0,"45","97","151","14",8,2,8,"0","0","1","0","0","0","0","0","0",0,260.375
500,5900,46,4221,0,0,0,0,0,0,"5","10","123","50",8,4,0,"0","0","0","0","0","0","0","0","0",0,172.625
