"Outcome_M9","Quan_2","Quan_3","Quan_4","Quan_5","Quan_7","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_4","Quan_18","Cat_349","Cat_359","Cat_388","Quant_24","Quant_25","Cat_469","Cat_470","Cat_494","Quan_27"
500,5500,53,33,1,0,1,1,1,1,1,702,0,0,0,0,24,24,0,0,0,0
500,7700,88,385016,0,0,0,0,0,0,0,380,0,0,0,0,60,60,2,0,0,0
500,4900,47,445190,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0
6000,7900,101,1416697,0,0,0,0,0,0,0,139,0,0,0,0,76,76,2,0,0,0
2000,9200,124,752566,0,0,0,0,0,0,0,32,0,0,0,0,19,19,2,0,1,0
2000,7300,92,94900,0,0,0,0,0,0,0,495,8,0,0,2,55,55,0,0,0,0
500,5700,31,67012,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0
500,6900,30,1183119,53,32,53,53,13,13,13,1009,0,0,0,0,0,0,0,0,1,0
500,6500,13,109982,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
500,6800,95,38152,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0
500,5800,30,195081,0,0,0,0,0,0,0,291,0,0,0,0,2,2,0,0,0,0
2000,6700,68,694809,0,0,0,0,0,0,0,622,0,0,0,0,0,6,0,0,1,0
500,8000,85,233416,57,12,57,57,41,41,41,566,0,0,0,0,8,0,0,0,0,0
2000,7100,83,477063,0,0,0,0,0,0,0,19,0,0,0,2,30,30,0,0,0,0
500,6600,97,405694,0,0,0,0,0,0,0,730,0,0,0,0,3,22,0,0,1,0
3000,8800,62,28203,0,0,0,0,0,0,0,52,0,0,0,0,30,30,0,0,0,0
2000,7400,116,850888,0,0,0,0,0,0,0,571,0,0,2,0,0,0,2,0,1,0
3000,9100,88,262738,13,1,13,13,7,7,7,32,0,0,0,0,35,35,0,0,0,0
500,6000,25,366857,0,0,0,0,0,0,0,680,0,0,0,0,0,17,0,0,0,0
500,6500,18,642619,0,0,0,0,0,0,0,174,0,0,0,0,20,20,0,0,0,0
NA,7600,47,300522,22,0,22,22,17,17,17,203,0,0,0,2,0,0,0,0,1,0
NA,5400,7,0,1,0,1,1,1,1,1,1375,0,0,0,0,2,0,0,0,0,0
NA,5600,28,29,4,0,4,4,4,4,4,1536,0,0,0,0,44,44,0,0,1,0
2000,7900,37,0,5,0,5,5,3,3,3,32,0,0,0,0,39,39,0,0,0,0
NA,4700,92,90054,23,0,23,23,7,7,7,218,0,0,0,0,3,0,0,0,0,0
NA,7300,57,469247,16,2,16,16,14,14,14,497,0,0,0,0,63,63,0,0,0,0
NA,5000,52,14073,11,4,11,11,9,9,9,20,0,0,0,0,3,0,0,0,0,0
NA,8000,44,985658,69,9,69,69,46,46,46,206,0,0,0,0,0,9,0,0,1,0
15000,6400,39,1759054,187,132,187,187,39,39,39,1138,0,0,0,2,0,0,0,0,1,0
NA,6000,31,53952,0,0,0,0,0,0,0,1539,0,0,0,0,0,6,0,0,0,0
NA,7000,76,7696,33,3,33,33,25,25,25,278,0,0,0,0,4,4,0,0,0,0
500,6900,87,16594,6,1,6,6,6,6,6,543,4,0,0,0,0,0,0,0,0,0
3000,7300,63,97852,39,12,39,39,30,30,30,1397,0,0,0,0,90,90,0,0,0,0
NA,4600,6,0,1,0,1,1,1,1,1,1473,0,0,0,0,0,0,0,0,0,0
NA,0,2,235853,5,1,5,5,5,5,5,898,0,0,0,0,8,8,0,0,0,0
2000,8700,132,862604,126,20,126,126,83,83,83,656,0,0,0,0,0,0,0,0,0,0
NA,8000,87,5758,18,5,18,18,12,12,12,640,0,0,0,0,140,0,0,0,1,0
NA,8200,49,1602,7,0,7,7,4,4,4,1483,0,0,0,0,0,0,0,0,1,0
NA,6300,65,47075,4,0,4,4,2,2,2,1366,0,0,0,0,0,0,0,0,0,0
2000,6300,60,127967,17,6,17,17,13,13,13,264,0,0,0,0,10,10,0,0,0,0
500,8700,84,28006,15,7,15,15,11,11,11,225,8,0,0,0,0,0,0,0,1,0
NA,6100,53,18465,17,2,17,17,12,12,12,18,0,0,0,0,0,0,0,0,0,0
NA,6300,40,53952,0,0,0,0,0,0,0,1539,0,0,0,0,0,6,0,0,0,0
NA,9400,102,1139542,106,13,106,106,72,72,72,565,0,0,0,0,0,0,0,0,1,0
NA,8700,46,284933,11,2,11,11,9,9,9,470,0,0,0,0,4,4,0,0,1,0
500,7100,96,6532,11,0,11,11,6,6,6,693,0,0,0,2,0,0,0,0,0,0
NA,7800,19,0,1,0,1,1,1,1,1,833,0,0,0,0,0,0,0,0,0,0
NA,8600,16,635758,11,2,11,11,6,6,6,1490,0,0,0,0,0,0,0,0,0,0
500,7000,76,309164,41,5,41,41,34,34,34,753,0,0,0,0,0,0,0,0,0,0
500,5900,82,33837,13,0,13,13,8,8,8,305,0,0,0,0,0,0,0,0,0,0
NA,8100,79,23277,22,2,22,22,17,17,17,243,16,0,0,0,0,0,0,0,0,0
NA,7000,44,65248,4,0,4,4,4,4,4,30,0,0,0,0,0,0,0,0,0,0
NA,7700,36,241220,18,5,18,18,12,12,12,763,0,0,0,0,0,0,0,0,0,0
NA,9300,33,1729826,66,2,66,66,41,41,41,1,0,0,0,0,20,0,0,0,1,0
3000,9400,97,169441,64,11,64,64,47,47,47,273,0,0,0,0,0,0,0,0,0,0
NA,5700,78,167598,4,0,4,4,2,2,2,1347,0,0,0,0,0,0,0,0,0,0
NA,8900,111,105605,38,2,38,38,24,24,24,628,0,0,0,0,0,0,0,0,1,0
NA,6300,23,39964,8,2,8,8,4,4,4,1503,0,0,0,0,8,8,0,0,0,0
NA,4700,10,0,0,0,0,0,0,0,0,1130,0,0,0,0,9,9,0,0,1,0
500,7000,91,93023,25,0,25,25,15,15,15,1105,0,0,0,0,0,0,0,0,0,0
NA,3500,3,135717,7,0,7,7,2,2,2,1543,0,0,0,0,0,0,0,0,0,0
NA,7400,64,9596,1,0,1,1,1,1,1,1084,0,0,0,0,0,0,0,0,0,0
NA,6300,13,0,4,1,4,4,2,2,2,1515,0,0,0,0,10,10,0,0,0,0
500,4900,25,23286,14,1,14,14,5,5,5,371,0,0,0,0,0,0,0,0,0,0
NA,8200,28,171279,102,53,102,102,37,37,37,51,0,0,0,0,0,0,0,0,0,0
NA,7800,53,0,4,0,4,4,3,3,3,199,0,0,0,0,0,0,0,0,1,0
NA,9500,105,1729826,62,2,62,62,41,41,41,1,0,0,0,0,20,0,0,0,1,0
NA,8000,32,346384,14,2,14,14,11,11,11,1083,0,0,0,0,0,2,0,0,0,0
2000,7400,80,132449,33,4,33,33,19,19,19,193,0,0,0,0,0,0,0,0,1,0
NA,8300,3,275,13,1,13,13,13,13,13,432,0,0,0,0,0,0,0,0,1,0
NA,7200,76,44828,19,3,19,19,15,15,15,686,0,0,0,0,0,0,0,0,1,0
NA,7700,22,621939,39,8,39,39,23,23,23,1471,0,0,0,0,33,33,0,0,1,0
2000,4900,116,382119,68,12,68,68,42,42,42,535,0,2,2,0,0,0,0,0,1,0
NA,7800,73,17777,10,0,10,10,8,8,8,1466,0,0,0,0,0,0,0,0,0,0
NA,8000,43,621939,41,9,41,41,25,25,25,1471,0,0,0,0,33,33,0,0,1,0
6000,9400,112,169441,58,11,58,58,44,44,44,273,2,0,0,0,0,0,0,0,0,0
NA,7600,63,9596,1,0,1,1,1,1,1,1084,0,0,0,0,0,0,0,0,0,0
NA,8100,69,671633,50,4,50,50,30,30,30,623,0,0,0,0,0,0,0,0,0,0
500,5400,25,489,7,1,7,7,5,5,5,1004,0,0,0,0,0,0,0,0,1,0
3000,7400,72,97852,41,9,41,41,28,28,28,1397,0,0,0,0,90,90,0,0,0,0
NA,8400,77,5293,1,0,1,1,1,1,1,1010,0,0,0,0,24,24,0,0,0,0
500,8300,107,3247,28,4,28,28,12,12,12,1132,0,0,0,0,0,0,0,0,0,0
NA,7800,49,1043453,97,14,97,97,66,66,66,39,0,0,0,2,32,32,0,0,1,0
NA,8800,60,284933,12,2,12,12,10,10,10,470,0,0,0,0,4,4,0,0,1,0
NA,8300,80,987149,41,4,41,41,24,24,24,176,0,0,0,0,0,0,0,0,1,0
NA,7700,53,467004,13,1,13,13,9,9,9,156,0,0,0,0,0,0,0,0,1,0
NA,8000,86,985658,63,8,63,63,45,45,45,206,0,0,0,0,0,9,0,0,1,0
NA,8900,51,357567,51,12,51,51,31,31,31,6,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,0,0,4,0,0,0,0
NA,6600,35,444809,20,7,20,20,12,12,12,1540,0,0,0,0,0,0,0,0,0,0
NA,6400,50,597696,28,6,28,28,23,23,23,40,0,0,0,0,0,0,0,0,0,0
500,7000,87,93023,26,0,26,26,16,16,16,1105,0,0,0,0,0,0,0,0,0,0
500,6800,115,309164,42,5,42,42,35,35,35,753,0,0,0,0,0,0,0,0,0,0
NA,6100,57,10916,3,0,3,3,3,3,3,590,0,0,0,0,8,0,0,0,0,0
2000,6400,13,1759054,50,11,50,50,25,25,25,1138,0,0,0,2,0,0,0,0,0,0
NA,4700,70,14073,12,4,12,12,9,9,9,20,0,0,0,0,3,0,0,0,0,0
500,7700,101,5935,39,6,39,39,10,10,10,128,0,0,0,0,33,66,2,0,0,0
500,7200,108,81138,28,3,28,28,21,21,21,582,0,0,0,0,0,0,0,0,0,0
NA,7200,30,469247,14,2,14,14,13,13,13,497,0,0,0,0,63,63,0,0,0,0
NA,4600,38,6661,9,0,9,9,6,6,6,244,0,0,0,0,0,0,0,0,0,0
NA,7500,54,18582,3,0,3,3,2,2,2,1542,0,0,0,0,0,0,0,0,0,0
500,3000,7,23286,2,0,2,2,2,2,2,371,0,0,0,0,0,0,0,0,0,0
500,5100,86,382119,66,9,66,66,42,42,42,535,0,2,2,0,0,0,0,0,1,0
NA,8700,44,4692569,143,7,143,143,100,100,100,11,18,0,0,0,0,0,0,0,1,0
500,6000,12,216245,11,3,11,11,8,8,8,1230,0,0,0,0,0,0,0,0,0,0
NA,4400,42,6661,12,1,12,12,6,6,6,244,0,0,0,0,0,0,0,0,0,0
NA,9000,64,233160,27,6,27,27,19,19,19,48,0,0,0,0,0,0,0,0,0,0
2000,8300,125,58238,196,123,196,196,171,171,171,536,0,0,0,0,0,0,0,0,1,0
500,6200,20,8229,2,0,2,2,2,2,2,1470,0,0,0,0,4,4,0,0,0,0
2000,7500,97,132449,36,5,36,36,21,21,21,193,0,0,0,0,0,0,0,0,1,0
NA,7200,75,225894,36,3,36,36,21,21,21,533,0,0,0,0,4,4,0,0,0,0
NA,7800,23,0,2,0,2,2,2,2,2,644,0,0,0,0,33,33,0,0,1,0
500,7200,92,81138,27,4,27,27,20,20,20,582,0,0,0,0,0,0,0,0,0,0
NA,8500,41,1480378,101,8,101,101,57,57,57,46,0,0,0,0,0,0,0,0,1,0
NA,5800,61,18465,16,2,16,16,12,12,12,18,0,0,0,0,0,0,0,0,0,0
NA,7100,63,65248,2,0,2,2,2,2,2,30,0,0,0,0,0,0,0,0,0,0
NA,7100,73,0,2,0,2,2,2,2,2,644,0,0,0,0,33,33,0,0,0,0
500,7000,89,6532,11,0,11,11,6,6,6,693,0,0,0,2,0,0,0,0,0,0
NA,8300,37,171279,131,79,131,131,103,103,103,51,0,0,0,0,0,0,0,0,0,0
NA,0,0,275,17,1,17,17,17,17,17,432,0,0,0,0,0,0,0,0,1,0
NA,8400,64,1480378,95,10,95,95,56,56,56,46,0,0,0,0,0,0,0,0,1,0
500,8700,114,28006,11,3,11,11,9,9,9,225,8,0,0,0,43,43,0,0,1,0
NA,6800,58,15055,2,0,2,2,1,1,1,34,0,0,0,0,0,0,0,0,0,0
500,5200,9,2,3,0,3,3,1,1,1,854,0,0,0,0,15,0,0,0,1,0
5000,8600,85,243024,91,21,91,91,66,66,66,104,0,0,0,0,27,27,0,0,1,0
NA,5200,81,670,1,0,1,1,1,1,1,1008,0,0,0,0,0,0,0,0,0,0
NA,8100,56,1602,12,0,12,12,4,4,4,1483,0,0,0,0,0,0,0,0,1,0
NA,6500,45,15055,4,0,4,4,1,1,1,34,0,0,0,0,0,0,0,0,0,0
2000,4500,6,144409,13,7,13,13,4,4,4,1491,0,0,0,0,12,12,0,0,0,0
