"Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Quan_27","Cat_467_0","Cat_467_1","Cat_469_0","Cat_469_2","Cat_470_0","Cat_470_1","Cat_494_0","Cat_494_1","Cat_501_0","Cat_513_0","Cat_501_2","Cat_513_2"
NA,8700,46,284933,11,4,11,11,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7100,96,6532,11,5,11,11,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7800,19,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8600,16,635758,11,5,11,11,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7000,76,309164,41,16,41,41,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,5900,82,33837,13,3,13,13,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8100,79,23277,22,6,22,22,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7000,44,65248,4,2,4,4,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7700,36,241220,18,1,18,18,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,9300,33,1729826,66,30,66,66,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,9400,97,169441,64,29,64,64,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,5700,78,167598,4,1,4,4,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8900,111,105605,38,22,38,38,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6300,23,39964,8,2,8,8,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4700,10,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7000,91,93023,25,9,25,25,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,3500,3,135717,7,2,7,7,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7400,64,9596,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6300,13,0,4,0,4,4,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4900,25,23286,14,2,14,14,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8200,28,171279,102,27,102,102,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7800,53,0,4,2,4,4,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,9500,105,1729826,62,28,62,62,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8000,32,346384,14,1,14,14,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7400,80,132449,33,17,33,33,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8300,3,275,13,8,13,13,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7200,76,44828,19,10,19,19,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7700,22,621939,39,7,39,39,0,1,0,1,0,1,0,0,1,1,1,0,0
NA,4900,116,382119,68,32,68,68,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7800,73,17777,10,1,10,10,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8000,43,621939,41,8,41,41,0,1,0,1,0,1,0,0,1,1,1,0,0
NA,9400,112,169441,58,27,58,58,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7600,63,9596,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8100,69,671633,50,36,50,50,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,5400,25,489,7,3,7,7,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7400,72,97852,41,13,41,41,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8400,77,5293,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8300,107,3247,28,6,28,28,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7800,49,1043453,97,45,97,97,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8800,60,284933,12,4,12,12,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8300,80,987149,41,15,41,41,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7700,53,467004,13,6,13,13,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8000,86,985658,63,30,63,63,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8900,51,357567,51,21,51,51,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6600,35,444809,20,1,20,20,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6400,50,597696,28,15,28,28,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,7000,87,93023,26,9,26,26,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,6800,115,309164,42,18,42,42,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6100,57,10916,3,1,3,3,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,6400,13,1759054,50,11,50,50,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4700,70,14073,12,3,12,12,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7700,101,5935,39,4,39,39,0,1,0,0,1,1,0,1,0,1,1,0,0
NA,7200,108,81138,28,12,28,28,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,7200,30,469247,14,6,14,14,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,4600,38,6661,9,3,9,9,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7500,54,18582,3,0,3,3,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,3000,7,23286,2,2,2,2,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,5100,86,382119,66,32,66,66,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8700,44,4692569,143,68,143,143,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6000,12,216245,11,3,11,11,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4400,42,6661,12,3,12,12,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,9000,64,233160,27,14,27,27,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,8300,125,58238,196,24,196,196,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6200,20,8229,2,1,2,2,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7500,97,132449,36,19,36,36,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7200,75,225894,36,13,36,36,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,7800,23,0,2,1,2,2,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,7200,92,81138,27,11,27,27,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,8500,41,1480378,101,58,101,101,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,5800,61,18465,16,8,16,16,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7100,63,65248,2,2,2,2,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,7100,73,0,2,1,2,2,0,0,1,1,0,1,0,1,0,1,1,0,0
NA,7000,89,6532,11,5,11,11,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8300,37,171279,131,28,131,131,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,0,0,275,17,10,17,17,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8400,64,1480378,95,50,95,95,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8700,114,28006,11,3,11,11,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6800,58,15055,2,1,2,2,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,5200,9,2,3,0,3,3,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,8600,85,243024,91,36,91,91,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,5200,81,670,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,8100,56,1602,12,5,12,12,0,0,1,1,0,1,0,0,1,1,1,0,0
NA,6500,45,15055,4,1,4,4,0,1,0,1,0,1,0,1,0,1,1,0,0
NA,4500,6,144409,13,0,13,13,0,1,0,1,0,1,0,1,0,1,1,0,0
